date,freq
2017,5.20754075045e-06
2016,6.27380660079e-06
2015,5.48617944773e-06
2014,4.9133530195e-06
2013,5.75158887643e-06
2012,3.58560022948e-06
2011,2.06024691765e-06
2010,7.61456032796e-06
2009,3.91080569581e-06
2008,5.51662047416e-06
2007,2.5873942726e-06
2006,2.55153896072e-06
2005,3.37821669571e-06
2004,3.67268261496e-06
2003,6.47492453034e-06
2002,4.07725968004e-06
2001,2.94410999718e-06
2000,3.08314248681e-06
1999,2.94775777331e-06
1998,6.35200526454e-06
1997,8.37683380168e-06
1996,5.00037190266e-06
1995,5.21365720572e-06
1994,5.06424893465e-06
1993,5.79900803825e-06
1992,3.98290642772e-06
1991,3.03575896377e-06
1990,5.47172894448e-06
1989,6.23289848478e-06
1988,8.0697006948e-06
1987,5.56490769209e-06
1986,4.76461939379e-06
1985,4.79913367168e-06
1984,3.76168843923e-06
1983,4.58817146456e-06
1982,4.0393501955e-06
1981,5.06685416014e-06
1980,5.5676296701e-06
1979,9.45816535238e-06
1978,4.11155329344e-06
1977,9.69686918188e-06
1976,8.10671024834e-06
1975,5.87973859374e-06
1974,5.71511752803e-06
1973,4.45580713347e-06
1972,5.30702558199e-06
1971,6.74454366418e-06
1970,6.48601201426e-06
1969,9.04692786233e-06
1968,4.54215975911e-06
1967,8.24092571068e-06
1966,9.25615330559e-06
1965,1.01651524499e-05
1964,8.19213282178e-06
1963,7.96257136455e-06
1962,7.64220022967e-06
1961,4.93570625638e-06
1960,3.7023507459e-06
1959,7.38489714684e-06
1958,9.07860384907e-06
1957,1.3208102907e-05
1956,4.8839463352e-06
1955,8.39595315058e-06
1954,4.88447484324e-06
1953,7.78664211279e-06
1952,2.23398313875e-05
1951,4.41657341256e-06
1950,3.12421894526e-06
1949,8.12556847239e-06
1948,7.64493012807e-06
1947,1.02917438547e-05
1946,6.49900033558e-06
1945,5.34369297278e-06
1944,5.84035203046e-06
1943,3.29085497729e-06
1942,1.67043163397e-06
1941,2.7899216869e-06
1940,2.26713928964e-06
1939,3.91280919577e-06
1938,4.95046237319e-06
1937,1.02572676588e-06
1936,2.99963918626e-06
1935,9.04928239191e-06
1934,3.81938712417e-06
1933,8.26851848407e-07
1932,3.82701875239e-06
1931,2.47645408097e-06
1930,2.60176928984e-06
1929,3.33074922706e-06
1928,4.06332777606e-06
1927,3.23149358248e-06
1926,3.78987421407e-06
1925,3.20822919956e-06
1924,2.77943771975e-06
1923,2.03814801642e-06
1922,3.48019161935e-06
1921,2.4276912171e-06
1920,1.76151391552e-06
1919,2.69768161242e-06
1918,2.9682200104e-06
1917,2.42201563774e-06
1916,5.14589469098e-06
1915,0.0
1914,1.0737822638e-06
1913,3.89732009135e-06
1912,2.11829401074e-06
1911,5.1538767203e-07
1910,2.51424571623e-06
1909,2.07193445643e-06
1908,4.95824660534e-07
1907,1.08018248603e-06
1906,1.23112379442e-06
1905,3.82324135677e-06
1904,1.96993226716e-06
1903,1.95781943292e-06
1902,2.05416701473e-06
1901,2.05629448879e-06
1900,3.12252539862e-06
1899,1.28908007379e-06
1898,1.31853323726e-06
1897,1.29494260167e-06
1896,3.77544650947e-06
1895,6.57135572326e-07
1894,6.30172137821e-07
1893,3.18441927338e-06
1892,6.42775143114e-07
1891,6.18100071638e-07
1890,0.0
1889,2.74538791988e-06
1888,0.0
1887,6.00434314154e-06
1886,2.02540670167e-06
1885,3.75967851202e-05
1884,4.24046052792e-05
1883,7.13056201664e-07
1882,4.13329888918e-06
1881,5.60611571163e-06
1880,1.40423108869e-06
1879,4.05876688574e-06
1878,1.12167102062e-06
1877,2.52642003754e-06
1876,0.0
1875,0.0
1874,1.35068513503e-06
1873,1.31905587257e-06
1872,1.36576012062e-06
1871,1.41872949936e-06
1870,1.30739975186e-06
1869,0.0
1868,1.46901120856e-06
1867,1.71402518246e-06
1866,0.0
1865,0.0
1864,3.75353536112e-06
1863,3.55694039101e-06
1862,1.73770400645e-06
1861,1.69482045919e-06
1860,0.0
1859,0.0
1858,0.0
1857,3.52167857287e-06
1856,1.70912415932e-06
1855,1.75494015654e-06
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,1.71639049944e-06
1849,1.73324043165e-06
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,1.85133073653e-06
1842,2.28408540652e-06
1841,2.42056316823e-06
1840,0.0
1839,4.86051536044e-06
1838,0.0
1837,2.31147601612e-06
1836,0.0
1835,4.34185132199e-06
1834,0.0
1833,0.0
1832,0.0
1831,2.27530767848e-06
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,5.87651099789e-06
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
