date,freq
2017,5.20754075045e-06
2016,3.70724935501e-06
2015,6.92991088135e-06
2014,3.07084563719e-06
2013,7.87059530458e-06
2012,5.37840034422e-06
2011,6.47506174119e-06
2010,6.7359572132e-06
2009,5.58686527973e-06
2008,7.17160661641e-06
2007,5.74976505023e-06
2006,7.08760822423e-06
2005,5.91187921749e-06
2004,7.91039332453e-06
2003,1.03010162983e-05
2002,7.84088400008e-06
2001,4.57972666229e-06
2000,3.39145673549e-06
1999,7.95894598794e-06
1998,8.2576068439e-06
1997,9.34339154803e-06
1996,5.62541839049e-06
1995,8.89388582152e-06
1994,7.14952790774e-06
1993,5.52286479834e-06
1992,3.71737933254e-06
1991,7.33641749579e-06
1990,7.21273360863e-06
1989,1.01284600378e-05
1988,5.64879048636e-06
1987,8.34736153814e-06
1986,9.52923878759e-06
1985,7.33985149787e-06
1984,1.12850653177e-05
1983,5.44845361416e-06
1982,8.36722540497e-06
1981,9.23955758614e-06
1980,1.17902745955e-05
1979,8.10699887346e-06
1978,8.90836546912e-06
1977,1.53812407713e-05
1976,1.65376889066e-05
1975,1.6947481829e-05
1974,1.51282522801e-05
1973,7.54059668742e-06
1972,1.20292579858e-05
1971,1.02943034874e-05
1970,1.0449686023e-05
1969,1.51988388087e-05
1968,1.05983727713e-05
1967,1.04884509045e-05
1966,7.7751687767e-06
1965,1.25109568614e-05
1964,1.24832500141e-05
1963,7.58340129957e-06
1962,3.61998958247e-06
1961,9.46010365806e-06
1960,5.3478399663e-06
1959,7.79516921056e-06
1958,9.51091831807e-06
1957,9.24567203488e-06
1956,8.87990242763e-06
1955,6.06374394209e-06
1954,7.81515974919e-06
1953,9.24663750894e-06
1952,1.59570224196e-06
1951,8.83314682512e-06
1950,3.12421894526e-06
1949,4.57063226572e-06
1948,3.82246506403e-06
1947,5.95837802117e-06
1946,7.68063676024e-06
1945,4.67573135118e-06
1944,7.78713604062e-06
1943,6.58170995457e-06
1942,5.0112949019e-06
1941,7.25379638594e-06
1940,6.2346330465e-06
1939,5.03075468028e-06
1938,6.60061649758e-06
1937,3.59004368057e-06
1936,8.99891755877e-06
1935,4.74010030052e-06
1934,4.66813981843e-06
1933,2.48055554522e-06
1932,6.80358889314e-06
1931,5.7783928556e-06
1930,4.76991036471e-06
1929,8.74321672103e-06
1928,2.03166388803e-06
1927,3.23149358248e-06
1926,4.26360849083e-06
1925,4.12486611372e-06
1924,2.31619809979e-06
1923,5.09537004106e-06
1922,1.74009580968e-06
1921,2.4276912171e-06
1920,7.04605566208e-06
1919,4.4961360207e-06
1918,7.42055002601e-06
1917,6.6605430038e-06
1916,8.00472507486e-06
1915,2.77938673388e-06
1914,5.90580245091e-06
1913,6.12436014356e-06
1912,6.88445553489e-06
1911,4.63848904827e-06
1910,4.52564228921e-06
1909,2.58991807053e-06
1908,4.95824660534e-06
1907,4.32072994412e-06
1906,4.30893328048e-06
1905,5.09765514236e-06
1904,7.22308497959e-06
1903,3.91563886585e-06
1902,2.73888935298e-06
1901,3.42715748131e-06
1900,2.4980203189e-06
1899,3.22270018447e-06
1898,7.91119942354e-06
1897,6.47471300835e-06
1896,7.55089301895e-06
1895,4.59994900628e-06
1894,3.15086068911e-06
1893,5.73195469208e-06
1892,3.21387571557e-06
1891,1.23620014328e-05
1890,5.24364257497e-06
1889,6.17712281973e-06
1888,7.78839359426e-06
1887,1.06743878072e-05
1886,6.75135567222e-06
1885,2.12811991246e-06
1884,5.56125970874e-06
1883,7.13056201664e-06
1882,1.37776629639e-06
1881,4.20458678372e-06
1880,4.21269326608e-06
1879,3.0440751643e-06
1878,5.6083551031e-06
1877,2.52642003754e-06
1876,1.15024353212e-05
1875,2.63465733647e-06
1874,9.45479594524e-06
1873,9.23339110798e-06
1872,2.73152024125e-06
1871,4.25618849808e-06
1870,2.61479950371e-06
1869,3.86700094742e-06
1868,8.81406725133e-06
1867,6.85610072983e-06
1866,7.42932391295e-06
1865,1.29486475138e-05
1864,3.75353536112e-06
1863,8.89235097754e-06
1862,8.68852003225e-06
1861,6.77928183678e-06
1860,5.44185110007e-06
1859,3.61439468829e-06
1858,3.65285461456e-06
1857,5.28251785931e-06
1856,5.12737247797e-06
1855,3.50988031308e-06
1854,2.22704749179e-06
1853,0.0
1852,1.948915039e-06
1851,6.77392040644e-06
1850,8.58195249718e-06
1849,5.19972129494e-06
1848,7.08421000432e-06
1847,3.51861169657e-06
1846,8.26574365862e-06
1845,3.49976464083e-06
1844,1.21513573066e-05
1843,9.25665368267e-06
1842,9.13634162609e-06
1841,1.45233790094e-05
1840,1.97662313703e-05
1839,1.21512884011e-05
1838,5.46039303909e-06
1837,1.38688560967e-05
1836,1.10165645064e-05
1835,1.3025553966e-05
1834,1.03937570937e-05
1833,8.78630390947e-06
1832,8.85596438131e-06
1831,6.82592303544e-06
1830,9.09367852937e-06
1829,2.39214419845e-06
1828,1.56378686628e-05
1827,1.13304176392e-05
1826,0.0
1825,5.65610859729e-06
1824,1.98949546395e-05
1823,1.01311990274e-05
1822,5.15562246408e-06
1821,5.55796400663e-06
1820,1.32028016345e-05
1819,0.0
1818,1.17306180863e-05
1817,1.80513017997e-05
1816,6.66635557007e-06
1815,6.51733284671e-06
1814,6.51554935854e-06
1813,7.78410019694e-06
1812,0.0
