date,freq
2017,8.10061894515e-06
2016,9.41070990118e-06
2015,1.01061200353e-05
2014,1.32046362399e-05
2013,1.24113233649e-05
2012,1.25496008032e-05
2011,1.67762963294e-05
2010,6.44308950828e-06
2009,5.86620854371e-06
2008,9.65408582979e-06
2007,7.7621828178e-06
2006,5.67008657939e-06
2005,9.00857785523e-06
2004,8.75793546645e-06
2003,8.82944254137e-06
2002,8.46815472009e-06
2001,4.90684999531e-06
2000,6.78291347099e-06
1999,1.03171522066e-05
1998,7.94000658068e-06
1997,1.03099492944e-05
1996,1.03132670492e-05
1995,9.50725725749e-06
1994,8.93690988467e-06
1993,8.28429719751e-06
1992,8.76239414099e-06
1991,9.61323671862e-06
1990,6.21787380054e-06
1989,8.82993952011e-06
1988,1.23735410654e-05
1987,1.08515699996e-05
1986,8.9686953295e-06
1985,1.29858911116e-05
1984,1.07476812549e-05
1983,8.02930006297e-06
1982,1.00983754888e-05
1981,1.0431758565e-05
1980,1.57203661273e-05
1979,1.68895809864e-05
1978,1.7131472056e-05
1977,1.47124911725e-05
1976,1.49163468569e-05
1975,1.97144176378e-05
1974,1.14302350561e-05
1973,1.7480474139e-05
1972,1.16754562804e-05
1971,1.45540152753e-05
1970,1.44133600317e-05
1969,1.33894532362e-05
1968,1.96826922895e-05
1967,1.12376259691e-05
1966,1.40693530245e-05
1965,1.21199894595e-05
1964,1.63842656436e-05
1963,1.21334420793e-05
1962,8.84886342383e-06
1961,1.19279567862e-05
1960,8.227446102e-06
1959,1.39492501663e-05
1958,1.38340630081e-05
1957,4.84297106589e-06
1956,1.28758585201e-05
1955,6.53018578379e-06
1954,1.22111871081e-05
1953,1.11932980371e-05
1952,1.70208239143e-05
1951,1.21455768845e-05
1950,1.45796884112e-05
1949,9.64911256096e-06
1948,1.31055945053e-05
1947,1.46251096883e-05
1946,1.47704553081e-05
1945,1.93708870263e-05
1944,1.55742720812e-05
1943,1.71124458819e-05
1942,2.89541483221e-05
1941,2.23193734952e-05
1940,1.58699750275e-05
1939,2.01230187211e-05
1938,1.32012329952e-05
1937,1.12829944247e-05
1936,1.1998556745e-05
1935,1.42203009016e-05
1934,2.2916322745e-05
1933,3.59680554057e-05
1932,3.95458604414e-05
1931,2.84792219311e-05
1930,2.94867186182e-05
1929,2.24825572826e-05
1928,2.76306288772e-05
1927,2.49286647792e-05
1926,1.42120283028e-05
1925,1.60411459978e-05
1924,2.08457828981e-05
1923,1.12098140903e-05
1922,1.85610219699e-05
1921,1.6184608114e-05
1920,4.05148200569e-05
1919,2.42791345118e-05
1918,1.40990450494e-05
1917,1.81651172831e-05
1916,1.65812162265e-05
1915,2.05674618307e-05
1914,1.44960605613e-05
1913,1.44757603393e-05
1912,1.53576315778e-05
1911,1.44308548168e-05
1910,1.35769268676e-05
1909,1.29495903527e-05
1908,1.4874739816e-05
1907,1.45824635614e-05
1906,1.35423617386e-05
1905,1.14697240703e-05
1904,1.70727463154e-05
1903,1.6315161941e-05
1902,1.50638914414e-05
1901,1.16523354365e-05
1900,1.93596574715e-05
1899,1.41798808117e-05
1898,1.45038656098e-05
1897,1.48918399192e-05
1896,1.4472544953e-05
1895,2.69425584654e-05
1894,1.89051641346e-05
1893,1.27376770935e-05
1892,1.6712153721e-05
1891,2.10154024357e-05
1890,2.29409362655e-05
1889,2.53948382589e-05
1888,3.04455385957e-05
1887,2.601882028e-05
1886,2.70054226889e-05
1885,3.33405452953e-05
1884,2.57208261529e-05
1883,3.92180910915e-05
1882,2.89330922242e-05
1881,2.10229339186e-05
1880,2.87867373182e-05
1879,2.63819847573e-05
1878,4.15018277629e-05
1877,3.78963005631e-05
1876,2.93951124874e-05
1875,2.50292446964e-05
1874,1.75589067555e-05
1873,3.16573409416e-05
1872,2.86809625331e-05
1871,3.5468237484e-05
1870,3.00701942927e-05
1869,1.93350047371e-05
1868,1.61591232941e-05
1867,1.8854277007e-05
1866,2.97172956518e-05
1865,3.14467153906e-05
1864,3.75353536112e-05
1863,2.31201125416e-05
1862,1.21639280452e-05
1861,2.88119478063e-05
1860,3.99069080672e-05
1859,1.44575787531e-05
1858,1.82642730728e-05
1857,1.76083928644e-05
1856,3.93098556645e-05
1855,2.98339826612e-05
1854,3.1178664885e-05
1853,2.55848600607e-05
1852,3.5080470702e-05
1851,2.20152413209e-05
1850,4.63425434848e-05
1849,3.11983277696e-05
1848,2.3023682514e-05
1847,3.16675052691e-05
1846,2.27307950612e-05
1845,2.9747999447e-05
1844,4.45549767909e-05
1843,3.33239532576e-05
1842,4.11135373174e-05
1841,3.38878843552e-05
1840,3.73362148106e-05
1839,3.15933498429e-05
1838,4.64133408323e-05
1837,2.31147601612e-05
1836,4.18629451243e-05
1835,4.55894388808e-05
1834,5.19687854687e-05
1833,3.07520636831e-05
1832,4.20658308112e-05
1831,3.41296151772e-05
1830,2.50076159558e-05
1829,4.7842883969e-05
1828,1.82441801065e-05
1827,5.09868793764e-05
1826,4.51283902703e-05
1825,5.09049773756e-05
1824,3.48161706191e-05
1823,3.03935970822e-05
1822,4.64006021767e-05
1821,5.55796400663e-05
1820,1.98042024518e-05
1819,5.2888598981e-05
1818,3.51918542588e-05
1817,3.61026035994e-05
1816,6.66635557007e-06
1815,4.56213299269e-05
1814,5.86399442269e-05
1813,2.33523005908e-05
1812,3.2451517433e-05
