date,freq
2017,4.16603260036e-05
2016,3.87835317139e-05
2015,4.70656447358e-05
2014,3.62359785188e-05
2013,5.63050279482e-05
2012,3.73500023904e-05
2011,3.29639506824e-05
2010,2.84081673774e-05
2009,2.59789235507e-05
2008,2.26181439441e-05
2007,2.81738487461e-05
2006,4.25256493454e-05
2005,1.97062640583e-05
2004,3.55967699604e-05
2003,6.23947272924e-05
2002,2.54044641603e-05
2001,4.18717866266e-05
2000,1.84988549209e-05
1999,2.00447528585e-05
1998,2.47728205317e-05
1997,5.380504788e-05
1996,4.06280217091e-05
1995,7.72848009318e-05
1994,3.57476395387e-05
1993,5.93707965821e-05
1992,2.60216553278e-05
1991,1.82145537826e-05
1990,1.69126167375e-05
1989,1.01284600378e-05
1988,8.87667076428e-06
1987,1.61382323071e-05
1986,6.72652149712e-06
1985,6.21064357512e-06
1984,1.61215218824e-05
1983,2.20805751732e-05
1982,1.18295255725e-05
1981,2.14596176194e-05
1980,5.89513729775e-06
1979,4.39129105646e-06
1978,6.8525888224e-06
1977,1.13687431788e-05
1976,7.13390501854e-06
1975,1.17594771875e-05
1974,9.41313475205e-06
1973,8.56885987206e-06
1972,5.66082728745e-06
1971,8.16444759348e-06
1970,1.0449686023e-05
1969,1.55607159232e-05
1968,1.36264792773e-05
1967,1.04884509045e-05
1966,2.66577215201e-05
1965,1.36838590672e-05
1964,4.6812187553e-06
1963,2.31293739637e-05
1962,6.83775810023e-06
1961,8.22617709396e-06
1960,6.5819568816e-06
1959,1.64108825485e-06
1958,2.16157234502e-06
1957,3.96243087209e-06
1956,5.77193657796e-06
1955,4.66441841699e-07
1954,1.46534245297e-06
1953,0.0
1952,1.59570224196e-06
1951,1.10414335314e-06
1950,5.20703157544e-07
1949,0.0
1948,2.18426575088e-06
1947,5.41670729197e-07
1946,0.0
1945,0.0
1944,4.54249602369e-06
1943,0.0
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
