date,freq
2017,5.78615638939e-07
2016,8.55519081925e-07
2015,8.66238860168e-07
2014,9.21253691156e-07
2013,6.05430408045e-07
2012,5.97600038246e-07
2011,1.76592592941e-06
2010,2.34294163937e-06
2009,8.38029791959e-07
2008,8.27493071125e-07
2007,1.14995301005e-06
2006,1.41752164485e-06
2005,1.1260722319e-06
2004,1.97759833113e-06
2003,1.76588850827e-06
2002,1.25454144001e-06
2001,1.30849333208e-06
2000,1.54157124341e-06
1999,1.47387888666e-06
1998,9.52800789681e-07
1997,1.9331154927e-06
1996,1.56261621958e-06
1995,1.8401143079e-06
1994,5.95793992311e-07
1993,2.20914591933e-06
1992,3.71737933254e-06
1991,1.51787948189e-06
1990,2.98457942426e-06
1989,2.33733693179e-06
1988,5.3798004632e-07
1987,2.22596307684e-06
1986,3.64353247761e-06
1985,1.41150990344e-06
1984,4.0303804706e-06
1983,2.00732501574e-06
1982,2.88525013965e-06
1981,1.78830146828e-06
1980,2.62006102122e-06
1979,2.36454133809e-06
1978,3.4262944112e-06
1977,2.34062359563e-06
1976,4.21548932914e-06
1975,3.45866976102e-06
1974,2.68946707201e-06
1973,1.37101757953e-06
1972,2.47661193826e-06
1971,1.4199039293e-06
1970,1.80167000396e-06
1969,1.80938557247e-06
1968,1.13553993978e-06
1967,7.49175064607e-07
1966,2.59172292557e-06
1965,3.9096740192e-07
1964,0.0
1963,7.58340129957e-07
1962,4.02221064719e-07
1961,8.22617709396e-07
1960,0.0
1959,1.23081619114e-06
1958,8.64628938007e-07
1957,0.0
1956,8.87990242763e-07
1955,0.0
1954,0.0
1953,4.86665132049e-07
1952,5.31900747321e-07
1951,0.0
1950,0.0
1949,1.01569605905e-06
1948,5.46066437719e-07
1947,0.0
1946,5.90818212326e-07
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,5.66784822409e-07
1939,0.0
1938,5.50051374798e-07
1937,5.12863382939e-07
1936,0.0
1935,1.72367283655e-06
1934,8.48752694259e-07
1933,1.24027777261e-06
1932,8.50448611643e-07
1931,0.0
1930,0.0
1929,1.24903096015e-06
1928,4.06332777606e-07
1927,4.61641940355e-07
1926,4.73734276759e-07
1925,4.5831845708e-07
1924,4.63239619958e-07
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,1.4841100052e-06
1917,0.0
1916,0.0
1915,5.55877346775e-07
1914,5.36891131901e-07
1913,5.5676001305e-07
1912,0.0
1911,1.03077534406e-06
1910,0.0
1909,0.0
1908,0.0
1907,5.40091243015e-07
1906,6.15561897211e-07
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,6.85431496263e-07
1900,0.0
1899,0.0
1898,6.59266618628e-07
1897,0.0
1896,0.0
1895,6.57135572326e-07
1894,6.30172137821e-07
1893,6.36883854676e-07
1892,0.0
1891,0.0
1890,6.55455321871e-07
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,7.00764463954e-07
1880,0.0
1879,0.0
1878,0.0
1877,1.26321001877e-06
1876,1.27804836902e-06
1875,0.0
1874,0.0
1873,2.63811174514e-06
1872,0.0
1871,0.0
1870,1.30739975186e-06
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,1.84980678768e-06
1864,1.87676768056e-06
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,3.93613231702e-06
1852,1.948915039e-06
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,3.49976464083e-06
1844,0.0
1843,0.0
1842,2.28408540652e-06
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,2.31147601612e-06
1836,0.0
1835,2.17092566099e-06
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,2.60631144379e-06
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,1.17530219958e-05
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
