date,freq
2017,0.0
2016,8.55519081925e-07
2015,1.15498514689e-06
2014,3.07084563719e-07
2013,1.51357602011e-06
2012,1.19520007649e-06
2011,2.06024691765e-06
2010,1.75720622953e-06
2009,1.11737305595e-06
2008,2.48247921337e-06
2007,1.72492951507e-06
2006,3.11854761866e-06
2005,2.81518057976e-07
2004,1.13005618922e-06
2003,2.06020325965e-06
2002,1.12908729601e-05
2001,8.50520665853e-06
2000,1.84988549209e-06
1999,2.65298199598e-06
1998,2.22320184259e-06
1997,4.83278873174e-06
1996,3.43775568308e-06
1995,4.60028576975e-06
1994,5.06424893465e-06
1993,3.313718879e-06
1992,2.920798047e-06
1991,5.56555810025e-06
1990,3.73072428032e-06
1989,2.33733693179e-06
1988,1.61394013896e-06
1987,3.33894461526e-06
1986,6.44624976808e-06
1985,7.33985149787e-06
1984,2.95561234511e-06
1983,1.72056429921e-06
1982,2.59672512568e-06
1981,2.98050244714e-06
1980,6.55015255305e-07
1979,3.37791619728e-06
1978,3.4262944112e-07
1977,1.00312439813e-06
1976,4.21548932914e-06
1975,1.38346790441e-06
1974,3.36183384002e-06
1973,9.25436866183e-06
1972,2.12281023279e-06
1971,3.54975982325e-06
1970,7.20668001584e-06
1969,7.23754228986e-06
1968,4.54215975911e-06
1967,2.24752519382e-06
1966,5.18344585113e-06
1965,3.51870661728e-06
1964,1.95050781471e-06
1963,9.10008155948e-06
1962,2.81554745304e-06
1961,2.05654427349e-06
1960,4.5250953561e-06
1959,3.69244857342e-06
1958,2.59388681402e-06
1957,1.05664823256e-05
1956,6.65992682072e-06
1955,1.02617205174e-05
1954,1.75841094357e-05
1953,3.89332105639e-06
1952,1.06380149464e-06
1951,0.0
1950,5.20703157544e-07
1949,1.01569605905e-06
1948,5.46066437719e-07
1947,0.0
1946,0.0
1945,6.67961621597e-07
1944,1.29785600677e-06
1943,0.0
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,1.02572676588e-06
1936,0.0
1935,0.0
1934,0.0
1933,8.26851848407e-07
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,7.42055002601e-07
1917,0.0
1916,0.0
1915,5.55877346775e-07
1914,0.0
1913,5.5676001305e-07
1912,0.0
1911,0.0
1910,2.01139657298e-06
1909,5.17983614106e-07
1908,0.0
1907,5.40091243015e-07
1906,0.0
1905,0.0
1904,6.56644089054e-07
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,2.57110057246e-06
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
