date,freq
2017,3.06666288638e-05
2016,3.07986869493e-05
2015,3.52270469802e-05
2014,4.39130926118e-05
2013,3.23905268304e-05
2012,3.04776019506e-05
2011,2.56059259765e-05
2010,1.78649300002e-05
2009,3.29625051504e-05
2008,6.12344872632e-05
2007,3.10487312712e-05
2006,3.23194935025e-05
2005,5.91187921749e-05
2004,5.36776689879e-05
2003,7.18127993365e-05
2002,3.48135249604e-05
2001,3.86005532964e-05
2000,2.83649108787e-05
1999,2.62350441825e-05
1998,2.44552202685e-05
1997,2.83523605595e-05
1996,2.93771849281e-05
1995,2.66816574646e-05
1994,3.30665665733e-05
1993,4.3078345427e-05
1992,2.44284927567e-05
1991,2.83337503286e-05
1990,3.55662381391e-05
1989,3.84362073228e-05
1988,3.84655733119e-05
1987,3.67283907678e-05
1986,3.75564116923e-05
1985,3.83930693735e-05
1984,4.51402612708e-05
1983,4.61684753621e-05
1982,3.80853018433e-05
1981,3.81504313234e-05
1980,4.02834382013e-05
1979,3.44547452122e-05
1978,3.94023857288e-05
1977,3.64468531319e-05
1976,3.79394039622e-05
1975,3.52784315624e-05
1974,3.52992553202e-05
1973,3.90740010166e-05
1972,3.85643858958e-05
1971,4.11772139497e-05
1970,3.35110620737e-05
1969,3.87208512508e-05
1968,4.54215975911e-05
1967,4.42013288118e-05
1966,4.2948551338e-05
1965,3.4405131369e-05
1964,3.62794453536e-05
1963,3.22294555232e-05
1962,3.25799062423e-05
1961,4.07195766151e-05
1960,2.50937106111e-05
1959,3.52833974794e-05
1958,4.71222771214e-05
1957,3.34605273643e-05
1956,2.97476731326e-05
1955,2.51878594517e-05
1954,3.02837440281e-05
1953,3.55265546396e-05
1952,2.39355336294e-05
1951,3.31243005942e-05
1950,3.33250020828e-05
1949,2.84394896534e-05
1948,2.40269232596e-05
1947,2.87085486474e-05
1946,3.13133652533e-05
1945,2.33786567559e-05
1944,2.72549761422e-05
1943,2.56686688228e-05
1942,2.95109588667e-05
1941,3.62689819297e-05
1940,3.06063804101e-05
1939,2.96255553394e-05
1938,2.86026714895e-05
1937,3.02589395934e-05
1936,2.27115538388e-05
1935,2.28386650843e-05
1934,3.39501077704e-05
1933,2.76995369216e-05
1932,2.50882340435e-05
1931,2.10498596882e-05
1930,2.90530904032e-05
1929,1.99844953623e-05
1928,1.7472309437e-05
1927,1.56958259721e-05
1926,2.27392452844e-05
1925,2.38325597682e-05
1924,2.77943771975e-05
1923,1.17193510944e-05
1922,9.86054292149e-06
1921,7.2830736513e-06
1920,4.4037847888e-06
1919,6.29459042899e-06
1918,8.90466003121e-06
1917,8.4770547321e-06
1916,8.57649115163e-06
1915,5.55877346775e-06
1914,6.97958471471e-06
1913,9.46492022186e-06
1912,7.41402903757e-06
1911,2.06155068812e-06
1910,3.51994400272e-06
1909,5.17983614106e-06
1908,6.44572058694e-06
1907,5.40091243015e-06
1906,4.30893328048e-06
1905,3.18603446397e-06
1904,5.90979680149e-06
1903,4.56824534349e-06
1902,4.10833402947e-06
1901,2.74172598505e-06
1900,2.4980203189e-06
1899,2.57816014757e-06
1898,2.63706647451e-06
1897,2.58988520334e-06
1896,7.55089301895e-06
1895,3.28567786163e-06
1894,1.89051641346e-06
1893,6.36883854676e-07
1892,0.0
1891,3.70860042983e-06
1890,3.93273193123e-06
1889,2.05904093991e-06
1888,1.41607156259e-06
1887,6.67149237949e-07
1886,2.70054226889e-06
1885,7.09373304154e-07
1884,3.47578731796e-06
1883,5.70444961331e-06
1882,4.13329888918e-06
1881,2.80305785581e-06
1880,7.02115544347e-07
1879,3.0440751643e-06
1878,1.12167102062e-06
1877,3.78963005631e-06
1876,3.83414510706e-06
1875,0.0
1874,0.0
1873,1.31905587257e-06
1872,4.09728036187e-06
1871,2.83745899872e-06
1870,1.30739975186e-06
1869,1.28900031581e-06
1868,2.93802241711e-06
1867,1.71402518246e-06
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,1.75930584828e-06
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
