date,freq
2017,2.02515473629e-05
2016,2.56655724578e-06
2015,5.19743316101e-06
2014,6.75586040181e-06
2013,9.08145612067e-06
2012,3.8844002486e-06
2011,1.26558024941e-05
2010,1.31790467215e-05
2009,6.70423833567e-06
2008,7.72326866383e-06
2007,1.20745066055e-05
2006,1.07731645008e-05
2005,7.88250562332e-06
2004,1.27131321287e-05
2003,3.82609176793e-06
2002,1.59954033602e-05
2001,7.19671332645e-06
2000,9.55774170912e-06
1999,4.7164124373e-06
1998,1.58800131614e-05
1997,7.08809013989e-06
1996,2.06265340985e-05
1995,6.44040007765e-06
1994,1.10221888578e-05
1993,3.86600535884e-06
1992,7.1692315699e-06
1991,3.79469870472e-06
1990,7.95887846469e-06
1989,4.93437796712e-06
1988,2.15192018528e-06
1987,1.4747005384e-05
1986,1.54149450976e-05
1985,6.21064357512e-06
1984,3.49299640786e-06
1983,3.44112859842e-06
1982,4.9049252374e-06
1981,2.086351713e-06
1980,5.89513729775e-06
1979,3.37791619728e-06
1978,2.39840608784e-06
1977,3.34374799375e-06
1976,1.62134204967e-06
1975,1.72933488051e-06
1974,8.40458460004e-06
1973,2.39928076418e-06
1972,2.83041364373e-06
1971,2.48483187628e-06
1970,7.20668001584e-07
1969,3.61877114493e-07
1968,1.13553993978e-06
1967,0.0
1966,2.22147679334e-06
1965,1.9548370096e-06
1964,1.56040625177e-06
1963,6.06672103965e-06
1962,1.60888425888e-06
1961,8.22617709396e-07
1960,4.113723051e-07
1959,1.23081619114e-06
1958,0.0
1957,0.0
1956,5.32794145658e-06
1955,1.3993255251e-06
1954,9.76894968649e-07
1953,1.45999539615e-06
1952,1.59570224196e-06
1951,0.0
1950,1.56210947263e-06
1949,0.0
1948,5.46066437719e-07
1947,0.0
1946,5.90818212326e-07
1945,1.33592324319e-06
1944,1.29785600677e-06
1943,6.58170995457e-07
1942,0.0
1941,1.11596867476e-06
1940,0.0
1939,0.0
1938,0.0
1937,5.12863382939e-07
1936,8.57039767502e-07
1935,1.29275462742e-06
1934,4.2437634713e-07
1933,1.24027777261e-06
1932,0.0
1931,4.12742346828e-07
1930,4.33628214974e-07
1929,0.0
1928,4.06332777606e-07
1927,4.15477746319e-06
1926,4.73734276759e-07
1925,2.2915922854e-06
1924,1.85295847983e-06
1923,0.0
1922,1.74009580968e-06
1921,0.0
1920,0.0
1919,1.79845440828e-06
1918,1.03887700364e-05
1917,1.21100781887e-06
1916,1.71529823033e-06
1915,5.55877346775e-07
1914,0.0
1913,1.1135200261e-06
1912,5.29573502684e-07
1911,5.1538767203e-07
1910,3.01709485947e-06
1909,0.0
1908,2.9749479632e-06
1907,4.32072994412e-06
1906,0.0
1905,0.0
1904,0.0
1903,6.52606477641e-07
1902,1.36944467649e-06
1901,2.05629448879e-06
1900,2.4980203189e-06
1899,3.22270018447e-06
1898,0.0
1897,6.47471300835e-07
1896,6.29241084912e-07
1895,1.97140671698e-06
1894,0.0
1893,0.0
1892,6.42775143114e-07
1891,1.23620014328e-06
1890,0.0
1889,6.8634697997e-07
1888,7.08035781296e-07
1887,6.67149237949e-07
1886,0.0
1885,0.0
1884,6.95157463593e-07
1883,0.0
1882,1.37776629639e-06
1881,7.00764463954e-07
1880,7.02115544347e-07
1879,0.0
1878,0.0
1877,2.52642003754e-06
1876,1.27804836902e-06
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,2.83745899872e-06
1870,1.30739975186e-06
1869,0.0
1868,0.0
1867,1.71402518246e-06
1866,0.0
1865,0.0
1864,0.0
1863,5.33541058652e-06
1862,0.0
1861,0.0
1860,0.0
1859,1.80719734414e-06
1858,1.82642730728e-06
1857,3.52167857287e-06
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,3.43278099887e-06
1849,3.46648086329e-06
1848,3.54210500216e-06
1847,1.75930584828e-06
1846,4.13287182931e-06
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,2.73019651955e-06
1837,4.62295203225e-06
1836,0.0
1835,2.17092566099e-06
1834,2.07875141875e-06
1833,2.19657597737e-06
1832,2.21399109533e-06
1831,4.55061535696e-06
1830,1.36405177941e-05
1829,2.39214419845e-06
1828,7.81893433138e-06
1827,0.0
1826,0.0
1825,5.65610859729e-06
1824,4.97373865988e-05
1823,0.0
1822,3.60893572485e-05
1821,2.77898200331e-05
1820,4.62098057208e-05
1819,5.87651099789e-06
1818,2.34612361725e-05
1817,6.0171005999e-05
1816,1.33327111401e-05
1815,2.60693313868e-05
1814,0.0
1813,3.11364007878e-05
1812,0.0
