date,freq
2017,3.18238601417e-05
2016,3.93538777686e-05
2015,4.38894355819e-05
2014,3.86926550286e-05
2013,4.57099958074e-05
2012,2.33064014916e-05
2011,3.82617284706e-05
2010,2.57723580331e-05
2009,5.30752201574e-05
2008,3.19963987502e-05
2007,2.96112900087e-05
2006,4.36596666613e-05
2005,5.20808407255e-05
2004,3.13590592508e-05
2003,5.29766552482e-05
2002,3.92044200004e-05
2001,4.35074032917e-05
2000,1.94237976669e-05
1999,2.56454926278e-05
1998,3.0807225533e-05
1997,4.25285408393e-05
1996,3.96904519774e-05
1995,3.95624576199e-05
1994,3.0683390604e-05
1993,5.13626426245e-05
1992,2.17732218049e-05
1991,2.27681922283e-05
1990,2.95970792906e-05
1989,3.81765032193e-05
1988,6.18677053268e-06
1987,2.58768207682e-05
1986,2.43836404271e-05
1985,5.92834159443e-06
1984,1.15537573491e-05
1983,2.98231145196e-05
1982,1.26951006144e-05
1981,1.31142107674e-05
1980,1.47378432444e-05
1979,6.41804077483e-06
1978,1.7131472056e-06
1977,7.02187078688e-06
1976,6.16109978874e-06
1975,8.30080742646e-06
1974,2.68946707201e-06
1973,2.39928076418e-06
1972,1.0614051164e-05
1971,2.12985589395e-06
1970,6.12567801346e-06
1969,3.61877114493e-07
1968,0.0
1967,3.74587532303e-07
1966,0.0
1965,2.34580441152e-06
1964,0.0
1963,3.79170064978e-07
1962,1.20666319416e-06
1961,0.0
1960,0.0
1959,1.23081619114e-06
1958,4.32314469003e-07
1957,8.80540193798e-07
1956,4.43995121382e-07
1955,4.66441841699e-07
1954,0.0
1953,4.86665132049e-07
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
