date,freq
2017,5.78615638939e-06
2016,6.55897962809e-06
2015,5.19743316101e-06
2014,1.13621288576e-05
2013,6.96244969252e-06
2012,5.67720036334e-06
2011,8.53530865884e-06
2010,3.80728016398e-06
2009,7.82161139162e-06
2008,2.1790650873e-05
2007,3.9385890594e-05
2006,2.12628246727e-05
2005,4.22277086964e-06
2004,1.58207866491e-05
2003,7.65218353586e-06
2002,3.76362432004e-06
2001,5.56109666135e-06
2000,1.17159414499e-05
1999,5.01118821463e-06
1998,1.14336094762e-05
1997,1.2887436618e-05
1996,1.31259762445e-05
1995,8.89388582152e-06
1994,1.9065407754e-05
1993,7.17972423784e-06
1992,1.06210838073e-05
1991,1.39138952506e-05
1990,1.0943457889e-05
1989,1.24657969696e-05
1988,1.93672816675e-05
1987,2.30943669222e-05
1986,4.76461939379e-06
1985,1.24212871502e-05
1984,2.90187393883e-05
1983,1.11836679449e-05
1982,1.50033007262e-05
1981,2.95069742267e-05
1980,2.09604881698e-05
1979,1.04715402116e-05
1978,1.78167309382e-05
1977,1.70531147681e-05
1976,4.18306248814e-05
1975,1.62557478768e-05
1974,2.65584873361e-05
1973,1.95370005083e-05
1972,4.21024029504e-05
1971,2.44933427804e-05
1970,1.54943620341e-05
1969,7.12897915552e-05
1968,3.70943046994e-05
1967,5.46897797163e-05
1966,6.55335654036e-05
1965,6.8419295336e-05
1964,3.19883281612e-05
1963,4.28462173426e-05
1962,6.63664756787e-05
1961,2.55011489913e-05
1960,5.3478399663e-05
1959,3.77450298617e-05
1958,5.70655099084e-05
1957,2.86175562984e-05
1956,2.53077219188e-05
1955,4.99092770618e-05
1954,2.49108217005e-05
1953,1.41132888294e-05
1952,2.87226403553e-05
1951,1.82183653268e-05
1950,4.00941431309e-05
1949,4.1643538421e-05
1948,3.4948252014e-05
1947,5.20003900029e-05
1946,7.68063676024e-05
1945,5.81126610789e-05
1944,2.79039041455e-05
1943,1.44797619001e-05
1942,7.23853708052e-06
1941,1.28336397597e-05
1940,1.98374687843e-05
1939,1.67691822676e-05
1938,1.81516953683e-05
1937,1.28215845735e-05
1936,9.42743744252e-06
1935,9.04928239191e-06
1934,8.91190328972e-06
1933,9.50879625668e-06
1932,8.92971042225e-06
1931,1.36204974453e-05
1930,9.53982072942e-06
1929,7.0778421075e-06
1928,4.46966055366e-06
1927,3.69313552284e-06
1926,4.26360849083e-06
1925,7.33309531328e-06
1924,2.31619809979e-06
1923,6.62398105338e-06
1922,5.80031936558e-07
1921,8.092304057e-06
1920,8.8075695776e-07
1919,0.0
1918,2.9682200104e-06
1917,5.44953518492e-06
1916,4.00236253743e-06
1915,1.66763204033e-06
1914,4.83202018711e-06
1913,2.78380006525e-06
1912,7.94360254026e-06
1911,6.18465206436e-06
1910,1.05598320082e-05
1909,9.32370505391e-06
1908,1.68580384581e-05
1907,1.56626460474e-05
1906,6.15561897211e-06
1905,8.28368960633e-06
1904,1.11629495139e-05
1903,5.22085182113e-06
1902,4.10833402947e-06
1901,9.59604094768e-06
1900,6.24505079724e-06
1899,2.57816014757e-06
1898,4.6148663304e-06
1897,5.82724170751e-06
1896,1.4472544953e-05
1895,3.94281343395e-06
1894,3.78103282693e-06
1893,3.82130312806e-06
1892,4.4994260018e-06
1891,2.47240028655e-06
1890,3.93273193123e-06
1889,8.23616375964e-06
1888,3.54017890648e-06
1887,8.67294009333e-06
1886,5.40108453778e-06
1885,1.27687194748e-05
1884,2.08547239078e-06
1883,7.13056201664e-06
1882,9.64436407474e-06
1881,7.00764463954e-06
1880,9.12750207651e-06
1879,6.08815032861e-06
1878,1.12167102062e-05
1877,1.51585202253e-05
1876,2.55609673804e-06
1875,5.26931467293e-06
1874,2.70137027007e-06
1873,5.27622349027e-06
1872,8.19456072374e-06
1871,5.67491799743e-06
1870,3.92219925557e-06
1869,3.86700094742e-06
1868,2.93802241711e-06
1867,6.85610072983e-06
1866,1.30013168477e-05
1865,3.69961357536e-06
1864,5.63030304168e-06
1863,7.11388078203e-06
1862,3.4754080129e-06
1861,5.08446137758e-06
1860,0.0
1859,2.71079601621e-05
1858,1.09585638437e-05
1857,1.76083928644e-06
1856,1.19638691153e-05
1855,7.01976062616e-06
1854,8.90818996715e-06
1853,1.96806615851e-06
1852,1.948915039e-06
1851,3.38696020322e-06
1850,0.0
1849,0.0
1848,0.0
1847,1.75930584828e-06
1846,8.26574365862e-06
1845,8.74941160207e-06
1844,6.07567865331e-06
1843,1.85133073653e-06
1842,4.56817081304e-06
1841,2.42056316823e-06
1840,3.29437189505e-05
1839,9.72103072089e-06
1838,2.73019651955e-06
1837,0.0
1836,0.0
1835,0.0
1834,8.31500567499e-06
1833,2.19657597737e-06
1832,1.3283946572e-05
1831,2.95789998203e-05
1830,1.81873570587e-05
1829,7.17643259536e-06
1828,0.0
1827,3.39912529176e-05
1826,6.44691289576e-06
1825,0.0
1824,4.97373865988e-06
1823,5.0655995137e-06
1822,0.0
1821,2.22318560265e-05
1820,0.0
1819,0.0
1818,1.17306180863e-05
1817,1.80513017997e-05
1816,6.66635557007e-06
1815,3.25866642335e-05
1814,0.0
1813,3.11364007878e-05
1812,0.0
