date,freq
2017,0.0
2016,1.99621119116e-06
2015,2.30997029378e-06
2014,3.68501476463e-06
2013,1.81629122413e-06
2012,5.67720036334e-06
2011,3.23753087059e-06
2010,5.56448639351e-06
2009,3.07277590385e-06
2008,1.10332409483e-06
2007,2.29990602009e-06
2006,5.10307792145e-06
2005,2.81518057976e-06
2004,1.69508428383e-06
2003,7.94649828724e-06
2002,7.52724864008e-06
2001,4.90684999531e-06
2000,1.32575126933e-05
1999,5.60073976929e-06
1998,2.22320184259e-06
1997,7.41027605534e-06
1996,9.06317407357e-06
1995,1.44142287452e-05
1994,8.34111589236e-06
1993,5.79900803825e-06
1992,6.63817737953e-06
1991,1.01191965459e-05
1990,2.01459111138e-05
1989,3.11644924239e-06
1988,5.11081044004e-06
1987,1.36340238456e-05
1986,1.68163037428e-06
1985,1.49620049764e-05
1984,8.06076094121e-06
1983,1.43380358267e-05
1982,2.88525013965e-06
1981,1.6690813704e-05
1980,7.53267543601e-06
1979,4.39129105646e-06
1978,1.1306771557e-05
1977,1.13687431788e-05
1976,1.84832993662e-05
1975,1.72933488051e-06
1974,3.69801722402e-06
1973,7.19784229253e-06
1972,9.90644775304e-06
1971,4.2597117879e-06
1970,2.16200400475e-05
1969,7.96129651885e-06
1968,4.92067307237e-06
1967,1.12376259691e-05
1966,5.18344585113e-06
1965,8.60128284224e-06
1964,1.95050781471e-05
1963,1.40292924042e-05
1962,1.12621898121e-05
1961,2.96142375383e-05
1960,3.86689966794e-05
1959,1.55903384211e-05
1958,3.41528430513e-05
1957,2.72967460077e-05
1956,2.26437511905e-05
1955,3.77817891776e-05
1954,4.44487210735e-05
1953,3.60132197716e-05
1952,3.93606553017e-05
1951,3.09160138879e-05
1950,5.46738315421e-05
1949,4.265923448e-05
1948,6.11594410246e-05
1947,5.41670729197e-05
1946,2.65868195547e-05
1945,5.00971216198e-05
1944,3.17974721659e-05
1943,8.81949133913e-05
1942,5.34538122869e-05
1941,4.57547156651e-05
1940,9.01187867631e-05
1939,6.20459743901e-05
1938,0.000104509761212
1937,5.74406988892e-05
1936,7.07057808189e-05
1935,0.000106005879448
1934,8.23290113432e-05
1933,5.58124997674e-05
1932,7.18629076838e-05
1931,3.13684183589e-05
1930,4.81327318621e-05
1929,2.12335263225e-05
1928,3.25066222084e-05
1927,7.38627104568e-05
1926,4.45310220154e-05
1925,2.33742413111e-05
1924,4.95666393355e-05
1923,4.48392563613e-05
1922,7.54041517526e-06
1921,1.6184608114e-05
1920,3.25880074371e-05
1919,6.29459042899e-06
1918,2.30037050806e-05
1917,2.54311641963e-05
1916,1.48659179962e-05
1915,4.16908010081e-05
1914,3.65085969692e-05
1913,9.01951221142e-05
1912,7.89064518999e-05
1911,3.76233000582e-05
1910,4.52564228921e-05
1909,2.900708239e-05
1908,3.02453042926e-05
1907,2.48441971787e-05
1906,3.63181519354e-05
1905,7.32787926714e-05
1904,5.71280357477e-05
1903,2.41464396727e-05
1902,5.68319540743e-05
1901,3.35861433169e-05
1900,2.62292133484e-05
1899,1.48244208485e-05
1898,2.63706647451e-05
1897,5.82724170751e-06
1896,4.65638402835e-05
1895,4.20566766288e-05
1894,1.19732706186e-05
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
