date,freq
2017,0.0
2016,8.55519081925e-07
2015,1.15498514689e-06
2014,9.21253691156e-07
2013,4.54072806034e-06
2012,8.36640053545e-06
2011,2.06024691765e-06
2010,4.1001478689e-06
2009,3.79906839021e-05
2008,1.26882270906e-05
2007,2.87488252511e-07
2006,1.41752164485e-05
2005,0.0
2004,0.0
2003,2.94314751379e-07
2002,3.04226299203e-05
2001,0.0
2000,8.94111321176e-06
1999,6.19029132395e-06
1998,1.90560157936e-06
1997,2.99632901368e-05
1996,3.43775568308e-06
1995,1.16540572834e-05
1994,1.48948498078e-05
1993,1.10457295967e-06
1992,2.65527095181e-07
1991,5.05959827296e-07
1990,4.37738315558e-05
1989,2.59704103533e-07
1988,3.22788027792e-06
1987,1.66947230763e-05
1986,1.12108691619e-06
1985,5.64603961374e-07
1984,5.37384062747e-07
1983,5.73521433069e-07
1982,1.44262506982e-06
1981,5.96100489428e-07
1980,1.31003051061e-06
1979,1.01337485918e-06
1978,6.8525888224e-07
1977,3.34374799375e-07
1976,9.72805229801e-07
1975,3.11280278492e-06
1974,6.72366768004e-07
1973,6.85508789765e-07
1972,7.07603410931e-07
1971,3.54975982325e-07
1970,7.20668001584e-07
1969,2.17126268696e-05
1968,7.57026626519e-07
1967,0.0
1966,4.44295358669e-06
1965,1.17290220576e-06
1964,1.95050781471e-06
1963,3.79170064978e-07
1962,0.0
1961,0.0
1960,8.227446102e-07
1959,2.871904446e-06
1958,3.02620128302e-06
1957,4.40270096899e-07
1956,0.0
1955,0.0
1954,3.41913239027e-06
1953,4.86665132049e-07
1952,1.22337171884e-05
1951,2.20828670628e-06
1950,1.56210947263e-06
1949,2.0313921181e-06
1948,1.09213287544e-06
1947,0.0
1946,1.18163642465e-06
1945,2.00388486479e-06
1944,1.29785600677e-06
1943,0.0
1942,5.56810544655e-07
1941,0.0
1940,1.13356964482e-06
1939,1.11794548451e-06
1938,1.6501541244e-06
1937,1.02572676588e-06
1936,8.57039767502e-07
1935,8.61836418277e-07
1934,8.48752694259e-07
1933,2.06712962102e-06
1932,1.27567291746e-06
1931,4.12742346828e-07
1930,1.21415900193e-05
1929,1.24903096015e-06
1928,0.0
1927,0.0
1926,2.3686713838e-06
1925,2.2915922854e-06
1924,1.80663451784e-05
1923,1.01907400821e-06
1922,5.80031936558e-07
1921,3.2369216228e-06
1920,8.8075695776e-07
1919,8.99227204141e-07
1918,5.19438501821e-06
1917,0.0
1916,0.0
1915,2.77938673388e-06
1914,5.36891131901e-06
1913,0.0
1912,3.1774410161e-06
1911,1.54616301609e-06
1910,1.00569828649e-06
1909,8.80572143981e-06
1908,3.96659728427e-06
1907,2.70045621507e-06
1906,2.46224758884e-06
1905,3.18603446397e-06
1904,1.96993226716e-06
1903,7.17867125406e-06
1902,2.73888935298e-06
1901,1.37086299253e-06
1900,1.24901015945e-06
1899,0.0
1898,1.97779985588e-06
1897,6.47471300835e-07
1896,1.25848216982e-06
1895,4.59994900628e-06
1894,3.15086068911e-06
1893,1.27376770935e-06
1892,7.07052657425e-06
1891,2.47240028655e-06
1890,6.55455321871e-06
1889,2.05904093991e-06
1888,5.66428625037e-06
1887,3.33574618974e-06
1886,2.70054226889e-06
1885,2.83749321662e-06
1884,6.95157463593e-07
1883,2.13916860499e-06
1882,4.82218203737e-06
1881,9.1099380314e-06
1880,4.91480881043e-06
1879,1.01469172143e-06
1878,2.24334204124e-06
1877,3.78963005631e-06
1876,2.55609673804e-06
1875,3.9519860047e-06
1874,2.70137027007e-06
1873,2.63811174514e-06
1872,4.09728036187e-06
1871,4.25618849808e-06
1870,3.92219925557e-06
1869,1.16010028422e-05
1868,1.46901120856e-06
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,3.38964091839e-06
1860,0.0
1859,3.61439468829e-06
1858,3.65285461456e-06
1857,7.04335714575e-06
1856,8.54562079662e-06
1855,0.0
1854,0.0
1853,3.93613231702e-06
1852,1.948915039e-06
1851,0.0
1850,1.71639049944e-06
1849,0.0
1848,1.77105250108e-06
1847,1.75930584828e-06
1846,0.0
1845,0.0
1844,6.07567865331e-06
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,2.07875141875e-06
1833,2.19657597737e-06
1832,0.0
1831,0.0
1830,2.27341963234e-06
1829,2.39214419845e-06
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
