date,freq
2017,3.70314008921e-05
2016,7.01525647179e-05
2015,2.97408675324e-05
2014,3.1629710063e-05
2013,4.23801285631e-05
2012,5.73696036717e-05
2011,4.14992593412e-05
2010,3.63155954103e-05
2009,7.40259649564e-05
2008,2.95139195368e-05
2007,5.14603971995e-05
2006,5.61338571359e-05
2005,7.85435381753e-05
2004,5.81978937448e-05
2003,8.80001106623e-05
2002,5.64543648006e-05
2001,7.26213799305e-05
2000,0.000161864980558
1999,7.48730474421e-05
1998,5.08160421163e-05
1997,6.15375098508e-05
1996,6.15670790515e-05
1995,9.78327440367e-05
1994,0.000109626094585
1993,7.6215534217e-05
1992,0.000103821094216
1991,7.89297330581e-05
1990,9.50091116723e-05
1989,3.9994431944e-05
1988,4.51903238909e-05
1987,7.73522169201e-05
1986,3.53142378599e-05
1985,7.62215347855e-05
1984,8.32945297258e-05
1983,8.45944113777e-05
1982,4.99148274159e-05
1981,5.30529435591e-05
1980,8.28594297961e-05
1979,5.20199094381e-05
1978,9.07968018968e-05
1977,6.88812086713e-05
1976,6.61507556265e-05
1975,6.19101887223e-05
1974,6.75728601844e-05
1973,0.000142585828271
1972,8.10205905517e-05
1971,0.000108977626574
1970,0.000113505210249
1969,0.000103134977631
1968,9.00861685558e-05
1967,7.79142067191e-05
1966,7.21979957836e-05
1965,9.10954046474e-05
1964,7.09984844554e-05
1963,0.000123609441183
1962,0.000140375151587
1961,0.000120102185572
1960,0.000164960294345
1959,0.000102157743865
1958,0.000180275133574
1957,9.06956399612e-05
1956,9.50149559757e-05
1955,0.000185177411154
1954,0.000187075386496
1953,0.00017811943833
1952,0.000160634025691
1951,0.00011262262202
1950,0.00021192618512
1949,0.000172160482009
1948,0.000178017658696
1947,0.000154376157821
1946,0.000131161643136
1945,0.000185693330804
1944,0.000207656961083
1943,0.000190869588683
1942,0.000127509614726
1941,0.000158467551816
1940,0.000163800813676
1939,0.000175517441068
1938,0.000172166080312
1937,0.000201555309495
1936,0.000180835390943
1935,0.000177969220374
1934,0.00022322195859
1933,0.000156688425273
1932,0.00019432750776
1931,0.000146936275471
1930,0.000217681363917
1929,0.000123654065055
1928,0.000126775826613
1927,0.000126028249717
1926,0.00016817566825
1925,0.000111829703528
1924,0.000126464416249
1923,0.00012279841799
1922,4.9882746544e-05
1921,0.000142424551403
1920,4.66801187613e-05
1919,1.34884080621e-05
1918,4.0813025143e-05
1917,0.000117467758431
1916,6.51813327524e-05
1915,7.6711073855e-05
1914,0.000102009315061
1913,0.000180390244228
1912,0.000213418121582
1911,0.000189147275635
1910,0.000143814854968
1909,0.000128977919912
1908,0.000143789151555
1907,0.000124761077136
1906,0.000126805750825
1905,0.00010259030974
1904,0.000129358885544
1903,0.000116816559498
1902,6.91569561627e-05
1901,6.23742661599e-05
1900,9.11777416398e-05
1899,9.79700856078e-05
1898,6.13117955324e-05
1897,0.000102947936833
1896,3.77544650947e-05
1895,5.51993880754e-05
1894,7.37301401251e-05
1893,4.5218753682e-05
1892,6.68486148838e-05
1891,2.96688034386e-05
1890,3.21173107717e-05
1889,3.91217778583e-05
1888,7.29276854735e-05
1887,3.20231634215e-05
1886,2.430488042e-05
1885,2.83749321662e-05
1884,4.72707075243e-05
1883,4.49225407048e-05
1882,1.51554292603e-05
1881,1.5416818207e-05
1880,1.614865752e-05
1879,3.14554433645e-05
1878,2.24334204124e-05
1877,2.02113603003e-05
1876,2.55609673804e-05
1875,2.63465733647e-05
1874,2.56630175657e-05
1873,7.91433523541e-06
1872,3.2778242895e-05
1871,1.41872949936e-05
1870,4.18367920594e-05
1869,3.48030085267e-05
1868,3.67252802139e-05
1867,1.19981762772e-05
1866,2.04306407606e-05
1865,1.10988407261e-05
1864,2.62747475278e-05
1863,3.20124635191e-05
1862,6.9508160258e-06
1861,8.47410229597e-05
1860,4.35348088006e-05
1859,1.62647760973e-05
1858,1.2784991151e-05
1857,6.33902143117e-05
1856,3.93098556645e-05
1855,4.56284440701e-05
1854,2.22704749179e-05
1853,4.32974554873e-05
1852,3.5080470702e-05
1851,1.86282811177e-05
1850,2.57458574915e-05
1849,2.07988851798e-05
1848,6.37578900389e-05
1847,6.68536222348e-05
1846,1.65314873172e-05
1845,4.54969403308e-05
1844,8.7084727364e-05
1843,5.73912528325e-05
1842,2.05567686587e-05
1841,2.90467580187e-05
1840,4.83174544608e-05
1839,1.21512884011e-05
1838,8.19058955864e-05
1837,1.38688560967e-05
1836,3.52530064205e-05
1835,2.17092566099e-05
1834,2.28662656062e-05
1833,1.97691837963e-05
1832,3.98518397159e-05
1831,2.73036921418e-05
1830,7.04760086026e-05
1829,5.74114607629e-05
1828,4.69136059883e-05
1827,1.13304176392e-05
1826,2.5787651583e-05
1825,7.35294117647e-05
1824,3.48161706191e-05
1823,1.51967985411e-05
1822,2.57781123204e-05
1821,1.11159280133e-05
1820,0.000178237822066
1819,4.11355769852e-05
1818,2.34612361725e-05
1817,1.20342011998e-05
1816,2.66654222803e-05
1815,3.25866642335e-05
1814,5.21243948684e-05
1813,2.33523005908e-05
1812,1.29806069732e-05
