date,freq
2017,2.31446255576e-06
2016,2.85173027308e-07
2015,2.88746286723e-07
2014,0.0
2013,3.02715204022e-07
2012,2.98800019123e-07
2011,2.94320988236e-07
2010,0.0
2009,0.0
2008,0.0
2007,8.62464757534e-07
2006,5.67008657939e-07
2005,2.81518057976e-07
2004,1.13005618922e-06
2003,2.94314751379e-07
2002,0.0
2001,6.54246666041e-07
2000,1.54157124341e-06
1999,2.94775777331e-07
1998,6.35200526454e-07
1997,2.89967323904e-06
1996,1.25009297567e-06
1995,6.13371435967e-07
1994,8.93690988467e-07
1993,1.10457295967e-06
1992,1.32763547591e-06
1991,1.51787948189e-06
1990,7.46144856065e-07
1989,5.19408207065e-07
1988,1.61394013896e-06
1987,1.11298153842e-06
1986,1.96190210333e-06
1985,8.46905942061e-07
1984,1.07476812549e-06
1983,8.60282149604e-07
1982,5.77050027929e-07
1981,8.94150734142e-07
1980,1.96504576592e-06
1979,2.02674971837e-06
1978,1.02788832336e-06
1977,2.674998395e-06
1976,3.24268409934e-07
1975,1.72933488051e-06
1974,3.36183384002e-07
1973,0.0
1972,1.76900852733e-06
1971,7.0995196465e-07
1970,2.16200400475e-06
1969,7.23754228986e-07
1968,7.57026626519e-07
1967,7.49175064607e-07
1966,2.22147679334e-06
1965,7.8193480384e-07
1964,0.0
1963,7.58340129957e-07
1962,1.60888425888e-06
1961,1.23392656409e-06
1960,4.113723051e-07
1959,2.46163238228e-06
1958,1.29694340701e-06
1957,8.80540193798e-07
1956,4.43995121382e-07
1955,0.0
1954,9.76894968649e-07
1953,1.45999539615e-06
1952,2.12760298928e-06
1951,2.20828670628e-06
1950,5.20703157544e-07
1949,2.53924014762e-06
1948,2.18426575088e-06
1947,1.08334145839e-06
1946,1.77245463698e-06
1945,2.00388486479e-06
1944,1.29785600677e-06
1943,1.31634199091e-06
1942,1.67043163397e-06
1941,1.67395301214e-06
1940,5.66784822409e-07
1939,2.79486371127e-06
1938,0.0
1937,2.05145353176e-06
1936,4.28519883751e-07
1935,2.58550925483e-06
1934,3.39501077704e-06
1933,2.48055554522e-06
1932,2.97657014075e-06
1931,2.8891964278e-06
1930,3.46902571979e-06
1929,1.66537461353e-06
1928,2.84432944324e-06
1927,5.53970328426e-06
1926,2.3686713838e-06
1925,2.74991074248e-06
1924,2.31619809979e-06
1923,5.60490704516e-06
1922,2.90015968279e-06
1921,9.71076486839e-06
1920,5.28454174656e-06
1919,2.69768161242e-06
1918,2.9682200104e-06
1917,1.21100781887e-06
1916,5.14589469098e-06
1915,5.00289612098e-06
1914,5.90580245091e-06
1913,3.3405600783e-06
1912,6.88445553489e-06
1911,6.18465206436e-06
1910,5.02849143246e-06
1909,3.10790168464e-06
1908,1.98329864213e-06
1907,1.08018248603e-05
1906,4.92449517769e-06
1905,3.82324135677e-06
1904,3.28322044527e-06
1903,2.61042591057e-06
1902,6.1625010442e-06
1901,5.4834519701e-06
1900,3.12252539862e-06
1899,7.08994040583e-06
1898,1.31853323726e-06
1897,3.23735650417e-06
1896,4.40468759439e-06
1895,9.19989801256e-06
1894,6.93189351603e-06
1893,4.45818698273e-06
1892,2.57110057246e-06
1891,3.70860042983e-06
1890,7.86546386245e-06
1889,6.17712281973e-06
1888,3.54017890648e-06
1887,4.67004466564e-06
1886,5.40108453778e-06
1885,3.54686652077e-06
1884,5.56125970874e-06
1883,6.41750581497e-06
1882,3.44441574098e-06
1881,4.90535124768e-06
1880,3.51057772173e-06
1879,2.02938344287e-06
1878,3.36501306186e-06
1877,0.0
1876,3.83414510706e-06
1875,5.26931467293e-06
1874,5.40274054014e-06
1873,5.27622349027e-06
1872,1.36576012062e-06
1871,5.67491799743e-06
1870,2.61479950371e-06
1869,7.73400189483e-06
1868,5.87604483422e-06
1867,8.57012591229e-06
1866,7.42932391295e-06
1865,5.54942036304e-06
1864,7.50707072224e-06
1863,3.55694039101e-06
1862,1.73770400645e-06
1861,0.0
1860,1.81395036669e-06
1859,3.61439468829e-06
1858,2.19171276874e-05
1857,7.04335714575e-06
1856,3.41824831865e-06
1855,7.01976062616e-06
1854,4.45409498358e-06
1853,1.37764631096e-05
1852,7.79566015599e-06
1851,1.69348010161e-06
1850,1.02983429966e-05
1849,6.93296172658e-06
1848,1.23973675076e-05
1847,5.27791754485e-06
1846,8.26574365862e-06
1845,1.04992939225e-05
1844,1.62018097421e-05
1843,9.25665368267e-06
1842,1.14204270326e-05
1841,7.26168950468e-06
1840,0.0
1839,1.45815460813e-05
1838,2.73019651955e-06
1837,2.31147601612e-06
1836,8.81325160511e-06
1835,8.68370264397e-06
1834,4.1575028375e-06
1833,4.39315195473e-06
1832,4.42798219066e-06
1831,4.55061535696e-06
1830,2.27341963234e-06
1829,7.17643259536e-06
1828,7.81893433138e-06
1827,5.6652088196e-06
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,5.86530904313e-06
1817,0.0
1816,0.0
1815,0.0
1814,6.51554935854e-06
1813,0.0
1812,6.49030348659e-06
