date,freq
2017,0.000129609903122
2016,0.000132035111644
2015,0.000142640665641
2014,0.000154463535551
2013,0.000140459854666
2012,0.000138344408854
2011,0.00014686617313
2010,0.000161077237707
2009,0.000142465064633
2008,0.000153362049182
2007,0.000138281849458
2006,0.000145154216432
2005,0.000148360016553
2004,0.000148319874835
2003,0.00016864235254
2002,0.000157444950722
2001,0.000164215913176
2000,0.000146140953875
1999,0.000164484883751
1998,0.000192148159252
1997,0.000162703887302
1996,0.000182513574447
1995,0.000179104459302
1994,0.000184696137616
1993,0.000159886935912
1992,0.000176044464105
1991,0.00015532966698
1990,0.000170867172039
1989,0.000176858494506
1988,0.000161125023873
1987,0.000168338457686
1986,0.000172367113364
1985,0.000181802475563
1984,0.000163364755075
1983,0.000194423765811
1982,0.000176288783532
1981,0.000196415111267
1980,0.000195522053709
1979,0.000190176681907
1978,0.000207290811878
1977,0.000210656123606
1976,0.00019618238801
1975,0.000212016456351
1974,0.000202382397169
1973,0.000169663425467
1972,0.000172301430562
1971,0.00019239698242
1970,0.00019097702042
1969,0.000210612480635
1968,0.000189635169943
1967,0.000179052840441
1966,0.00015809509846
1965,0.000141139232093
1964,0.000155650523614
1963,0.000149772175666
1962,0.000194272774259
1961,0.000122981347555
1960,0.000129582276107
1959,9.76447511638e-05
1958,0.000120183422383
1957,0.000116231305581
1956,0.000107890814496
1955,0.000110546716483
1954,0.000109412236489
1953,0.00010219967773
1952,0.000105848248717
1951,7.01131029244e-05
1950,0.00011663750729
1949,7.56693563991e-05
1948,8.24560320956e-05
1947,8.07089386504e-05
1946,7.03073672668e-05
1945,8.14913178348e-05
1944,9.21477764806e-05
1943,7.6347835473e-05
1942,7.73966657071e-05
1941,7.1979979522e-05
1940,7.42488117356e-05
1939,6.98715927816e-05
1938,7.53570383474e-05
1937,6.51336496333e-05
1936,6.17068632602e-05
1935,4.65391665869e-05
1934,4.83789035728e-05
1933,5.62259256917e-05
1932,4.71998979462e-05
1931,3.8385038255e-05
1930,3.46902571979e-05
1929,5.45410185931e-05
1928,3.81952810949e-05
1927,4.80107617969e-05
1926,5.02158333365e-05
1925,5.77481255921e-05
1924,4.4471003516e-05
1923,4.28011083449e-05
1922,4.75626187978e-05
1921,3.31784466337e-05
1920,2.90649796061e-05
1919,2.51783617159e-05
1918,2.9682200104e-05
1917,2.11926368303e-05
1916,4.40259879117e-05
1915,3.9467291621e-05
1914,4.56357462116e-05
1913,2.33839205481e-05
1912,2.80673956422e-05
1911,3.55617493701e-05
1910,2.96680994515e-05
1909,1.91653937219e-05
1908,4.16492714848e-05
1907,3.45658395529e-05
1906,3.26247805522e-05
1905,2.99487239613e-05
1904,3.34888485418e-05
1903,3.00198979715e-05
1902,3.56055615887e-05
1901,1.71357874066e-05
1900,1.87351523917e-05
1899,1.2246260701e-05
1898,2.70299313638e-05
1897,2.46039094317e-05
1896,2.39111612267e-05
1895,1.97140671698e-05
1894,1.95353362725e-05
1893,1.71958640762e-05
1892,2.12115797228e-05
1891,1.05077012178e-05
1890,1.96636596561e-05
1889,1.23542456395e-05
1888,1.55767871885e-05
1887,1.60115817108e-05
1886,9.45189794111e-06
1885,1.34780927789e-05
1884,1.73789365898e-05
1883,1.14088992266e-05
1882,9.64436407474e-06
1881,1.4716053743e-05
1880,1.89571196974e-05
1879,2.53672930359e-05
1878,3.36501306186e-06
1877,1.38953102065e-05
1876,8.94633858313e-06
1875,1.31732866823e-05
1874,9.45479594524e-06
1873,1.18715028531e-05
1872,9.56032084437e-06
1871,4.25618849808e-06
1870,6.53699875928e-06
1869,2.32020056845e-05
1868,2.20351681283e-05
1867,3.42805036492e-06
1866,1.30013168477e-05
1865,1.84980678768e-06
1864,5.63030304168e-06
1863,5.33541058652e-06
1862,6.9508160258e-06
1861,5.08446137758e-06
1860,1.45116029335e-05
1859,1.80719734414e-06
1858,1.09585638437e-05
1857,1.76083928644e-06
1856,1.36729932746e-05
1855,5.26482046962e-06
1854,4.45409498358e-06
1853,3.93613231702e-06
1852,1.1693490234e-05
1851,3.38696020322e-06
1850,6.86556199774e-06
1849,1.21326830215e-05
1848,7.08421000432e-06
1847,3.51861169657e-06
1846,1.23986154879e-05
1845,6.99952928166e-06
1844,6.07567865331e-06
1843,7.40532294613e-06
1842,6.85225621956e-06
1841,9.68225267291e-06
1840,2.19624793004e-06
1839,4.86051536044e-06
1838,0.0
1837,1.15573800806e-05
1836,4.40662580256e-06
1835,1.0854628305e-05
1834,6.23625425624e-06
1833,4.39315195473e-06
1832,6.64197328598e-06
1831,9.10123071392e-06
1830,4.54683926469e-06
1829,9.56857679381e-06
1828,7.81893433138e-06
1827,1.13304176392e-05
1826,0.0
1825,1.13122171946e-05
1824,4.97373865988e-06
1823,5.0655995137e-06
1822,1.54668673922e-05
1821,1.11159280133e-05
1820,6.60140081725e-06
1819,5.87651099789e-06
1818,1.75959271294e-05
1817,6.0171005999e-06
1816,6.66635557007e-06
1815,6.51733284671e-06
1814,6.51554935854e-06
1813,7.78410019694e-06
1812,6.49030348659e-06
