date,freq
2017,5.78615638939e-07
2016,8.55519081925e-07
2015,1.15498514689e-06
2014,3.07084563719e-07
2013,1.51357602011e-06
2012,3.28680021036e-06
2011,1.76592592941e-06
2010,2.05007393445e-06
2009,8.38029791959e-07
2008,1.37915511854e-06
2007,1.72492951507e-06
2006,2.26803463175e-06
2005,2.25214446381e-06
2004,1.97759833113e-06
2003,3.23746226517e-06
2002,1.56817680002e-06
2001,9.81369999061e-07
2000,2.15819974077e-06
1999,2.65298199598e-06
1998,9.52800789681e-07
1997,1.9331154927e-06
1996,6.25046487833e-07
1995,3.37354289782e-06
1994,8.93690988467e-07
1993,8.28429719751e-07
1992,2.38974385663e-06
1991,1.26489956824e-06
1990,1.49228971213e-06
1989,2.85674513886e-06
1988,2.95889025476e-06
1987,2.22596307684e-06
1986,2.80271729047e-06
1985,3.10532178756e-06
1984,4.56776453335e-06
1983,2.29408573228e-06
1982,2.88525013965e-06
1981,2.38440195771e-06
1980,2.94756864887e-06
1979,5.40466591564e-06
1978,3.08366497008e-06
1977,3.34374799375e-06
1976,4.864026149e-06
1975,3.80453673713e-06
1974,3.36183384002e-06
1973,3.42754394883e-06
1972,2.83041364373e-06
1971,5.32463973488e-06
1970,3.60334000792e-06
1969,6.15191094638e-06
1968,3.7851331326e-06
1967,5.61881298455e-06
1966,2.96196905779e-06
1965,4.30064142112e-06
1964,8.19213282178e-06
1963,6.06672103965e-06
1962,5.63109490607e-06
1961,5.34701511108e-06
1960,5.7592122714e-06
1959,5.33353682828e-06
1958,7.34934597306e-06
1957,4.40270096899e-06
1956,8.87990242763e-06
1955,9.32883683398e-06
1954,7.81515974919e-06
1953,6.81331184869e-06
1952,6.38280896785e-06
1951,7.17693179541e-06
1950,7.28984420562e-06
1949,6.60202438382e-06
1948,6.55279725263e-06
1947,6.50004875037e-06
1946,5.90818212326e-06
1945,6.67961621597e-06
1944,1.03828480542e-05
1943,5.26536796366e-06
1942,8.35215816983e-06
1941,1.56235614466e-05
1940,7.93498751373e-06
1939,1.17384275873e-05
1938,9.35087337157e-06
1937,1.07701310417e-05
1936,1.49981959313e-05
1935,8.61836418277e-06
1934,1.10337850254e-05
1933,1.28162036503e-05
1932,1.61585236212e-05
1931,1.65096938731e-05
1930,1.34424746642e-05
1929,1.20739659481e-05
1928,1.21899833282e-05
1927,1.75423937335e-05
1926,1.65806996866e-05
1925,2.79574258819e-05
1924,1.76031055584e-05
1923,1.9362406156e-05
1922,2.66814690817e-05
1921,2.67046033881e-05
1920,2.02574100285e-05
1919,1.70853168787e-05
1918,2.74560350962e-05
1917,2.78531798341e-05
1916,3.25906663762e-05
1915,3.16850087662e-05
1914,3.32872501778e-05
1913,2.56109606003e-05
1912,2.96561161503e-05
1911,3.04078726498e-05
1910,3.31880434542e-05
1909,5.07623941824e-05
1908,2.62787070083e-05
1907,4.64478468993e-05
1906,4.00115233187e-05
1905,2.99487239613e-05
1904,2.29825431169e-05
1903,2.80620785386e-05
1902,3.6290283927e-05
1901,3.15298488281e-05
1900,2.56047082687e-05
1899,2.57816014757e-05
1898,3.09855310755e-05
1897,3.69058641476e-05
1896,3.02035720758e-05
1895,2.95711007547e-05
1894,3.33991233045e-05
1893,4.01236828446e-05
1892,2.69965560108e-05
1891,3.77041043699e-05
1890,3.40836767373e-05
1889,3.36310020185e-05
1888,3.54017890648e-05
1887,4.40318497046e-05
1886,3.24065072267e-05
1885,3.97249050326e-05
1884,5.07464948423e-05
1883,4.56355969065e-05
1882,4.33996383363e-05
1881,4.90535124768e-05
1880,4.21269326608e-05
1879,4.05876688574e-05
1878,5.27185379691e-05
1877,4.92651907321e-05
1876,4.85658380227e-05
1875,6.05971187387e-05
1874,6.88849418868e-05
1873,0.00010288635806
1872,6.69222459106e-05
1871,9.36361469577e-05
1870,5.75255890816e-05
1869,6.57390161061e-05
1868,4.55393474652e-05
1867,7.54171080282e-05
1866,5.01479364124e-05
1865,8.6940919021e-05
1864,4.12888889723e-05
1863,5.51325760607e-05
1862,4.51803041677e-05
1861,4.91497933166e-05
1860,6.53022132008e-05
1859,7.77094857981e-05
1858,5.47928192184e-05
1857,4.75426607338e-05
1856,6.15284697357e-05
1855,7.19525464182e-05
1854,4.45409498358e-05
1853,6.88823155479e-05
1852,4.2876130858e-05
1851,4.91109229467e-05
1850,8.06703534735e-05
1849,5.3730453381e-05
1848,6.72999950411e-05
1847,5.27791754485e-05
1846,7.02588210983e-05
1845,5.42463519328e-05
1844,3.84792981376e-05
1843,5.73912528325e-05
1842,7.08066476022e-05
1841,5.08318265328e-05
1840,3.95324627407e-05
1839,8.50590188078e-05
1838,5.73341269105e-05
1837,6.70328044676e-05
1836,4.62695709268e-05
1835,8.68370264397e-05
1834,6.85987968187e-05
1833,5.49143994342e-05
1832,4.87078040972e-05
1831,7.28098457114e-05
1830,8.18431067643e-05
1829,8.13329027474e-05
1828,3.64883602131e-05
1827,5.6652088196e-05
1826,7.09160418534e-05
1825,6.78733031674e-05
1824,5.47111252586e-05
1823,6.58527936781e-05
1822,8.76455818893e-05
1821,3.89057480464e-05
1820,0.000125426615528
1819,5.2888598981e-05
1818,9.38449446901e-05
1817,7.82223077988e-05
1816,7.33299112708e-05
1815,7.16906613138e-05
1814,5.86399442269e-05
1813,7.78410019694e-05
1812,5.19224278927e-05
