date,freq
2017,0.0
2016,1.14069210923e-06
2015,5.77492573446e-07
2014,0.0
2013,6.05430408045e-07
2012,2.98800019123e-07
2011,5.88641976471e-07
2010,0.0
2009,8.38029791959e-07
2008,0.0
2007,0.0
2006,0.0
2005,0.0
2004,0.0
2003,2.94314751379e-07
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,0.0
1997,0.0
1996,0.0
1995,0.0
1994,2.97896996156e-07
1993,0.0
1992,2.65527095181e-07
1991,0.0
1990,0.0
1989,2.59704103533e-07
1988,0.0
1987,0.0
1986,1.40135864523e-06
1985,2.82301980687e-07
1984,0.0
1983,0.0
1982,5.77050027929e-07
1981,0.0
1980,6.55015255305e-07
1979,0.0
1978,0.0
1977,0.0
1976,3.24268409934e-07
1975,6.91733952205e-07
1974,0.0
1973,0.0
1972,0.0
1971,0.0
1970,7.20668001584e-07
1969,0.0
1968,0.0
1967,0.0
1966,0.0
1965,0.0
1964,0.0
1963,0.0
1962,4.02221064719e-07
1961,0.0
1960,0.0
1959,0.0
1958,0.0
1957,0.0
1956,0.0
1955,9.32883683398e-07
1954,0.0
1953,0.0
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,5.41670729197e-07
1946,0.0
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,5.66784822409e-07
1939,0.0
1938,0.0
1937,5.12863382939e-07
1936,0.0
1935,0.0
1934,0.0
1933,0.0
1932,8.50448611643e-07
1931,4.12742346828e-07
1930,3.03539750482e-06
1929,2.49806192029e-06
1928,4.06332777606e-07
1927,1.38492582106e-06
1926,9.47468553519e-07
1925,9.1663691416e-07
1924,0.0
1923,5.09537004106e-07
1922,0.0
1921,8.092304057e-07
1920,0.0
1919,8.99227204141e-07
1918,7.42055002601e-07
1917,6.05503909436e-07
1916,1.14353215355e-06
1915,1.11175469355e-06
1914,0.0
1913,1.67028003915e-06
1912,5.29573502684e-07
1911,0.0
1910,0.0
1909,5.17983614106e-07
1908,0.0
1907,1.08018248603e-06
1906,6.15561897211e-07
1905,0.0
1904,6.56644089054e-07
1903,0.0
1902,0.0
1901,0.0
1900,1.87351523917e-06
1899,6.44540036893e-07
1898,0.0
1897,6.47471300835e-07
1896,0.0
1895,0.0
1894,6.30172137821e-07
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,6.75135567222e-07
1885,0.0
1884,0.0
1883,7.13056201664e-07
1882,1.37776629639e-06
1881,7.00764463954e-07
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,1.31732866823e-06
1874,1.35068513503e-06
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,2.93802241711e-06
1867,0.0
1866,0.0
1865,1.84980678768e-06
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,1.81395036669e-06
1859,0.0
1858,0.0
1857,0.0
1856,1.70912415932e-06
1855,1.75494015654e-06
1854,2.22704749179e-06
1853,0.0
1852,3.897830078e-06
1851,1.69348010161e-06
1850,1.71639049944e-06
1849,1.73324043165e-06
1848,0.0
1847,0.0
1846,0.0
1845,1.74988232041e-06
1844,0.0
1843,1.85133073653e-06
1842,0.0
1841,2.42056316823e-06
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,2.17092566099e-06
1834,0.0
1833,0.0
1832,0.0
1831,2.27530767848e-06
1830,0.0
1829,2.39214419845e-06
1828,0.0
1827,5.6652088196e-06
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
