date,freq
2017,0.000317081370139
2016,6.58749693083e-05
2015,9.5863767192e-05
2014,7.30861261651e-05
2013,0.000104739460592
2012,0.000161650810346
2011,6.82824692707e-05
2010,8.37601636076e-05
2009,9.88875154512e-05
2008,5.73728529313e-05
2007,7.61843869155e-05
2006,6.5205995663e-05
2005,4.81395879139e-05
2004,5.48077251771e-05
2003,2.67826423755e-05
2002,4.48498564805e-05
2001,6.86958999343e-05
2000,4.06974808259e-05
1999,2.59402684051e-05
1998,5.5897646328e-05
1997,4.28507267548e-05
1996,1.65637319276e-05
1995,1.38008573093e-05
1994,2.02569957386e-05
1993,4.72204940258e-05
1992,3.00045617555e-05
1991,3.21284490333e-05
1990,2.03946260658e-05
1989,2.88271554921e-05
1988,2.87819324781e-05
1987,4.98059238442e-05
1986,3.19509771113e-05
1985,2.51248762812e-05
1984,3.25117357962e-05
1983,1.72056429921e-05
1982,2.82754513685e-05
1981,1.69888639487e-05
1980,2.2598026308e-05
1979,1.35116647891e-05
1978,1.16494009981e-05
1977,1.80562391663e-05
1976,2.88598884841e-05
1975,4.42709729411e-05
1974,2.55499371841e-05
1973,3.35899306985e-05
1972,1.30906631022e-05
1971,3.08829104623e-05
1970,1.11703540246e-05
1969,2.24363810986e-05
1968,2.46033653619e-05
1967,1.08630384368e-05
1966,1.66610759501e-05
1965,6.25547843072e-06
1964,1.63842656436e-05
1963,1.85793331839e-05
1962,8.44664235911e-06
1961,1.60410453332e-05
1960,1.43980306785e-05
1959,7.38489714684e-06
1958,1.16724906631e-05
1957,1.89316141667e-05
1956,1.68718146125e-05
1955,9.32883683398e-06
1954,2.19801367946e-05
1953,1.11932980371e-05
1952,2.6595037366e-05
1951,1.10414335314e-05
1950,5.72773473298e-06
1949,6.09417635429e-06
1948,1.20134616298e-05
1947,1.35417682299e-05
1946,1.12255460342e-05
1945,3.33980810799e-06
1944,9.73392005077e-06
1943,4.6071969682e-06
1942,1.05794003485e-05
1941,7.25379638594e-06
1940,6.2346330465e-06
1939,5.03075468028e-06
1938,5.50051374798e-06
1937,1.17958578076e-05
1936,6.85631814002e-06
1935,5.17101850966e-06
1934,9.33627963685e-06
1933,9.50879625668e-06
1932,5.52791597568e-06
1931,7.84210458974e-06
1930,1.30088464492e-05
1929,1.4155684215e-05
1928,4.46966055366e-06
1927,1.24643323896e-05
1926,1.1843356919e-05
1925,3.02490181673e-05
1924,8.33831315925e-06
1923,1.63051841314e-05
1922,6.38035130214e-06
1921,4.0461520285e-06
1920,1.49728682819e-05
1919,1.2589180858e-05
1918,1.63252100572e-05
1917,1.15045742793e-05
1916,1.37223858426e-05
1915,8.8940375484e-06
1914,1.28853871656e-05
1913,1.1135200261e-05
1912,1.58872050805e-05
1911,1.7523180849e-05
1910,1.30740777244e-05
1909,1.19136231244e-05
1908,1.18997918528e-05
1907,1.40423723184e-05
1906,1.90824188135e-05
1905,1.01953102847e-05
1904,1.44461699592e-05
1903,1.37047360305e-05
1902,1.23250020884e-05
1901,6.16888346636e-06
1900,4.99604063779e-06
1899,1.03126405903e-05
1898,1.25260657539e-05
1897,6.47471300835e-06
1896,8.18013410386e-06
1895,5.91422015093e-06
1894,7.56206565385e-06
1893,1.01901416748e-05
1892,7.07052657425e-06
1891,4.9448005731e-06
1890,7.21000854058e-06
1889,7.54981677967e-06
1888,9.20446515685e-06
1887,1.40101339969e-05
1886,4.05081340333e-06
1885,1.06405995623e-05
1884,1.04273619539e-05
1883,1.35480678316e-05
1882,1.03332472229e-05
1881,7.70840910349e-06
1880,9.82961762085e-06
1879,5.07345860717e-06
1878,1.00950391856e-05
1877,3.78963005631e-06
1876,8.94633858313e-06
1875,6.58664334117e-06
1874,9.45479594524e-06
1873,2.63811174514e-06
1872,2.73152024125e-06
1871,0.0
1870,3.92219925557e-06
1869,2.57800063161e-06
1868,1.46901120856e-06
1867,0.0
1866,1.11439858694e-05
1865,0.0
1864,5.63030304168e-06
1863,0.0
1862,0.0
1861,5.08446137758e-06
1860,0.0
1859,3.61439468829e-06
1858,1.82642730728e-06
1857,1.05650357186e-05
1856,5.12737247797e-06
1855,5.26482046962e-06
1854,0.0
1853,1.96806615851e-06
1852,5.84674511699e-06
1851,1.69348010161e-06
1850,5.14917149831e-06
1849,5.19972129494e-06
1848,3.54210500216e-06
1847,8.79652924142e-06
1846,2.27307950612e-05
1845,1.74988232041e-06
1844,2.02522621777e-06
1843,1.85133073653e-06
1842,4.56817081304e-06
1841,9.68225267291e-06
1840,1.09812396502e-05
1839,2.43025768022e-06
1838,0.0
1837,4.62295203225e-06
1836,4.40662580256e-06
1835,8.68370264397e-06
1834,1.663001135e-05
1833,2.19657597737e-05
1832,1.54979376673e-05
1831,4.55061535696e-06
1830,1.13670981617e-05
1829,0.0
1828,5.21262288758e-06
1827,0.0
1826,1.28938257915e-05
1825,2.26244343891e-05
1824,9.94747731975e-06
1823,1.01311990274e-05
1822,0.0
1821,0.0
1820,6.60140081725e-06
1819,0.0
1818,0.0
1817,0.0
1816,1.33327111401e-05
1815,0.0
1814,0.0
1813,0.0
1812,0.0
