date,freq
2017,0.0
2016,0.0
2015,1.44373143361e-06
2014,0.0
2013,9.08145612067e-07
2012,8.9640005737e-07
2011,5.88641976471e-07
2010,2.92867704922e-07
2009,8.38029791959e-07
2008,5.51662047416e-07
2007,1.14995301005e-06
2006,5.67008657939e-07
2005,1.97062640583e-06
2004,5.65028094609e-07
2003,1.17725900552e-06
2002,1.56817680002e-06
2001,6.54246666041e-07
2000,6.16628497363e-07
1999,5.89551554662e-07
1998,1.27040105291e-06
1997,1.2887436618e-06
1996,3.12523243916e-06
1995,9.2005715395e-07
1994,2.6810729654e-06
1993,1.93300267942e-06
1992,1.06210838073e-06
1991,2.27681922283e-06
1990,1.24357476011e-06
1989,1.29852051766e-06
1988,5.11081044004e-06
1987,1.11298153842e-06
1986,5.60543458093e-07
1985,1.41150990344e-06
1984,8.06076094121e-07
1983,5.73521433069e-07
1982,2.01967509775e-06
1981,5.96100489428e-07
1980,3.60258390418e-06
1979,6.0802491551e-06
1978,1.02788832336e-06
1977,1.3374991975e-06
1976,6.48536819867e-07
1975,6.91733952205e-07
1974,2.68946707201e-06
1973,1.71377197441e-06
1972,1.0614051164e-06
1971,1.4199039293e-06
1970,2.16200400475e-06
1969,1.08563134348e-06
1968,1.13553993978e-06
1967,2.99670025843e-06
1966,7.40492264448e-07
1965,3.9096740192e-07
1964,1.56040625177e-06
1963,1.51668025991e-06
1962,1.60888425888e-06
1961,2.05654427349e-06
1960,2.4682338306e-06
1959,8.20544127427e-07
1958,1.72925787601e-06
1957,4.40270096899e-07
1956,4.43995121382e-07
1955,2.33220920849e-06
1954,1.46534245297e-06
1953,1.45999539615e-06
1952,2.6595037366e-06
1951,1.10414335314e-06
1950,2.08281263018e-06
1949,2.0313921181e-06
1948,1.63819931316e-06
1947,1.08334145839e-06
1946,2.95409106163e-06
1945,3.33980810799e-06
1944,3.89356802031e-06
1943,2.63268398183e-06
1942,1.67043163397e-06
1941,2.7899216869e-06
1940,2.83392411205e-06
1939,1.17384275873e-05
1938,4.40041099839e-06
1937,4.10290706351e-06
1936,5.14223860501e-06
1935,4.74010030052e-06
1934,3.81938712417e-06
1933,8.26851848407e-06
1932,5.9531402815e-06
1931,4.12742346828e-06
1930,4.76991036471e-06
1929,5.41246749397e-06
1928,5.28232610887e-06
1927,2.30820970177e-06
1926,4.73734276759e-06
1925,2.2915922854e-06
1924,2.77943771975e-06
1923,6.11444404927e-06
1922,3.48019161935e-06
1921,4.0461520285e-06
1920,1.58536252397e-05
1919,6.29459042899e-06
1918,7.42055002601e-06
1917,1.15045742793e-05
1916,4.5741286142e-06
1915,1.66763204033e-06
1914,3.75823792331e-06
1913,5.5676001305e-06
1912,6.88445553489e-06
1911,1.23693041287e-05
1910,7.54273714868e-06
1909,9.32370505391e-06
1908,1.04123178712e-05
1907,1.62027372904e-06
1906,1.35423617386e-05
1905,4.46044824956e-06
1904,5.90979680149e-06
1903,8.48388420934e-06
1902,9.58611273542e-06
1901,1.02814724439e-05
1900,1.24901015945e-05
1899,6.44540036893e-06
1898,4.6148663304e-06
1897,1.35968973175e-05
1896,5.66316976421e-06
1895,5.25708457861e-06
1894,5.67154924039e-06
1893,1.14639093842e-05
1892,2.05688045796e-05
1891,9.8896011462e-06
1890,1.37645617593e-05
1889,5.49077583976e-06
1888,7.78839359426e-06
1887,8.00579085539e-06
1886,1.55281180461e-05
1885,1.91530792122e-05
1884,1.25128343447e-05
1883,1.14088992266e-05
1882,1.23998966675e-05
1881,7.70840910349e-06
1880,1.40423108869e-05
1879,9.13222549291e-06
1878,1.45817232681e-05
1877,7.57926011263e-06
1876,1.66146287972e-05
1875,1.58079440188e-05
1874,1.75589067555e-05
1873,1.18715028531e-05
1872,9.56032084437e-06
1871,7.09364749679e-06
1870,1.43813972704e-05
1869,7.73400189483e-06
1868,1.02830784599e-05
1867,6.85610072983e-06
1866,1.48586478259e-05
1865,5.54942036304e-06
1864,7.50707072224e-06
1863,7.11388078203e-06
1862,1.04262240387e-05
1861,5.08446137758e-06
1860,7.25580146676e-06
1859,1.08431840649e-05
1858,1.2784991151e-05
1857,2.11300714372e-05
1856,6.8364966373e-06
1855,1.05296409392e-05
1854,4.45409498358e-06
1853,9.84033079256e-06
1852,5.84674511699e-06
1851,6.77392040644e-06
1850,3.43278099887e-06
1849,3.46648086329e-06
1848,5.31315750324e-06
1847,7.03722339314e-06
1846,6.19930774397e-06
1845,6.99952928166e-06
1844,1.62018097421e-05
1843,5.5539922096e-06
1842,2.28408540652e-06
1841,1.69439421776e-05
1840,2.19624793004e-06
1839,4.86051536044e-06
1838,1.09207860782e-05
1837,1.15573800806e-05
1836,2.20331290128e-06
1835,1.3025553966e-05
1834,2.70237684437e-05
1833,1.75726078189e-05
1832,8.85596438131e-06
1831,4.55061535696e-06
1830,1.36405177941e-05
1829,1.19607209923e-05
1828,1.82441801065e-05
1827,2.26608352784e-05
1826,0.0
1825,2.82805429864e-05
1824,1.49212159796e-05
1823,5.0655995137e-06
1822,4.12449797126e-05
1821,5.55796400663e-06
1820,1.98042024518e-05
1819,1.17530219958e-05
1818,2.93265452157e-05
1817,1.20342011998e-05
1816,0.0
1815,1.30346656934e-05
1814,2.60621974342e-05
1813,7.78410019694e-06
1812,0.0
