date,freq
2017,2.8930781947e-06
2016,1.71103816385e-06
2015,2.02122400706e-06
2014,1.22833825488e-06
2013,1.81629122413e-06
2012,1.19520007649e-06
2011,1.47160494118e-06
2010,2.05007393445e-06
2009,1.9554028479e-06
2008,8.27493071125e-07
2007,1.14995301005e-06
2006,2.55153896072e-06
2005,5.06732504356e-06
2004,2.82514047305e-06
2003,8.82944254137e-07
2002,2.19544752002e-06
2001,6.54246666041e-07
2000,1.84988549209e-06
1999,3.24253355064e-06
1998,1.90560157936e-06
1997,5.15497464719e-06
1996,1.56261621958e-06
1995,2.14680002588e-06
1994,2.6810729654e-06
1993,4.41829183867e-06
1992,5.57606899881e-06
1991,6.83045766849e-06
1990,4.47686913639e-06
1989,4.93437796712e-06
1988,4.57283039372e-06
1987,3.89543538447e-06
1986,2.80271729047e-06
1985,5.64603961374e-06
1984,4.29907250198e-06
1983,3.72788931495e-06
1982,5.48197526533e-06
1981,1.10278590544e-05
1980,4.91261441479e-06
1979,4.05349943673e-06
1978,4.11155329344e-06
1977,6.01874638875e-06
1976,4.21548932914e-06
1975,3.45866976102e-06
1974,3.69801722402e-06
1973,3.77029834371e-06
1972,5.30702558199e-06
1971,5.32463973488e-06
1970,7.92734801742e-06
1969,5.79003383189e-06
1968,4.16364644585e-06
1967,2.62211272612e-06
1966,5.18344585113e-06
1965,4.30064142112e-06
1964,6.63172657001e-06
1963,6.44589110463e-06
1962,4.02221064719e-06
1961,3.70177969228e-06
1960,5.3478399663e-06
1959,6.56435301942e-06
1958,8.21397491106e-06
1957,5.28324116279e-06
1956,7.10392194211e-06
1955,9.79527867568e-06
1954,1.02573971708e-05
1953,3.89332105639e-06
1952,7.97851120981e-06
1951,6.07278844227e-06
1950,7.81054736316e-06
1949,5.07848029524e-06
1948,7.09886369035e-06
1947,5.95837802117e-06
1946,2.95409106163e-06
1945,5.34369297278e-06
1944,2.59571201354e-06
1943,6.58170995457e-07
1942,8.35215816983e-06
1941,5.5798433738e-06
1940,6.2346330465e-06
1939,5.03075468028e-06
1938,3.30030824879e-06
1937,1.53859014882e-06
1936,6.42779825627e-06
1935,5.17101850966e-06
1934,2.12188173565e-06
1933,2.48055554522e-06
1932,2.12612152911e-06
1931,2.06371173414e-06
1930,2.60176928984e-06
1929,1.24903096015e-06
1928,2.84432944324e-06
1927,9.2328388071e-07
1926,9.47468553519e-07
1925,2.74991074248e-06
1924,2.31619809979e-06
1923,2.03814801642e-06
1922,1.74009580968e-06
1921,1.6184608114e-06
1920,1.76151391552e-06
1919,2.69768161242e-06
1918,7.42055002601e-07
1917,3.02751954718e-06
1916,2.2870643071e-06
1915,3.89114142743e-06
1914,2.1475645276e-06
1913,5.5676001305e-07
1912,5.29573502684e-07
1911,1.03077534406e-06
1910,2.51424571623e-06
1909,2.07193445643e-06
1908,2.47912330267e-06
1907,2.16036497206e-06
1906,1.23112379442e-06
1905,4.46044824956e-06
1904,6.56644089054e-07
1903,6.52606477641e-07
1902,4.10833402947e-06
1901,1.37086299253e-06
1900,1.24901015945e-06
1899,1.28908007379e-06
1898,2.63706647451e-06
1897,6.47471300835e-07
1896,1.25848216982e-06
1895,3.94281343395e-06
1894,1.26034427564e-06
1893,1.91065156403e-06
1892,6.42775143114e-07
1891,3.70860042983e-06
1890,1.96636596561e-06
1889,4.11808187982e-06
1888,1.41607156259e-06
1887,1.3342984759e-06
1886,6.75135567222e-07
1885,4.25623982493e-06
1884,1.39031492719e-06
1883,2.85222480665e-06
1882,6.88883148196e-07
1881,1.40152892791e-06
1880,2.80846217739e-06
1879,1.01469172143e-06
1878,4.48668408248e-06
1877,2.52642003754e-06
1876,1.27804836902e-06
1875,1.31732866823e-06
1874,1.35068513503e-06
1873,1.31905587257e-06
1872,5.4630404825e-06
1871,1.41872949936e-06
1870,2.61479950371e-06
1869,0.0
1868,1.46901120856e-06
1867,3.42805036492e-06
1866,9.28665489119e-06
1865,1.84980678768e-06
1864,3.75353536112e-06
1863,5.33541058652e-06
1862,0.0
1861,3.38964091839e-06
1860,1.81395036669e-06
1859,5.42159203243e-06
1858,5.47928192184e-06
1857,1.76083928644e-06
1856,1.70912415932e-06
1855,1.75494015654e-06
1854,0.0
1853,1.96806615851e-06
1852,5.84674511699e-06
1851,0.0
1850,3.43278099887e-06
1849,6.93296172658e-06
1848,1.77105250108e-06
1847,1.75930584828e-06
1846,0.0
1845,0.0
1844,2.02522621777e-06
1843,0.0
1842,4.56817081304e-06
1841,2.42056316823e-06
1840,0.0
1839,4.86051536044e-06
1838,0.0
1837,6.93442804837e-06
1836,2.20331290128e-06
1835,4.34185132199e-06
1834,4.1575028375e-06
1833,4.39315195473e-06
1832,4.42798219066e-06
1831,2.27530767848e-06
1830,2.27341963234e-06
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,5.0655995137e-06
1822,0.0
1821,0.0
1820,6.60140081725e-06
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,6.51733284671e-06
1814,0.0
1813,0.0
1812,6.49030348659e-06
