date,freq
2017,9.25785022303e-06
2016,5.98863357348e-06
2015,1.09723588955e-05
2014,5.52752214694e-06
2013,6.65973448849e-06
2012,8.66520055457e-06
2011,5.88641976471e-06
2010,9.66463426242e-06
2009,6.1455518077e-06
2008,7.99909968754e-06
2007,4.59981204018e-06
2006,6.5205995663e-06
2005,5.91187921749e-06
2004,7.06285118262e-06
2003,1.32441638121e-05
2002,1.09772376001e-05
2001,1.24306866548e-05
2000,8.01617046571e-06
1999,9.72760065193e-06
1998,9.84560816004e-06
1997,9.98776337893e-06
1996,1.5001115708e-05
1995,1.13473715654e-05
1994,1.07242918616e-05
1993,8.28429719751e-06
1992,1.59316257109e-05
1991,1.13840961142e-05
1990,1.1192172841e-05
1989,1.45434297978e-05
1988,1.1835561019e-05
1987,1.41905146148e-05
1986,1.73768472009e-05
1985,1.8914232706e-05
1984,1.10163732863e-05
1983,1.89262072913e-05
1982,1.81770758798e-05
1981,1.84791151723e-05
1980,1.96504576592e-05
1979,1.89163307048e-05
1978,1.16494009981e-05
1977,1.63843651694e-05
1976,2.20502518755e-05
1975,1.72933488051e-05
1974,1.91624528881e-05
1973,3.25616675138e-05
1972,2.0520498917e-05
1971,2.44933427804e-05
1970,2.27010420499e-05
1969,3.22070631899e-05
1968,3.33091715668e-05
1967,3.55858155688e-05
1966,3.33221519001e-05
1965,4.33973816131e-05
1964,4.0570562546e-05
1963,5.11879587721e-05
1962,3.37865694364e-05
1961,5.05909891279e-05
1960,4.03144858998e-05
1959,3.97963901802e-05
1958,5.18777362804e-05
1957,4.66686302713e-05
1956,5.10594389589e-05
1955,5.36408117954e-05
1954,4.93331959168e-05
1953,5.15865039972e-05
1952,7.1274700141e-05
1951,5.35509526273e-05
1950,4.84253936516e-05
1949,4.1643538421e-05
1948,3.16718533877e-05
1947,6.28338045869e-05
1946,5.79001848079e-05
1945,6.94680086461e-05
1944,7.07331523689e-05
1943,4.80464826684e-05
1942,7.57262340731e-05
1941,8.090772892e-05
1940,7.31152420908e-05
1939,6.14870016479e-05
1938,8.08575520954e-05
1937,7.74423708238e-05
1936,7.07057808189e-05
1935,7.71343594358e-05
1934,8.8270280203e-05
1933,6.86287034178e-05
1932,6.67602160139e-05
1931,5.5307474475e-05
1930,6.20088347413e-05
1929,6.70313281945e-05
1928,5.68865888648e-05
1927,7.20161426954e-05
1926,6.06379874252e-05
1925,5.86647625063e-05
1924,4.95666393355e-05
1923,6.21635145009e-05
1922,6.03233214021e-05
1921,5.98830500218e-05
1920,5.63684452966e-05
1919,5.30544050443e-05
1918,7.93998852783e-05
1917,0.000121706285797
1916,0.00010634849028
1915,0.000100613799766
1914,0.000100398641665
1913,9.68762422708e-05
1912,8.10247459106e-05
1911,9.48313316535e-05
1910,0.000123700889238
1909,0.000108776558962
1908,0.000152713995444
1907,0.000111258796061
1906,0.000137270303078
1905,0.000110873999346
1904,0.000108346274694
1903,9.26701198251e-05
1902,9.65458496925e-05
1901,9.80167039656e-05
1900,8.6181701002e-05
1899,9.28137653127e-05
1898,0.000119327257972
1897,9.51782812227e-05
1896,8.87229929726e-05
1895,8.60847599747e-05
1894,8.63335828815e-05
1893,9.2348158928e-05
1892,0.000130483354052
1891,9.95141115337e-05
1890,0.00010159557489
1889,0.000121483415455
1888,0.000129570547977
1887,9.54023410267e-05
1886,0.000110722233024
1885,0.00010924348884
1884,9.7322044903e-05
1883,0.000109097598855
1882,8.33548609317e-05
1881,0.000103012376201
1880,9.82961762085e-05
1879,0.000110601397636
1878,0.000112167102062
1877,0.000113688901689
1876,0.000115024353212
1875,9.22130067763e-05
1874,9.18465891824e-05
1873,7.6505240609e-05
1872,9.97004888055e-05
1871,7.37739339667e-05
1870,9.15179826299e-05
1869,9.15190224222e-05
1868,8.96096837219e-05
1867,7.02750324808e-05
1866,5.75772603254e-05
1865,6.65930443565e-05
1864,4.87959596945e-05
1863,9.07019799709e-05
1862,8.51474963161e-05
1861,7.28772797454e-05
1860,7.07440643009e-05
1859,4.69871309477e-05
1858,5.47928192184e-05
1857,5.98685357389e-05
1856,6.3237593895e-05
1855,4.56284440701e-05
1854,0.000104671232114
1853,2.75529262192e-05
1852,4.87228759749e-05
1851,6.26587637595e-05
1850,7.20884009763e-05
1849,4.15977703595e-05
1848,4.07342075248e-05
1847,3.16675052691e-05
1846,3.09965387198e-05
1845,6.82454104961e-05
1844,4.25297505731e-05
1843,5.18372606229e-05
1842,4.7965793537e-05
1841,2.90467580187e-05
1840,7.90649254813e-05
1839,6.07564420055e-05
1838,5.73341269105e-05
1837,6.47213284515e-05
1836,2.86430677166e-05
1835,3.90766618979e-05
1834,3.11812712812e-05
1833,5.05212474794e-05
1832,7.52756972411e-05
1831,5.91579996405e-05
1830,3.18278748528e-05
1829,3.82743071752e-05
1828,0.000119890326414
1827,0.000107638967572
1826,3.86814773746e-05
1825,4.52488687783e-05
1824,5.47111252586e-05
1823,6.07871941644e-05
1822,2.06224898563e-05
1821,0.000122275208146
1820,2.6405603269e-05
1819,2.35060439916e-05
1818,2.93265452157e-05
1817,1.80513017997e-05
1816,0.0
1815,5.21386627736e-05
1814,3.90932961513e-05
1813,2.33523005908e-05
1812,4.54321244061e-05
