date,freq
2017,6.48049515612e-05
2016,2.93728218128e-05
2015,1.96347474971e-05
2014,2.39525959701e-05
2013,2.02819186695e-05
2012,1.34460008605e-05
2011,1.00069136e-05
2010,6.7359572132e-06
2009,5.86620854371e-06
2008,2.48247921337e-06
2007,7.7621828178e-06
2006,3.11854761866e-06
2005,4.50428892761e-06
2004,3.39016856766e-06
2003,3.23746226517e-06
2002,3.13635360003e-07
2001,1.96273999812e-06
2000,1.54157124341e-06
1999,2.06343044132e-06
1998,8.57520710713e-06
1997,1.9331154927e-05
1996,1.25009297567e-06
1995,2.76017146185e-06
1994,1.45969528116e-05
1993,8.28429719751e-07
1992,4.51396061808e-06
1991,1.03721764596e-05
1990,9.94859808087e-07
1989,1.29852051766e-06
1988,5.64879048636e-06
1987,4.17368076907e-06
1986,1.40135864523e-06
1985,5.64603961374e-07
1984,2.68692031374e-06
1983,5.73521433069e-07
1982,1.15410005586e-06
1981,2.98050244714e-07
1980,9.82522882958e-07
1979,2.70233295782e-06
1978,2.74103552896e-06
1977,1.00312439813e-06
1976,5.83683137881e-06
1975,2.07520185661e-06
1974,3.36183384002e-06
1973,1.71377197441e-06
1972,4.24562046559e-06
1971,4.61468777023e-06
1970,1.83770340404e-05
1969,1.80938557247e-06
1968,6.05621301215e-06
1967,5.24422545225e-06
1966,1.11073839667e-05
1965,1.56386960768e-05
1964,5.85152344413e-06
1963,3.79170064978e-06
1962,2.81554745304e-06
1961,5.75832396577e-06
1960,4.5250953561e-06
1959,2.46163238228e-06
1958,4.32314469003e-06
1957,3.69826881395e-05
1956,4.8839463352e-06
1955,5.13086025869e-06
1954,5.37292232757e-06
1953,3.40665592434e-06
1952,5.31900747321e-06
1951,3.86450173599e-06
1950,3.64492210281e-06
1949,3.55493620667e-06
1948,2.18426575088e-06
1947,2.70835364599e-06
1946,4.72654569861e-06
1945,3.33980810799e-06
1944,2.59571201354e-06
1943,1.31634199091e-06
1942,4.45448435724e-06
1941,1.11596867476e-06
1940,1.70035446723e-06
1939,7.82561839154e-06
1938,4.40041099839e-06
1937,9.23154089291e-06
1936,5.99927837252e-06
1935,6.03285492794e-06
1934,2.97063442991e-06
1933,3.72083331783e-06
1932,3.40179444657e-06
1931,4.54016581511e-06
1930,1.7345128599e-06
1929,2.08171826691e-06
1928,3.25066222084e-06
1927,6.92462910532e-06
1926,4.73734276759e-06
1925,4.5831845708e-06
1924,4.63239619958e-07
1923,5.09537004106e-06
1922,1.16006387312e-06
1921,1.6184608114e-06
1920,0.0
1919,1.79845440828e-06
1918,7.42055002601e-07
1917,4.84403127549e-06
1916,3.43059646065e-06
1915,5.00289612098e-06
1914,2.1475645276e-06
1913,1.67028003915e-06
1912,5.29573502684e-07
1911,1.03077534406e-06
1910,1.50854742974e-06
1909,4.14386891285e-06
1908,4.95824660534e-07
1907,3.24054745809e-06
1906,4.92449517769e-06
1905,1.91162067838e-06
1904,6.56644089054e-07
1903,1.95781943292e-06
1902,5.47777870596e-06
1901,2.05629448879e-06
1900,6.24505079724e-07
1899,3.86724022136e-06
1898,3.29633309314e-06
1897,6.47471300835e-07
1896,1.25848216982e-06
1895,0.0
1894,4.41120496475e-06
1893,1.27376770935e-06
1892,4.4994260018e-06
1891,4.32670050146e-06
1890,1.96636596561e-06
1889,0.0
1888,3.54017890648e-06
1887,4.00289542769e-06
1886,6.75135567222e-07
1885,2.83749321662e-06
1884,2.78062985437e-06
1883,3.56528100832e-06
1882,8.95548092655e-06
1881,7.00764463954e-07
1880,7.02115544347e-07
1879,4.05876688574e-06
1878,1.12167102062e-06
1877,2.52642003754e-06
1876,1.27804836902e-06
1875,1.31732866823e-06
1874,2.70137027007e-06
1873,1.31905587257e-06
1872,1.36576012062e-06
1871,4.25618849808e-06
1870,2.61479950371e-06
1869,1.28900031581e-06
1868,1.46901120856e-06
1867,1.71402518246e-06
1866,1.85733097824e-06
1865,1.84980678768e-06
1864,0.0
1863,8.89235097754e-06
1862,2.25901520839e-05
1861,3.38964091839e-06
1860,3.62790073338e-06
1859,0.0
1858,1.82642730728e-06
1857,0.0
1856,3.41824831865e-06
1855,5.26482046962e-06
1854,0.0
1853,1.96806615851e-06
1852,0.0
1851,6.77392040644e-06
1850,8.58195249718e-06
1849,3.46648086329e-06
1848,1.77105250108e-06
1847,1.75930584828e-06
1846,0.0
1845,5.24964696124e-06
1844,2.02522621777e-06
1843,1.85133073653e-06
1842,4.56817081304e-06
1841,0.0
1840,0.0
1839,0.0
1838,2.73019651955e-06
1837,2.31147601612e-06
1836,6.60993870384e-06
1835,0.0
1834,2.07875141875e-06
1833,0.0
1832,0.0
1831,0.0
1830,2.27341963234e-06
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,5.15562246408e-06
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,6.0171005999e-06
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
