date,freq
2017,0.0
2016,1.14069210923e-06
2015,2.88746286723e-07
2014,6.14169127438e-07
2013,1.51357602011e-06
2012,5.97600038246e-07
2011,2.94320988236e-07
2010,2.92867704922e-07
2009,2.79343263986e-07
2008,1.10332409483e-06
2007,2.87488252511e-07
2006,5.67008657939e-07
2005,2.53366252178e-06
2004,2.82514047305e-07
2003,5.88629502758e-07
2002,6.27270720006e-07
2001,6.54246666041e-07
2000,9.24942746044e-07
1999,0.0
1998,3.17600263227e-07
1997,6.44371830899e-07
1996,9.37569731749e-07
1995,3.06685717983e-07
1994,5.95793992311e-07
1993,1.38071619958e-06
1992,2.65527095181e-07
1991,2.52979913648e-07
1990,0.0
1989,2.59704103533e-07
1988,1.88293016212e-06
1987,8.34736153814e-07
1986,0.0
1985,2.82301980687e-07
1984,2.68692031374e-07
1983,2.86760716535e-07
1982,5.77050027929e-07
1981,5.96100489428e-07
1980,6.55015255305e-07
1979,0.0
1978,2.05577664672e-06
1977,3.34374799375e-07
1976,9.72805229801e-07
1975,1.03760092831e-06
1974,6.72366768004e-07
1973,6.85508789765e-07
1972,7.07603410931e-07
1971,1.06492794698e-06
1970,1.08100200238e-06
1969,1.08563134348e-06
1968,3.7851331326e-06
1967,3.74587532303e-07
1966,1.4809845289e-06
1965,3.9096740192e-06
1964,2.73071094059e-06
1963,1.13751019494e-06
1962,2.41332638832e-06
1961,8.22617709396e-07
1960,8.227446102e-07
1959,1.23081619114e-06
1958,1.29694340701e-06
1957,3.52216077519e-06
1956,2.21997560691e-06
1955,2.33220920849e-06
1954,2.93068490595e-06
1953,1.9466605282e-06
1952,2.6595037366e-06
1951,2.20828670628e-06
1950,5.20703157544e-06
1949,4.06278423619e-06
1948,3.82246506403e-06
1947,1.62501218759e-06
1946,0.0
1945,6.67961621597e-07
1944,1.29785600677e-06
1943,6.58170995457e-07
1942,1.11362108931e-06
1941,1.11596867476e-06
1940,0.0
1939,3.35383645352e-06
1938,5.50051374798e-07
1937,2.05145353176e-06
1936,4.28519883751e-07
1935,8.61836418277e-07
1934,0.0
1933,8.26851848407e-07
1932,8.50448611643e-07
1931,8.25484693656e-07
1930,1.30088464492e-06
1929,2.49806192029e-06
1928,4.06332777606e-07
1927,0.0
1926,4.73734276759e-07
1925,0.0
1924,9.26479239916e-07
1923,5.09537004106e-07
1922,1.16006387312e-06
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,5.36891131901e-07
1913,0.0
1912,5.29573502684e-07
1911,5.1538767203e-07
1910,1.50854742974e-06
1909,0.0
1908,0.0
1907,0.0
1906,6.15561897211e-07
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,6.44540036893e-07
1898,0.0
1897,0.0
1896,1.25848216982e-06
1895,1.31427114465e-06
1894,6.30172137821e-07
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,6.67149237949e-07
1886,6.75135567222e-07
1885,0.0
1884,0.0
1883,7.13056201664e-07
1882,6.88883148196e-07
1881,7.00764463954e-07
1880,1.40423108869e-06
1879,1.01469172143e-06
1878,0.0
1877,0.0
1876,1.27804836902e-06
1875,0.0
1874,1.35068513503e-06
1873,0.0
1872,0.0
1871,0.0
1870,1.30739975186e-06
1869,1.28900031581e-06
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,1.80719734414e-06
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
