date,freq
2017,1.33081596956e-05
2016,4.27759540963e-06
2015,1.21273440424e-05
2014,1.13621288576e-05
2013,8.17331050861e-06
2012,9.56160061194e-06
2011,5.29777778824e-06
2010,1.08361050821e-05
2009,1.64812525752e-05
2008,2.23423129204e-05
2007,3.21986842813e-05
2006,3.6855562766e-05
2005,2.58996613338e-05
2004,1.24306180814e-05
2003,2.32508653589e-05
2002,2.57180995203e-05
2001,6.08449399418e-05
2000,6.75208204612e-05
1999,7.89999083247e-05
1998,8.86104734404e-05
1997,6.92699718216e-05
1996,6.15670790515e-05
1995,4.14025719278e-05
1994,4.25992704503e-05
1993,6.3236801941e-05
1992,0.000217997745144
1991,0.000186446196358
1990,0.000193997662577
1989,0.000172443524746
1988,0.00019152089649
1987,0.00017946827307
1986,0.000186380699816
1985,0.000189989233002
1984,0.00014858669335
1983,0.000171196147771
1982,0.000148878907206
1981,0.00021370202546
1980,0.000200762175751
1979,0.000206052888034
1978,0.000132940223155
1977,0.000158828029703
1976,0.000220178250345
1975,0.000137655056489
1974,0.000155652906793
1973,0.000191599706739
1972,0.000182207878315
1971,0.000170033495534
1970,0.000175842992387
1969,0.000143665214454
1968,0.000157461538316
1967,0.000123988473192
1966,0.000138472053452
1965,0.000105170231116
1964,0.00013653554703
1963,0.000144463794757
1962,0.000121068540481
1961,0.000130796215794
1960,0.000128348159191
1959,0.000123902163242
1958,0.000121048051321
1957,0.000122835357035
1956,0.000139414468114
1955,0.000145996296452
1954,0.0001558147475
1953,0.000209266006781
1952,0.000130315683094
1951,0.000184391939974
1950,0.000164021494626
1949,0.000167589849743
1948,0.000174195193632
1947,0.000180918023552
1946,0.000103393187157
1945,0.000116893283779
1944,0.000125243104653
1943,0.000151379328955
1942,0.000101339519127
1941,0.00014898181808
1940,0.000173436155657
1939,0.000151481613151
1938,0.00017656649131
1937,8.20581412703e-05
1936,2.99963918626e-05
1935,4.22299844956e-05
1934,5.05007853084e-05
1933,3.43143517089e-05
1932,3.06161500191e-05
1931,5.90221555964e-05
1930,5.89734372364e-05
1929,4.66304891788e-05
1928,5.5667590532e-05
1927,6.32449458286e-05
1926,7.53237500047e-05
1925,4.67484826222e-05
1924,5.97579109746e-05
1923,7.89782356364e-05
1922,5.10428104171e-05
1921,4.77445939363e-05
1920,5.54876883389e-05
1919,7.55350851478e-05
1918,4.60074101613e-05
1917,5.6917367487e-05
1916,7.60448882112e-05
1915,9.72785356857e-05
1914,9.93248594016e-05
1913,0.000103000602414
1912,9.79710979965e-05
1911,8.71005165731e-05
1910,9.45356389302e-05
1909,0.000114474378718
1908,0.000115031321244
1907,0.000166888194092
1906,0.000228373463865
1905,0.00016185055077
1904,0.000121479156475
1903,0.000129216082573
1902,0.000184875031326
1901,0.000238530160699
1900,0.000189849544236
1899,0.000130841627489
1898,0.000109438258692
1897,9.32358673202e-05
1896,0.00010508326118
1895,8.21419465407e-05
1894,0.000134226665356
1893,0.000101901416748
1892,0.000104129573184
1891,8.96245103875e-05
1890,7.79991833027e-05
1889,5.83394932975e-05
1888,9.06285800059e-05
1887,6.20448791292e-05
1886,4.52340830039e-05
1885,7.73216901528e-05
1884,5.56125970874e-05
1883,9.1271193813e-05
1882,7.50882631534e-05
1881,9.60047315617e-05
1880,9.97004072972e-05
1879,0.000119733623129
1878,6.28135771547e-05
1877,4.80019807133e-05
1876,6.51804668199e-05
1875,7.50877340893e-05
1874,0.000102652070263
1873,8.31005199718e-05
1872,4.370432386e-05
1871,4.68180734788e-05
1870,5.49107895779e-05
1869,4.51150110532e-05
1868,5.58224259251e-05
1867,4.28506295614e-05
1866,8.72945559772e-05
1865,4.43953629043e-05
1864,5.63030304168e-05
1863,4.97971654742e-05
1862,3.64917841355e-05
1861,2.88119478063e-05
1860,6.34882628342e-05
1859,8.31310778306e-05
1858,6.39249557548e-05
1857,9.33244821812e-05
1856,0.000109383946197
1855,0.000115826050332
1854,2.89516173932e-05
1853,6.29781170724e-05
1852,4.48250458969e-05
1851,7.45131244708e-05
1850,5.14917149831e-05
1849,4.50642512228e-05
1848,9.20947300562e-05
1847,8.09280690211e-05
1846,9.71224879888e-05
1845,0.000108492703866
1844,0.000125564025502
1843,0.000124039159348
1842,0.000196431344961
1841,8.71402740562e-05
1840,8.78499172015e-05
1839,0.000126373399372
1838,4.91435373518e-05
1837,5.77869004031e-05
1836,6.60993870384e-05
1835,5.64440671858e-05
1834,8.31500567499e-05
1833,3.95383675926e-05
1832,5.75637684785e-05
1831,4.32308458911e-05
1830,0.000113670981617
1829,4.54507397706e-05
1828,3.38820487693e-05
1827,7.93129234744e-05
1826,7.09160418534e-05
1825,9.61538461538e-05
1824,7.46060798981e-05
1823,5.0655995137e-05
1822,0.000134046184066
1821,0.000127833172152
1820,1.98042024518e-05
1819,4.70120879831e-05
1818,1.17306180863e-05
1817,3.61026035994e-05
1816,7.99962668409e-05
1815,0.000104277325547
1814,6.51554935854e-05
1813,0.000256875306499
1812,0.000142786676705
