date,freq
2017,0.0
2016,0.0
2015,0.0
2014,3.07084563719e-07
2013,0.0
2012,0.0
2011,0.0
2010,0.0
2009,5.58686527973e-07
2008,0.0
2007,0.0
2006,0.0
2005,2.81518057976e-07
2004,0.0
2003,2.94314751379e-07
2002,0.0
2001,0.0
2000,3.08314248681e-07
1999,0.0
1998,3.17600263227e-07
1997,3.22185915449e-07
1996,6.25046487833e-07
1995,0.0
1994,2.97896996156e-07
1993,0.0
1992,0.0
1991,2.52979913648e-07
1990,0.0
1989,0.0
1988,0.0
1987,2.78245384605e-07
1986,0.0
1985,0.0
1984,5.37384062747e-07
1983,2.86760716535e-07
1982,0.0
1981,2.98050244714e-07
1980,0.0
1979,1.35116647891e-06
1978,3.4262944112e-07
1977,0.0
1976,3.24268409934e-07
1975,0.0
1974,1.68091692001e-06
1973,2.39928076418e-06
1972,2.47661193826e-06
1971,2.48483187628e-06
1970,6.12567801346e-06
1969,9.40880497682e-06
1968,6.05621301215e-06
1967,8.99010077528e-06
1966,8.14541490892e-06
1965,8.60128284224e-06
1964,8.97233594766e-06
1963,7.58340129957e-06
1962,6.03331597079e-06
1961,1.02827213675e-05
1960,7.8160737969e-06
1959,1.18978898477e-05
1958,8.64628938007e-06
1957,1.05664823256e-05
1956,7.10392194211e-06
1955,1.07281623591e-05
1954,6.34981729622e-06
1953,1.31399585653e-05
1952,7.97851120981e-06
1951,7.72900347198e-06
1950,6.24843789053e-06
1949,5.58632832477e-06
1948,7.09886369035e-06
1947,8.12506093796e-06
1946,5.90818212326e-06
1945,8.01553945916e-06
1944,1.75210560914e-05
1943,1.38215909046e-05
1942,5.56810544655e-06
1941,5.02185903642e-06
1940,9.63534198096e-06
1939,1.17384275873e-05
1938,8.25077062198e-06
1937,1.38473113394e-05
1936,6.42779825627e-06
1935,9.91111881018e-06
1934,9.33627963685e-06
1933,1.40564814229e-05
1932,1.1906280563e-05
1931,6.60387754925e-06
1930,5.63716679466e-06
1929,4.5797801872e-06
1928,8.93932110732e-06
1927,5.0780613439e-06
1926,5.68481132111e-06
1925,2.2915922854e-06
1924,2.31619809979e-06
1923,6.11444404927e-06
1922,5.80031936558e-06
1921,4.0461520285e-06
1920,1.40921113242e-05
1919,1.43876352663e-05
1918,9.64671503381e-06
1917,2.42201563774e-06
1916,6.28942684453e-06
1915,6.11465081453e-06
1914,9.12714924231e-06
1913,5.5676001305e-06
1912,9.00274954563e-06
1911,4.63848904827e-06
1910,5.5313405757e-06
1909,7.7697542116e-06
1908,9.42066855014e-06
1907,1.02617336173e-05
1906,1.60046093275e-05
1905,1.01953102847e-05
1904,9.19301724676e-06
1903,9.13649068698e-06
1902,1.02708350737e-05
1901,1.09669039402e-05
1900,7.49406095669e-06
1899,7.73448044272e-06
1898,1.18667991353e-05
1897,7.76965561002e-06
1896,8.80937518877e-06
1895,7.88562686791e-06
1894,8.19223779168e-06
1893,7.64260625611e-06
1892,7.07052657425e-06
1891,7.41720085965e-06
1890,7.21000854058e-06
1889,1.02952046996e-05
1888,5.66428625037e-06
1887,5.33719390359e-06
1886,1.01270335083e-05
1885,1.34780927789e-05
1884,7.64673209952e-06
1883,7.8436182183e-06
1882,7.57771463016e-06
1881,8.40917356744e-06
1880,6.31903989912e-06
1879,6.08815032861e-06
1878,1.00950391856e-05
1877,7.57926011263e-06
1876,8.94633858313e-06
1875,9.22130067763e-06
1874,5.40274054014e-06
1873,3.95716761771e-06
1872,2.73152024125e-06
1871,4.25618849808e-06
1870,2.61479950371e-06
1869,3.86700094742e-06
1868,2.93802241711e-06
1867,8.57012591229e-06
1866,1.85733097824e-06
1865,1.84980678768e-06
1864,0.0
1863,5.33541058652e-06
1862,3.4754080129e-06
1861,3.38964091839e-06
1860,7.25580146676e-06
1859,3.61439468829e-06
1858,9.1321365364e-06
1857,1.76083928644e-06
1856,3.41824831865e-06
1855,5.26482046962e-06
1854,0.0
1853,0.0
1852,1.948915039e-06
1851,1.69348010161e-06
1850,3.43278099887e-06
1849,8.66620215823e-06
1848,0.0
1847,3.51861169657e-06
1846,2.06643591466e-06
1845,3.49976464083e-06
1844,2.02522621777e-06
1843,3.70266147307e-06
1842,9.13634162609e-06
1841,0.0
1840,1.09812396502e-05
1839,2.43025768022e-06
1838,8.19058955864e-06
1837,0.0
1836,0.0
1835,4.34185132199e-06
1834,2.07875141875e-06
1833,4.39315195473e-06
1832,0.0
1831,6.82592303544e-06
1830,2.27341963234e-06
1829,4.7842883969e-06
1828,0.0
1827,5.6652088196e-06
1826,0.0
1825,0.0
1824,4.97373865988e-06
1823,0.0
1822,0.0
1821,0.0
1820,1.32028016345e-05
1819,1.17530219958e-05
1818,1.17306180863e-05
1817,0.0
1816,0.0
1815,1.30346656934e-05
1814,0.0
1813,7.78410019694e-06
1812,6.49030348659e-06
