date,freq
2017,5.78615638939e-07
2016,2.85173027308e-07
2015,8.66238860168e-07
2014,6.14169127438e-07
2013,1.21086081609e-06
2012,8.9640005737e-07
2011,0.0
2010,8.78603114765e-07
2009,8.38029791959e-07
2008,1.37915511854e-06
2007,1.43744126256e-06
2006,1.98453030279e-06
2005,1.1260722319e-06
2004,5.65028094609e-07
2003,5.88629502758e-07
2002,0.0
2001,2.28986333114e-06
2000,1.84988549209e-06
1999,8.84327331993e-07
1998,9.52800789681e-07
1997,0.0
1996,9.37569731749e-07
1995,9.2005715395e-07
1994,1.48948498078e-06
1993,1.93300267942e-06
1992,7.96581285544e-07
1991,1.51787948189e-06
1990,4.97429904043e-07
1989,1.81792872473e-06
1988,1.07596009264e-06
1987,8.34736153814e-07
1986,1.68163037428e-06
1985,2.82301980687e-06
1984,5.37384062747e-07
1983,8.60282149604e-07
1982,2.30820011172e-06
1981,1.49025122357e-06
1980,1.96504576592e-06
1979,4.05349943673e-06
1978,3.08366497008e-06
1977,6.6874959875e-07
1976,1.29707363973e-06
1975,3.11280278492e-06
1974,1.68091692001e-06
1973,4.11305273859e-06
1972,2.47661193826e-06
1971,7.0995196465e-07
1970,2.88267200634e-06
1969,1.08563134348e-06
1968,2.27107987956e-06
1967,3.74587532303e-06
1966,1.4809845289e-06
1965,4.69160882304e-06
1964,5.07132031824e-06
1963,2.65419045485e-06
1962,6.43553703551e-06
1961,3.29047083759e-06
1960,3.7023507459e-06
1959,7.79516921056e-06
1958,9.51091831807e-06
1957,7.48459164728e-06
1956,5.77193657796e-06
1955,5.13086025869e-06
1954,9.28050220217e-06
1953,5.83998158459e-06
1952,1.43613201777e-05
1951,5.5207167657e-06
1950,6.24843789053e-06
1949,7.61772044286e-06
1948,4.36853150175e-06
1947,3.25002437518e-06
1946,8.86227318489e-06
1945,7.34757783757e-06
1944,3.89356802031e-06
1943,1.44797619001e-05
1942,1.22498319824e-05
1941,1.22756554224e-05
1940,7.36820269132e-06
1939,1.00615093606e-05
1938,2.75025687399e-06
1937,1.07701310417e-05
1936,5.57075848876e-06
1935,7.32560955535e-06
1934,6.36564520695e-06
1933,9.92222218088e-06
1932,8.50448611643e-06
1931,6.19113520242e-06
1930,1.17079618043e-05
1929,4.99612384059e-06
1928,5.28232610887e-06
1927,5.0780613439e-06
1926,6.63227987463e-06
1925,8.24973222744e-06
1924,5.5588754395e-06
1923,7.13351805748e-06
1922,7.54041517526e-06
1921,4.0461520285e-06
1920,5.28454174656e-06
1919,8.09304483727e-06
1918,5.93644002081e-06
1917,6.6605430038e-06
1916,7.43295899808e-06
1915,3.33526408065e-06
1914,5.36891131901e-06
1913,5.01084011745e-06
1912,6.88445553489e-06
1911,5.66926439233e-06
1910,3.01709485947e-06
1909,3.62588529874e-06
1908,4.4624219448e-06
1907,3.24054745809e-06
1906,4.30893328048e-06
1905,6.37206892794e-07
1904,2.62657635622e-06
1903,1.95781943292e-06
1902,2.73888935298e-06
1901,6.16888346636e-06
1900,3.12252539862e-06
1899,1.28908007379e-06
1898,4.6148663304e-06
1897,3.88482780501e-06
1896,4.40468759439e-06
1895,6.57135572326e-06
1894,3.78103282693e-06
1893,4.45818698273e-06
1892,6.42775143114e-06
1891,6.18100071638e-07
1890,5.89909789684e-06
1889,5.49077583976e-06
1888,2.12410734389e-06
1887,2.6685969518e-06
1886,5.40108453778e-06
1885,4.96561312908e-06
1884,4.86610224515e-06
1883,8.55667441996e-06
1882,3.44441574098e-06
1881,4.20458678372e-06
1880,7.02115544347e-07
1879,4.05876688574e-06
1878,5.6083551031e-06
1877,3.78963005631e-06
1876,7.66829021411e-06
1875,5.26931467293e-06
1874,2.70137027007e-06
1873,1.31905587257e-06
1872,1.36576012062e-06
1871,4.25618849808e-06
1870,5.22959900742e-06
1869,7.73400189483e-06
1868,2.93802241711e-06
1867,8.57012591229e-06
1866,1.30013168477e-05
1865,3.69961357536e-06
1864,1.87676768056e-06
1863,8.89235097754e-06
1862,1.73770400645e-05
1861,1.01689227552e-05
1860,1.26976525668e-05
1859,1.08431840649e-05
1858,1.46114184582e-05
1857,8.80419643219e-06
1856,8.54562079662e-06
1855,1.57944614089e-05
1854,1.11352374589e-05
1853,1.96806615851e-06
1852,2.7284810546e-05
1851,1.01608806097e-05
1850,2.05966859932e-05
1849,6.93296172658e-06
1848,1.06263150065e-05
1847,1.2315140938e-05
1846,4.13287182931e-06
1845,1.04992939225e-05
1844,1.01261310888e-05
1843,7.40532294613e-06
1842,9.13634162609e-06
1841,1.21028158411e-05
1840,6.58874379011e-06
1839,7.29077304067e-06
1838,8.19058955864e-06
1837,1.38688560967e-05
1836,1.10165645064e-05
1835,1.73674052879e-05
1834,4.1575028375e-06
1833,4.39315195473e-06
1832,1.9925919858e-05
1831,1.13765383924e-05
1830,9.09367852937e-06
1829,1.43528651907e-05
1828,1.04252457752e-05
1827,5.6652088196e-06
1826,5.15753031661e-05
1825,1.13122171946e-05
1824,9.94747731975e-06
1823,1.01311990274e-05
1822,1.03112449282e-05
1821,1.11159280133e-05
1820,1.98042024518e-05
1819,1.17530219958e-05
1818,1.75959271294e-05
1817,3.00855029995e-05
1816,1.33327111401e-05
1815,1.95519985401e-05
1814,2.60621974342e-05
1813,1.55682003939e-05
1812,1.94709104598e-05
