date,freq
2017,1.67798535292e-05
2016,2.02472849389e-05
2015,3.20508378262e-05
2014,2.82517798621e-05
2013,1.99792034655e-05
2012,2.00196012813e-05
2011,1.50103704e-05
2010,2.37222840987e-05
2009,1.34084766713e-05
2008,2.06873267781e-05
2007,1.86867364132e-05
2006,2.89174415549e-05
2005,2.84333238556e-05
2004,3.07940311562e-05
2003,2.03077178452e-05
2002,4.26544089604e-05
2001,2.35528799775e-05
2000,2.25069401537e-05
1999,3.8320851053e-05
1998,1.81032150039e-05
1997,1.99755267579e-05
1996,1.96889643667e-05
1995,1.71744002071e-05
1994,2.32359657001e-05
1993,3.81077671085e-05
1992,2.31008572808e-05
1991,1.77085939553e-05
1990,1.34306074092e-05
1989,1.14269805554e-05
1988,1.77533415286e-05
1987,2.17031399992e-05
1986,1.54149450976e-05
1985,1.12920792275e-05
1984,1.02102971922e-05
1983,1.26174715275e-05
1982,9.23280044687e-06
1981,9.83565807557e-06
1980,1.11352593402e-05
1979,8.10699887346e-06
1978,8.90836546912e-06
1977,9.02811958313e-06
1976,8.75524706821e-06
1975,1.52181469485e-05
1974,9.41313475205e-06
1973,5.826824713e-06
1972,7.78363752025e-06
1971,1.24241593814e-05
1970,3.96367400871e-06
1969,5.06627960291e-06
1968,4.54215975911e-06
1967,5.61881298455e-06
1966,8.14541490892e-06
1965,4.69160882304e-06
1964,3.90101562942e-06
1963,4.55004077974e-06
1962,4.02221064719e-06
1961,4.93570625638e-06
1960,6.5819568816e-06
1959,5.74380889199e-06
1958,4.32314469003e-06
1957,7.04432155038e-06
1956,7.10392194211e-06
1955,2.33220920849e-06
1954,1.9537899373e-06
1953,3.40665592434e-06
1952,5.85090822053e-06
1951,6.62486011884e-06
1950,2.08281263018e-06
1949,2.53924014762e-06
1948,3.82246506403e-06
1947,4.33336583358e-06
1946,4.13572748628e-06
1945,2.67184648639e-06
1944,4.54249602369e-06
1943,9.2143939364e-06
1942,7.79534762518e-06
1941,3.90589036166e-06
1940,3.96749375687e-06
1939,5.58972742253e-06
1938,3.30030824879e-06
1937,6.66722397821e-06
1936,2.14259941876e-06
1935,4.30918209138e-06
1934,4.66813981843e-06
1933,3.30740739363e-06
1932,2.97657014075e-06
1931,4.95290816194e-06
1930,4.76991036471e-06
1929,5.41246749397e-06
1928,2.43799666563e-06
1927,4.15477746319e-06
1926,3.78987421407e-06
1925,7.33309531328e-06
1924,4.16915657962e-06
1923,8.6621290698e-06
1922,4.06022355591e-06
1921,5.6646128399e-06
1920,1.23305974086e-05
1919,2.69768161242e-06
1918,4.45233001561e-06
1917,1.21100781887e-06
1916,8.57649115163e-06
1915,3.89114142743e-06
1914,3.2213467914e-06
1913,7.79464018271e-06
1912,9.53232304831e-06
1911,6.18465206436e-06
1910,4.52564228921e-06
1909,6.73378698338e-06
1908,1.4874739816e-05
1907,7.02118615919e-06
1906,1.1695676047e-05
1905,1.33813447487e-05
1904,7.22308497959e-06
1903,7.8312777317e-06
1902,5.47777870596e-06
1901,3.42715748131e-06
1900,4.99604063779e-06
1899,3.86724022136e-06
1898,3.29633309314e-06
1897,1.35968973175e-05
1896,3.77544650947e-06
1895,6.57135572326e-06
1894,5.04137710257e-06
1893,8.91637396546e-06
1892,3.21387571557e-06
1891,6.18100071638e-06
1890,3.93273193123e-06
1889,6.17712281973e-06
1888,6.37232203167e-06
1887,5.33719390359e-06
1886,2.02540670167e-06
1885,2.12811991246e-06
1884,2.08547239078e-06
1883,4.27833720998e-06
1882,4.82218203737e-06
1881,3.50382231977e-06
1880,4.91480881043e-06
1879,5.07345860717e-06
1878,3.36501306186e-06
1877,6.31605009386e-06
1876,8.94633858313e-06
1875,1.31732866823e-06
1874,4.0520554051e-06
1873,6.59527936284e-06
1872,1.50233613269e-05
1871,1.56060244929e-05
1870,2.61479950371e-06
1869,2.57800063161e-06
1868,8.81406725133e-06
1867,6.85610072983e-06
1866,7.42932391295e-06
1865,1.29486475138e-05
1864,1.87676768056e-06
1863,3.55694039101e-06
1862,1.73770400645e-06
1861,2.37274864287e-05
1860,5.44185110007e-06
1859,1.80719734414e-05
1858,1.82642730728e-05
1857,2.8173428583e-05
1856,3.41824831865e-06
1855,2.10592818785e-05
1854,2.22704749179e-05
1853,1.18083969511e-05
1852,1.3642405273e-05
1851,5.08044030483e-06
1850,1.2014733496e-05
1849,1.38659234532e-05
1848,8.8552625054e-06
1847,1.40744467863e-05
1846,1.03321795733e-05
1845,1.22491762429e-05
1844,1.62018097421e-05
1843,1.66619766288e-05
1842,6.85225621956e-06
1841,4.84112633645e-06
1840,2.19624793004e-06
1839,2.43025768022e-05
1838,1.63811791173e-05
1837,6.93442804837e-06
1836,2.64397548153e-05
1835,8.68370264397e-06
1834,4.1575028375e-06
1833,1.53760318416e-05
1832,8.85596438131e-06
1831,1.13765383924e-05
1830,6.82025889703e-06
1829,1.43528651907e-05
1828,0.0
1827,1.13304176392e-05
1826,0.0
1825,5.65610859729e-06
1824,1.49212159796e-05
1823,1.01311990274e-05
1822,5.15562246408e-06
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,1.20342011998e-05
1816,6.66635557007e-06
1815,0.0
1814,6.51554935854e-06
1813,1.55682003939e-05
1812,1.29806069732e-05
