date,freq
2017,0.0
2016,5.70346054617e-07
2015,2.88746286723e-07
2014,2.14959194603e-06
2013,2.11900642816e-06
2012,0.0
2011,0.0
2010,0.0
2009,1.11737305595e-06
2008,2.75831023708e-07
2007,0.0
2006,5.67008657939e-07
2005,0.0
2004,1.41257023652e-06
2003,0.0
2002,3.13635360003e-07
2001,9.81369999061e-07
2000,9.24942746044e-07
1999,8.84327331993e-07
1998,0.0
1997,6.44371830899e-07
1996,2.50018595133e-06
1995,6.13371435967e-07
1994,2.97896996156e-07
1993,5.52286479834e-07
1992,2.65527095181e-07
1991,5.05959827296e-07
1990,2.48714952022e-07
1989,5.19408207065e-07
1988,2.6899002316e-07
1987,2.78245384605e-06
1986,2.80271729047e-07
1985,0.0
1984,8.06076094121e-07
1983,0.0
1982,2.88525013965e-07
1981,8.94150734142e-07
1980,0.0
1979,3.37791619728e-07
1978,6.8525888224e-07
1977,0.0
1976,0.0
1975,0.0
1974,0.0
1973,3.42754394883e-07
1972,1.0614051164e-06
1971,0.0
1970,3.24300600713e-06
1969,3.61877114493e-07
1968,0.0
1967,0.0
1966,1.11073839667e-06
1965,0.0
1964,0.0
1963,7.58340129957e-07
1962,1.20666319416e-06
1961,3.29047083759e-06
1960,4.113723051e-07
1959,8.20544127427e-07
1958,3.45851575203e-06
1957,4.40270096899e-07
1956,1.77598048553e-06
1955,4.66441841699e-07
1954,7.32671226487e-06
1953,2.43332566025e-06
1952,5.31900747321e-07
1951,1.65621502971e-06
1950,1.04140631509e-06
1949,1.52354408857e-06
1948,2.18426575088e-06
1947,1.08334145839e-06
1946,4.72654569861e-06
1945,4.00776972958e-06
1944,5.84035203046e-06
1943,6.58170995457e-06
1942,4.45448435724e-06
1941,3.90589036166e-06
1940,2.83392411205e-06
1939,2.96255553394e-05
1938,1.15510788708e-05
1937,1.17958578076e-05
1936,6.42779825627e-06
1935,6.46377313708e-06
1934,9.76065598398e-06
1933,5.37453701464e-06
1932,1.06306076455e-05
1931,1.36204974453e-05
1930,1.47433593091e-05
1929,2.58133065097e-05
1928,2.6817963322e-05
1927,8.30955492639e-06
1926,8.52721698167e-06
1925,1.42078721695e-05
1924,1.1117750879e-05
1923,4.58583303695e-06
1922,6.9603832387e-06
1921,8.9015344627e-06
1920,3.52302783104e-06
1919,8.09304483727e-06
1918,3.710275013e-06
1917,1.15045742793e-05
1916,1.14353215355e-05
1915,1.0005792242e-05
1914,1.12747137699e-05
1913,1.00216802349e-05
1912,7.94360254026e-06
1911,1.8038568521e-05
1910,1.15655302946e-05
1909,1.29495903527e-05
1908,1.68580384581e-05
1907,2.10635584776e-05
1906,2.77002853745e-05
1905,0.000146557585343
1904,0.000170727463154
1903,0.0001605411935
1902,0.000156801415458
1901,0.000140513456734
1900,0.00013489309722
1899,0.000146310588375
1898,0.000143720122861
1897,0.000137911387078
1896,0.000185626120049
1895,0.000182683689107
1894,0.000152501657353
1893,0.000184696317856
1892,0.000166478762066
1891,0.000152052617623
1890,0.000129124698409
1889,0.000119424374515
1888,0.000156475907666
1887,0.00015277717549
1886,0.000168783891805
1885,0.000216358857767
1884,0.000221060073423
1883,0.000224612703524
1882,0.000171531903901
1881,0.000166081177957
1880,0.000159380228567
1879,0.000166409442315
1878,6.05702351135e-05
1877,9.34775413891e-05
1876,4.21755961776e-05
1875,6.05971187387e-05
1874,0.000126964402693
1873,7.78242964816e-05
1872,0.000144770572786
1871,0.000102148523954
1870,0.00011243637866
1869,9.02300221064e-05
1868,9.84237509732e-05
1867,8.05591835755e-05
1866,6.68639152166e-05
1865,6.28934307812e-05
1864,7.13171718612e-05
1863,5.86895164517e-05
1862,5.03934161871e-05
1861,3.89808705615e-05
1860,7.79998657677e-05
1859,0.000121082222058
1858,8.21892288276e-05
1857,8.80419643219e-05
1856,0.000105965697878
1855,0.000177248955811
1854,4.89950448193e-05
1853,6.88823155479e-05
1852,4.87228759749e-05
1851,9.31414055885e-05
1850,9.44014774689e-05
1849,8.14623002874e-05
1848,9.74078875594e-05
1847,2.4630281876e-05
1846,0.000121919718965
1845,8.92439983411e-05
1844,0.000168093776075
1843,0.000142552466713
1842,9.82156724804e-05
1841,5.08318265328e-05
1840,0.000144952363382
1839,2.91630921627e-05
1838,8.73662886255e-05
1837,2.77377121935e-05
1836,2.64397548153e-05
1835,3.69057362369e-05
1834,7.89925539124e-05
1833,5.27178234568e-05
1832,1.54979376673e-05
1831,5.23320766051e-05
1830,4.54683926469e-05
1829,2.39214419845e-05
1828,0.000166803932403
1827,0.000209612726325
1826,6.44691289576e-05
1825,1.13122171946e-05
1824,1.49212159796e-05
1823,4.55903956233e-05
1822,5.15562246408e-06
1821,1.66738920199e-05
1820,6.60140081725e-06
1819,1.76295329937e-05
1818,2.34612361725e-05
1817,6.6188106599e-05
1816,6.66635557007e-06
1815,0.0
1814,0.0
1813,0.0
1812,1.94709104598e-05
