date,freq
2017,1.15723127788e-06
2016,1.71103816385e-06
2015,5.77492573446e-07
2014,1.22833825488e-06
2013,3.32986724425e-06
2012,3.8844002486e-06
2011,1.47160494118e-06
2010,8.78603114765e-07
2009,4.74883548777e-06
2008,5.51662047416e-07
2007,2.29990602009e-06
2006,1.13401731588e-06
2005,1.1260722319e-06
2004,1.13005618922e-06
2003,1.76588850827e-06
2002,1.88181216002e-06
2001,1.30849333208e-06
2000,1.75739121748e-05
1999,1.65074435305e-05
1998,4.44640368518e-06
1997,6.44371830899e-07
1996,9.37569731749e-07
1995,1.8401143079e-06
1994,1.78738197693e-06
1993,1.6568594395e-06
1992,5.31054190363e-06
1991,3.54171879107e-06
1990,4.47686913639e-06
1989,5.45378617418e-06
1988,5.11081044004e-06
1987,3.33894461526e-06
1986,1.96190210333e-06
1985,3.38762376825e-06
1984,1.07476812549e-06
1983,2.00732501574e-06
1982,2.01967509775e-06
1981,2.38440195771e-06
1980,2.29255339357e-06
1979,2.70233295782e-06
1978,2.05577664672e-06
1977,1.00312439813e-06
1976,1.29707363973e-06
1975,2.07520185661e-06
1974,1.34473353601e-06
1973,3.42754394883e-06
1972,6.36843069838e-06
1971,2.8398078586e-06
1970,5.76534401267e-06
1969,3.61877114493e-06
1968,4.92067307237e-06
1967,4.12046285534e-06
1966,3.70246132224e-06
1965,2.73677181344e-06
1964,5.07132031824e-06
1963,3.79170064978e-06
1962,4.02221064719e-06
1961,4.52439740168e-06
1960,3.7023507459e-06
1959,5.33353682828e-06
1958,5.18777362804e-06
1957,3.08189067829e-06
1956,8.87990242763e-07
1955,1.3993255251e-06
1954,4.39602735892e-06
1953,2.43332566025e-06
1952,0.0
1951,8.83314682512e-06
1950,1.04140631509e-06
1949,4.57063226572e-06
1948,3.27639862632e-06
1947,4.87503656277e-06
1946,6.49900033558e-06
1945,1.0019424324e-05
1944,5.19142402708e-06
1943,3.94902597274e-06
1942,3.89767381259e-06
1941,1.06017024102e-05
1940,5.10106340168e-06
1939,8.3845911338e-06
1938,3.85035962359e-06
1937,7.18008736115e-06
1936,5.99927837252e-06
1935,8.18744597363e-06
1934,5.51689251269e-06
1933,6.61481478725e-06
1932,7.22881319896e-06
1931,7.84210458974e-06
1930,4.76991036471e-06
1929,4.16343653382e-06
1928,1.09709849953e-05
1927,4.61641940355e-06
1926,4.73734276759e-06
1925,8.24973222744e-06
1924,6.94859429937e-06
1923,4.07629603285e-06
1922,8.70047904838e-06
1921,6.4738432456e-06
1920,7.04605566208e-06
1919,6.29459042899e-06
1918,1.18728800416e-05
1917,4.84403127549e-06
1916,2.85883038388e-06
1915,5.00289612098e-06
1914,4.29512905521e-06
1913,5.01084011745e-06
1912,4.76616152415e-06
1911,2.06155068812e-06
1910,3.51994400272e-06
1909,5.17983614106e-07
1908,3.47077262374e-06
1907,5.40091243015e-06
1906,1.84668569163e-06
1905,4.46044824956e-06
1904,1.31328817811e-06
1903,6.52606477641e-06
1902,6.84722338245e-07
1901,4.11258897758e-06
1900,3.74703047835e-06
1899,5.15632029515e-06
1898,3.95559971177e-06
1897,3.88482780501e-06
1896,4.40468759439e-06
1895,3.28567786163e-06
1894,0.0
1893,5.09507083741e-06
1892,5.14220114491e-06
1891,1.85430021491e-06
1890,3.27727660936e-06
1889,1.37269395994e-06
1888,2.12410734389e-06
1887,2.6685969518e-06
1886,2.02540670167e-06
1885,2.83749321662e-06
1884,3.47578731796e-06
1883,3.56528100832e-06
1882,2.75553259278e-06
1881,2.10229339186e-06
1880,4.91480881043e-06
1879,4.05876688574e-06
1878,2.24334204124e-06
1877,2.52642003754e-06
1876,2.55609673804e-06
1875,2.63465733647e-06
1874,4.0520554051e-06
1873,3.95716761771e-06
1872,4.09728036187e-06
1871,2.83745899872e-06
1870,6.53699875928e-06
1869,0.0
1868,2.93802241711e-06
1867,1.71402518246e-06
1866,1.85733097824e-06
1865,0.0
1864,0.0
1863,1.77847019551e-06
1862,0.0
1861,3.38964091839e-06
1860,0.0
1859,7.22878937657e-06
1858,1.82642730728e-06
1857,0.0
1856,1.70912415932e-06
1855,0.0
1854,8.90818996715e-06
1853,1.96806615851e-06
1852,0.0
1851,1.69348010161e-06
1850,1.71639049944e-06
1849,3.46648086329e-06
1848,5.31315750324e-06
1847,1.75930584828e-06
1846,0.0
1845,3.49976464083e-06
1844,4.05045243554e-06
1843,1.85133073653e-06
1842,2.28408540652e-06
1841,0.0
1840,2.19624793004e-06
1839,7.29077304067e-06
1838,5.46039303909e-06
1837,9.2459040645e-06
1836,4.40662580256e-06
1835,2.17092566099e-06
1834,2.07875141875e-06
1833,4.39315195473e-06
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,1.28938257915e-05
1825,0.0
1824,0.0
1823,5.0655995137e-06
1822,0.0
1821,0.0
1820,0.0
1819,5.87651099789e-06
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,6.51554935854e-06
1813,0.0
1812,6.49030348659e-06
