date,freq
2017,5.20754075045e-06
2016,5.70346054617e-06
2015,4.33119430084e-06
2014,1.16692134213e-05
2013,9.3841713247e-06
2012,1.52388009753e-05
2011,1.08898765647e-05
2010,1.14218404919e-05
2009,1.31291334074e-05
2008,1.35157201617e-05
2007,1.2936971363e-05
2006,1.78607727251e-05
2005,8.72705979725e-06
2004,1.07355337976e-05
2003,1.23612195579e-05
2002,1.53681326402e-05
2001,1.93002766482e-05
2000,1.63406551801e-05
1999,1.12014795386e-05
1998,3.01720250066e-05
1997,2.89967323904e-05
1996,1.03132670492e-05
1995,2.14680002588e-05
1994,2.77044206425e-05
1993,1.40833052358e-05
1992,2.12421676145e-05
1991,9.61323671862e-06
1990,2.16382008259e-05
1989,1.2206092866e-05
1988,9.68364083376e-06
1987,1.30775330764e-05
1986,1.03700539747e-05
1985,1.01628713047e-05
1984,1.15537573491e-05
1983,8.60282149604e-06
1982,1.18295255725e-05
1981,5.96100489428e-06
1980,9.17021357427e-06
1979,1.21604983102e-05
1978,5.48207105792e-06
1977,1.30406171756e-05
1976,1.07008575278e-05
1975,1.3488812068e-05
1974,1.00855015201e-05
1973,1.26819126107e-05
1972,6.36843069838e-06
1971,1.17142074167e-05
1970,7.20668001584e-06
1969,1.23038218928e-05
1968,2.34678254221e-05
1967,2.43481895997e-05
1966,3.77651054868e-05
1965,3.87057727901e-05
1964,3.90101562942e-05
1963,3.98128568227e-05
1962,3.13732430481e-05
1961,3.86630323416e-05
1960,6.1705845765e-05
1959,4.75915593908e-05
1958,5.79301388464e-05
1957,4.40270096899e-05
1956,3.15236536181e-05
1955,6.15703231043e-05
1954,4.59140635265e-05
1953,4.81798480729e-05
1952,4.41477620276e-05
1951,4.63740208319e-05
1950,5.46738315421e-05
1949,5.68789793067e-05
1948,4.4777447893e-05
1947,6.12087923993e-05
1946,4.54930023491e-05
1945,3.67378891878e-05
1944,3.24464001692e-05
1943,3.29085497729e-05
1942,2.39428534202e-05
1941,4.12908409661e-05
1940,2.32381777188e-05
1939,2.85076098549e-05
1938,1.26511816204e-05
1937,5.12863382939e-06
1936,9.42743744252e-06
1935,3.44734567311e-06
1934,5.51689251269e-06
1933,2.06712962102e-06
1932,1.70089722329e-06
1931,1.65096938731e-06
1930,1.30088464492e-06
1929,3.33074922706e-06
1928,2.03166388803e-06
1927,3.69313552284e-06
1926,9.47468553519e-07
1925,9.1663691416e-07
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,1.76151391552e-06
1919,4.4961360207e-06
1918,0.0
1917,0.0
1916,1.14353215355e-06
1915,1.11175469355e-06
1914,1.6106733957e-06
1913,2.2270400522e-06
1912,5.29573502684e-07
1911,0.0
1910,1.00569828649e-06
1909,5.17983614106e-07
1908,4.95824660534e-07
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,6.52606477641e-07
1902,0.0
1901,1.37086299253e-06
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,2.51696433965e-06
1895,3.94281343395e-06
1894,6.30172137821e-07
1893,6.36883854676e-07
1892,0.0
1891,6.18100071638e-07
1890,0.0
1889,0.0
1888,0.0
1887,6.67149237949e-07
1886,6.75135567222e-07
1885,1.41874660831e-06
1884,6.95157463593e-07
1883,2.13916860499e-06
1882,6.88883148196e-07
1881,0.0
1880,0.0
1879,2.02938344287e-06
1878,0.0
1877,2.52642003754e-06
1876,1.40585320592e-05
1875,2.63465733647e-06
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,1.85733097824e-06
1865,1.84980678768e-06
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,1.80719734414e-06
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,2.31147601612e-06
1836,0.0
1835,0.0
1834,2.07875141875e-06
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,2.60631144379e-06
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
