date,freq
2017,0.0
2016,2.85173027308e-07
2015,0.0
2014,0.0
2013,0.0
2012,1.49400009562e-06
2011,5.88641976471e-07
2010,0.0
2009,0.0
2008,2.75831023708e-07
2007,2.87488252511e-07
2006,8.50512986908e-07
2005,8.44554173927e-07
2004,1.13005618922e-06
2003,2.94314751379e-07
2002,1.88181216002e-06
2001,0.0
2000,0.0
1999,1.47387888666e-06
1998,3.17600263227e-07
1997,6.44371830899e-07
1996,0.0
1995,3.06685717983e-07
1994,0.0
1993,0.0
1992,7.96581285544e-07
1991,2.52979913648e-07
1990,7.46144856065e-07
1989,0.0
1988,8.0697006948e-07
1987,0.0
1986,1.12108691619e-06
1985,2.82301980687e-07
1984,5.37384062747e-07
1983,1.43380358267e-06
1982,5.77050027929e-07
1981,5.96100489428e-07
1980,9.82522882958e-07
1979,3.37791619728e-07
1978,6.8525888224e-07
1977,1.00312439813e-06
1976,6.48536819867e-07
1975,0.0
1974,0.0
1973,6.85508789765e-07
1972,3.53801705466e-07
1971,1.4199039293e-06
1970,1.08100200238e-06
1969,3.98064825943e-06
1968,7.57026626519e-07
1967,3.74587532303e-07
1966,0.0
1965,1.17290220576e-06
1964,1.17030468883e-06
1963,1.51668025991e-06
1962,4.02221064719e-07
1961,0.0
1960,1.6454892204e-06
1959,4.10272063714e-07
1958,2.59388681402e-06
1957,8.80540193798e-07
1956,4.43995121382e-07
1955,1.8657673668e-06
1954,1.46534245297e-06
1953,1.45999539615e-06
1952,1.06380149464e-06
1951,1.10414335314e-06
1950,0.0
1949,5.07848029524e-07
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,4.2437634713e-07
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,3.65699499845e-06
1927,0.0
1926,4.73734276759e-07
1925,4.5831845708e-07
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,1.32113543664e-05
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,5.5676001305e-07
1912,0.0
1911,5.1538767203e-07
1910,5.02849143246e-07
1909,0.0
1908,9.42066855014e-06
1907,7.02118615919e-06
1906,6.15561897211e-07
1905,1.27441378559e-06
1904,3.28322044527e-06
1903,0.0
1902,0.0
1901,0.0
1900,3.74703047835e-06
1899,0.0
1898,0.0
1897,6.47471300835e-07
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,2.12115797228e-05
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,1.31905587257e-06
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,6.49030348659e-06
