date,freq
2017,2.31446255576e-06
2016,8.55519081925e-07
2015,5.77492573446e-07
2014,3.07084563719e-06
2013,6.35701928447e-06
2012,2.39040015299e-06
2011,3.53185185883e-06
2010,2.92867704922e-06
2009,9.49767097554e-06
2008,2.75831023708e-07
2007,2.87488252511e-07
2006,1.70102597382e-06
2005,1.1260722319e-06
2004,2.26011237844e-06
2003,1.4715737569e-06
2002,7.21361328007e-06
2001,2.28986333114e-06
2000,2.46651398945e-06
1999,3.53730932797e-06
1998,3.81120315873e-06
1997,1.61092957725e-06
1996,3.750278927e-06
1995,3.6802286158e-06
1994,2.38317596925e-06
1993,2.20914591933e-06
1992,1.85868966627e-06
1991,3.28873887742e-06
1990,5.7204438965e-06
1989,7.79112310598e-07
1988,2.15192018528e-06
1987,1.94771769223e-06
1986,1.96190210333e-06
1985,4.51683169099e-06
1984,1.34346015687e-06
1983,2.00732501574e-06
1982,3.75082518154e-06
1981,4.76880391543e-06
1980,2.29255339357e-06
1979,1.68895809864e-06
1978,4.79681217568e-06
1977,3.34374799375e-06
1976,2.9184156894e-06
1975,5.53387161764e-06
1974,2.68946707201e-06
1973,2.74203515906e-06
1972,8.49124093118e-06
1971,5.6796157172e-06
1970,3.60334000792e-06
1969,1.15800676638e-05
1968,1.32479659641e-05
1967,9.73927583989e-06
1966,1.85123066112e-05
1965,1.36838590672e-05
1964,1.20931484512e-05
1963,8.34174142952e-06
1962,8.04442129439e-06
1961,6.99225052987e-06
1960,1.06956799326e-05
1959,1.06670736566e-05
1958,1.46986919461e-05
1957,1.05664823256e-05
1956,1.99797804622e-05
1955,2.33220920849e-06
1954,2.44223742162e-06
1953,7.78664211279e-06
1952,6.91470971517e-06
1951,6.07278844227e-06
1950,1.19761726235e-05
1949,5.58632832477e-06
1948,4.36853150175e-06
1947,7.04171947956e-06
1946,7.68063676024e-06
1945,1.93708870263e-05
1944,8.436064044e-06
1943,9.87256493186e-06
1942,2.00451796076e-05
1941,1.1717671085e-05
1940,1.41696205602e-05
1939,1.56512367831e-05
1938,9.35087337157e-06
1937,7.69295074409e-06
1936,5.99927837252e-06
1935,1.72367283655e-06
1934,1.27312904139e-06
1933,3.30740739363e-06
1932,2.55134583493e-06
1931,8.25484693656e-07
1930,3.46902571979e-06
1929,1.66537461353e-06
1928,1.21899833282e-06
1927,2.30820970177e-06
1926,2.84240566056e-06
1925,2.2915922854e-06
1924,4.63239619958e-07
1923,2.03814801642e-06
1922,2.32012774623e-06
1921,0.0
1920,2.64227087328e-06
1919,8.99227204141e-07
1918,7.42055002601e-07
1917,1.21100781887e-06
1916,5.71766076776e-07
1915,5.55877346775e-07
1914,6.97958471471e-06
1913,8.35140019576e-06
1912,4.76616152415e-06
1911,4.63848904827e-06
1910,1.50854742974e-06
1909,2.58991807053e-06
1908,5.45407126587e-06
1907,5.40091243015e-07
1906,6.15561897211e-07
1905,1.27441378559e-06
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
