date,freq
2017,1.96729317239e-05
2016,1.53993434747e-05
2015,1.50148069096e-05
2014,1.47400590585e-05
2013,1.3319468977e-05
2012,9.26280059282e-06
2011,1.03012345882e-05
2010,9.66463426242e-06
2009,1.11737305595e-05
2008,9.10242378237e-06
2007,1.26494831105e-05
2006,1.67267554092e-05
2005,1.35128667828e-05
2004,2.17535816425e-05
2003,1.05953310496e-05
2002,1.06636022401e-05
2001,1.01408233236e-05
2000,1.17159414499e-05
1999,1.35596857572e-05
1998,1.3974411582e-05
1997,1.77202253497e-05
1996,1.28134530006e-05
1995,1.19607430014e-05
1994,1.13200858539e-05
1993,1.38071619958e-05
1992,1.00900296169e-05
1991,1.06251563732e-05
1990,1.26844625531e-05
1989,1.37643174872e-05
1988,1.53324313201e-05
1987,1.11298153842e-05
1986,1.12108691619e-05
1985,1.10097772468e-05
1984,1.34346015687e-05
1983,1.49115572598e-05
1982,1.15410005586e-05
1981,1.43064117463e-05
1980,1.21177822231e-05
1979,1.28360815497e-05
1978,9.25099491024e-06
1977,1.27062423763e-05
1976,1.58891520867e-05
1975,1.6947481829e-05
1974,1.74815359681e-05
1973,1.81659829288e-05
1972,1.5213473335e-05
1971,1.10042554521e-05
1970,1.44133600317e-05
1969,1.77319786102e-05
1968,2.49818786751e-05
1967,1.42343262275e-05
1966,1.36991068923e-05
1965,1.72025656845e-05
1964,1.95050781471e-05
1963,1.8200163119e-05
1962,1.56866215241e-05
1961,1.80975896067e-05
1960,1.48094029836e-05
1959,2.33855076317e-05
1958,1.55633208841e-05
1957,1.93718842636e-05
1956,2.93036780112e-05
1955,2.79865105019e-05
1954,2.93068490595e-05
1953,3.40665592434e-05
1952,1.59570224196e-05
1951,2.37390820925e-05
1950,1.77039073565e-05
1949,2.28531613286e-05
1948,2.45729896974e-05
1947,2.11251584387e-05
1946,1.94970010068e-05
1945,1.73670021615e-05
1944,1.94678401015e-05
1943,2.3035984841e-05
1942,2.83973377774e-05
1941,2.00874361457e-05
1940,2.94728107653e-05
1939,3.18614463084e-05
1938,1.70515926188e-05
1937,2.66688959128e-05
1936,2.78537924438e-05
1935,1.68058101564e-05
1934,2.92819679519e-05
1933,1.73638888165e-05
1932,2.67891312667e-05
1931,2.8891964278e-05
1930,3.07876032631e-05
1929,3.12257740037e-05
1928,2.35673011011e-05
1927,3.23149358248e-05
1926,2.5581650945e-05
1925,3.02490181673e-05
1924,2.1772262138e-05
1923,2.80245352258e-05
1922,2.61014371451e-05
1921,3.2369216228e-05
1920,2.99457365638e-05
1919,2.51783617159e-05
1918,3.19083651118e-05
1917,2.66421720152e-05
1916,2.00118126871e-05
1915,2.33468485646e-05
1914,2.41601009355e-05
1913,2.2270400522e-05
1912,2.27716606154e-05
1911,1.7007793177e-05
1910,1.70968708704e-05
1909,1.50215248091e-05
1908,1.33872658344e-05
1907,1.35022810754e-05
1906,1.41579236359e-05
1905,1.21069309631e-05
1904,2.4295831295e-05
1903,1.10943101199e-05
1902,1.16402797502e-05
1901,1.91920818954e-05
1900,2.31066879498e-05
1899,1.35353407748e-05
1898,1.64816654657e-05
1897,9.06459821168e-06
1896,1.25848216982e-05
1895,1.31427114465e-05
1894,1.13430984808e-05
1893,1.14639093842e-05
1892,1.09271774329e-05
1891,1.3598201576e-05
1890,1.24536511156e-05
1889,1.64723275193e-05
1888,1.06205367194e-05
1887,8.00579085539e-06
1886,8.10162680666e-06
1885,4.96561312908e-06
1884,9.03704702671e-06
1883,1.0695843025e-05
1882,1.10221303711e-05
1881,1.33145248151e-05
1880,3.51057772173e-06
1879,5.07345860717e-06
1878,8.97336816496e-06
1877,7.57926011263e-06
1876,1.02243869521e-05
1875,9.22130067763e-06
1874,8.10411081021e-06
1873,9.23339110798e-06
1872,5.4630404825e-06
1871,9.93110649551e-06
1870,2.61479950371e-06
1869,3.86700094742e-06
1868,5.87604483422e-06
1867,1.02841510947e-05
1866,3.71466195648e-06
1865,1.10988407261e-05
1864,1.87676768056e-06
1863,1.77847019551e-06
1862,5.21311201935e-06
1861,1.35585636736e-05
1860,1.81395036669e-06
1859,1.80719734414e-06
1858,3.65285461456e-06
1857,8.80419643219e-06
1856,1.70912415932e-06
1855,0.0
1854,1.33622849507e-05
1853,1.96806615851e-06
1852,3.897830078e-06
1851,6.77392040644e-06
1850,6.86556199774e-06
1849,8.66620215823e-06
1848,1.77105250108e-06
1847,1.75930584828e-06
1846,2.06643591466e-06
1845,3.49976464083e-06
1844,2.02522621777e-06
1843,1.85133073653e-06
1842,0.0
1841,2.42056316823e-06
1840,2.19624793004e-06
1839,0.0
1838,2.73019651955e-06
1837,0.0
1836,8.81325160511e-06
1835,0.0
1834,4.1575028375e-06
1833,0.0
1832,6.64197328598e-06
1831,0.0
1830,0.0
1829,2.39214419845e-06
1828,2.60631144379e-06
1827,0.0
1826,0.0
1825,5.65610859729e-06
1824,0.0
1823,0.0
1822,5.15562246408e-06
1821,0.0
1820,6.60140081725e-06
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
