date,freq
2017,0.0
2016,0.0
2015,0.0
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,0.0
2009,2.79343263986e-07
2008,0.0
2007,0.0
2006,2.83504328969e-07
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,0.0
2000,3.08314248681e-07
1999,0.0
1998,0.0
1997,0.0
1996,0.0
1995,0.0
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,0.0
1989,0.0
1988,0.0
1987,0.0
1986,2.80271729047e-07
1985,0.0
1984,0.0
1983,0.0
1982,0.0
1981,0.0
1980,0.0
1979,0.0
1978,0.0
1977,6.6874959875e-07
1976,3.24268409934e-07
1975,1.72933488051e-06
1974,0.0
1973,0.0
1972,0.0
1971,0.0
1970,0.0
1969,0.0
1968,0.0
1967,0.0
1966,0.0
1965,0.0
1964,0.0
1963,0.0
1962,4.02221064719e-07
1961,0.0
1960,0.0
1959,4.10272063714e-07
1958,0.0
1957,0.0
1956,0.0
1955,0.0
1954,4.88447484324e-07
1953,0.0
1952,0.0
1951,0.0
1950,0.0
1949,5.07848029524e-07
1948,0.0
1947,0.0
1946,1.18163642465e-06
1945,0.0
1944,3.24464001692e-06
1943,4.6071969682e-06
1942,1.11362108931e-06
1941,1.67395301214e-06
1940,3.96749375687e-06
1939,1.34153458141e-05
1938,2.20020549919e-06
1937,1.53859014882e-06
1936,1.28555965125e-06
1935,3.44734567311e-06
1934,2.12188173565e-06
1933,3.72083331783e-06
1932,2.55134583493e-06
1931,5.36565050877e-06
1930,6.07079500963e-06
1929,7.91052941426e-06
1928,4.06332777606e-06
1927,3.23149358248e-06
1926,1.42120283028e-06
1925,1.37495537124e-06
1924,9.26479239916e-07
1923,5.09537004106e-06
1922,5.22028742903e-06
1921,7.2830736513e-06
1920,5.28454174656e-06
1919,3.59690881656e-06
1918,3.710275013e-06
1917,8.4770547321e-06
1916,6.28942684453e-06
1915,6.11465081453e-06
1914,6.44269358281e-06
1913,1.00216802349e-05
1912,7.94360254026e-06
1911,1.03077534406e-05
1910,1.15655302946e-05
1909,1.50215248091e-05
1908,1.88413371003e-05
1907,1.18820073463e-05
1906,1.90824188135e-05
1905,1.27441378559e-05
1904,1.11629495139e-05
1903,1.37047360305e-05
1902,6.84722338245e-06
1901,1.37086299253e-05
1900,4.99604063779e-06
1899,9.02356051651e-06
1898,1.71409320843e-05
1897,2.330896683e-05
1896,1.38433038681e-05
1895,1.77426604528e-05
1894,2.26861969616e-05
1893,2.61122380417e-05
1892,3.4067082585e-05
1891,1.29801015044e-05
1890,1.70418383687e-05
1889,1.44132865794e-05
1888,1.69928587511e-05
1887,1.2675835521e-05
1886,1.41778469117e-05
1885,8.51247964985e-06
1884,1.39031492719e-05
1883,2.06786298482e-05
1882,1.51554292603e-05
1881,9.81070249535e-06
1880,2.73825062295e-05
1879,2.43526013144e-05
1878,2.57984334743e-05
1877,2.14745703191e-05
1876,1.40585320592e-05
1875,1.97599300235e-05
1874,1.89095918905e-05
1873,3.29763968142e-05
1872,2.32179220506e-05
1871,1.9862212991e-05
1870,2.35331955334e-05
1869,1.28900031581e-05
1868,2.05661569198e-05
1867,2.91384281018e-05
1866,2.22879717389e-05
1865,9.24903393841e-06
1864,3.19050505695e-05
1863,1.42277615641e-05
1862,1.9114744071e-05
1861,2.71171273471e-05
1860,5.44185110007e-06
1859,1.80719734414e-06
1858,1.09585638437e-05
1857,7.04335714575e-06
1856,1.19638691153e-05
1855,3.50988031308e-05
1854,1.78163799343e-05
1853,5.90419847554e-06
1852,1.948915039e-05
1851,1.69348010161e-05
1850,1.71639049944e-05
1849,1.38659234532e-05
1848,2.65657875162e-05
1847,1.40744467863e-05
1846,4.54615901224e-05
1845,5.0746587292e-05
1844,4.05045243554e-05
1843,1.29593151557e-05
1842,1.14204270326e-05
1841,1.93645053458e-05
1840,1.75699834403e-05
1839,1.45815460813e-05
1838,7.91756990668e-05
1837,2.77377121935e-05
1836,6.60993870384e-06
1835,2.82220335929e-05
1834,4.36537797937e-05
1833,3.07520636831e-05
1832,3.32098664299e-05
1831,2.73036921418e-05
1830,3.63747141175e-05
1829,2.6313586183e-05
1828,4.43072945445e-05
1827,9.06433411136e-05
1826,4.51283902703e-05
1825,2.82805429864e-05
1824,5.47111252586e-05
1823,1.51967985411e-05
1822,2.57781123204e-05
1821,2.77898200331e-05
1820,6.60140081725e-06
1819,5.87651099789e-06
1818,2.34612361725e-05
1817,1.80513017997e-05
1816,3.99981334204e-05
1815,1.30346656934e-05
1814,1.95466480756e-05
1813,3.89205009847e-05
1812,3.2451517433e-05
