date,freq
2017,1.73584691682e-06
2016,2.28138421847e-06
2015,1.15498514689e-06
2014,1.22833825488e-06
2013,1.51357602011e-06
2012,5.97600038246e-07
2011,8.82962964707e-07
2010,8.78603114765e-07
2009,1.9554028479e-06
2008,5.51662047416e-07
2007,3.44985903014e-06
2006,3.11854761866e-06
2005,5.34884310154e-06
2004,3.10765452035e-06
2003,3.23746226517e-06
2002,3.13635360003e-06
2001,3.59835666322e-06
2000,3.69977098418e-06
1999,5.01118821463e-06
1998,1.90560157936e-06
1997,3.54404506994e-06
1996,3.12523243916e-06
1995,2.76017146185e-06
1994,3.87266095002e-06
1993,2.76143239917e-06
1992,2.65527095181e-06
1991,1.01191965459e-06
1990,3.23329437628e-06
1989,1.81792872473e-06
1988,2.15192018528e-06
1987,2.50420846144e-06
1986,1.40135864523e-06
1985,2.2584158455e-06
1984,2.95561234511e-06
1983,2.86760716535e-07
1982,1.73115008379e-06
1981,1.19220097886e-06
1980,3.27507627653e-06
1979,1.01337485918e-06
1978,3.08366497008e-06
1977,1.00312439813e-06
1976,3.8912209192e-06
1975,1.38346790441e-06
1974,1.34473353601e-06
1973,6.85508789765e-07
1972,2.47661193826e-06
1971,0.0
1970,3.60334000792e-07
1969,3.61877114493e-06
1968,3.02810650608e-06
1967,0.0
1966,0.0
1965,1.17290220576e-06
1964,1.56040625177e-06
1963,2.27502038987e-06
1962,1.20666319416e-06
1961,4.11308854698e-07
1960,4.113723051e-07
1959,0.0
1958,0.0
1957,0.0
1956,8.87990242763e-07
1955,4.66441841699e-07
1954,0.0
1953,0.0
1952,0.0
1951,1.10414335314e-06
1950,5.20703157544e-07
1949,0.0
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,1.29785600677e-06
1943,0.0
1942,0.0
1941,0.0
1940,5.66784822409e-07
1939,0.0
1938,0.0
1937,0.0
1936,4.28519883751e-07
1935,8.61836418277e-07
1934,0.0
1933,0.0
1932,1.70089722329e-06
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,4.56824534349e-06
1902,6.84722338245e-07
1901,0.0
1900,2.4980203189e-06
1899,6.44540036893e-07
1898,1.31853323726e-06
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
