date,freq
2017,4.62892511151e-06
2016,3.99242238232e-06
2015,5.77492573446e-06
2014,5.52752214694e-06
2013,6.65973448849e-06
2012,8.06760051633e-06
2011,4.1204938353e-06
2010,1.37647821313e-05
2009,6.98358159966e-06
2008,9.10242378237e-06
2007,5.74976505023e-06
2006,5.10307792145e-06
2005,2.25214446381e-06
2004,5.65028094609e-06
2003,6.18060977896e-06
2002,3.44998896004e-06
2001,3.2712333302e-06
2000,5.54965647626e-06
1999,6.19029132395e-06
1998,9.52800789681e-06
1997,6.76590422444e-06
1996,3.750278927e-06
1995,6.13371435967e-06
1994,5.66004292696e-06
1993,5.24672155842e-06
1992,7.43475866508e-06
1991,8.60131706403e-06
1990,6.71530370458e-06
1989,3.63585744946e-06
1988,4.0348503474e-06
1987,5.56490769209e-06
1986,4.48434766475e-06
1985,7.05754951718e-06
1984,4.56776453335e-06
1983,3.72788931495e-06
1982,7.79017537704e-06
1981,5.96100489428e-06
1980,4.25759915948e-06
1979,6.0802491551e-06
1978,5.82470049904e-06
1977,5.34999679e-06
1976,5.18829455894e-06
1975,5.87973859374e-06
1974,4.03420060802e-06
1973,5.826824713e-06
1972,9.19884434211e-06
1971,6.74454366418e-06
1970,3.60334000792e-06
1969,7.59941940436e-06
1968,1.13553993978e-06
1967,1.12376259691e-06
1966,2.96196905779e-06
1965,1.56386960768e-06
1964,3.12081250354e-06
1963,3.41253058481e-06
1962,3.61998958247e-06
1961,2.46785312819e-06
1960,7.4047014918e-06
1959,2.50265958865e-05
1958,2.16157234502e-05
1957,2.24537749419e-05
1956,6.21593169934e-06
1955,3.73153473359e-06
1954,7.32671226487e-06
1953,3.40665592434e-06
1952,5.31900747321e-06
1951,4.96864508913e-06
1950,1.77039073565e-05
1949,1.32040487676e-05
1948,1.14673951921e-05
1947,1.46251096883e-05
1946,3.95848202258e-05
1945,4.4753428647e-05
1944,1.62232000846e-05
1943,2.23778138455e-05
1942,2.28292323309e-05
1941,2.12034048204e-05
1940,2.04042536067e-05
1939,3.46563100197e-05
1938,1.98018494927e-05
1937,1.28215845735e-05
1936,1.11415169775e-05
1935,1.37893826924e-05
1934,1.82481829266e-05
1933,2.2324999907e-05
1932,1.78594208445e-05
1931,1.56842091795e-05
1930,1.6911500384e-05
1929,2.41479318962e-05
1928,1.70659766594e-05
1927,1.15410485089e-05
1926,1.65806996866e-05
1925,5.04150302788e-06
1924,2.13090225181e-05
1923,2.24196281807e-05
1922,2.55214052086e-05
1921,3.15599858223e-05
1920,2.81842226483e-05
1919,6.29459042899e-06
1918,7.42055002601e-06
1917,1.69541094642e-05
1916,1.42941519194e-05
1915,1.83439524436e-05
1914,8.59025811041e-06
1913,1.0578440248e-05
1912,4.23658802147e-06
1911,1.03077534406e-05
1910,1.00569828649e-05
1909,1.13956395103e-05
1908,6.94154524747e-06
1907,1.29621898324e-05
1906,1.04645522526e-05
1905,1.72045861054e-05
1904,2.16692549388e-05
1903,6.52606477641e-06
1902,2.05416701473e-05
1901,2.81026913468e-05
1900,1.43636168337e-05
1899,9.02356051651e-06
1898,1.91187319402e-05
1897,1.10070121142e-05
1896,6.92165193404e-06
1895,3.28567786163e-06
1894,4.41120496475e-06
1893,4.45818698273e-06
1892,1.28555028623e-06
1891,0.0
1890,3.93273193123e-06
1889,1.37269395994e-06
1888,1.41607156259e-06
1887,6.67149237949e-07
1886,2.02540670167e-06
1885,0.0
1884,0.0
1883,7.13056201664e-07
1882,0.0
1881,2.10229339186e-06
1880,0.0
1879,0.0
1878,1.12167102062e-05
1877,0.0
1876,0.0
1875,1.44906153506e-05
1874,5.40274054014e-06
1873,1.31905587257e-06
1872,0.0
1871,1.41872949936e-06
1870,1.30739975186e-06
1869,0.0
1868,1.46901120856e-06
1867,1.71402518246e-06
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,3.52167857287e-06
1856,0.0
1855,0.0
1854,3.34057123768e-05
1853,5.90419847554e-06
1852,0.0
1851,1.69348010161e-06
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,2.19657597737e-06
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,2.60631144379e-06
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,6.60140081725e-06
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
