date,freq
2017,0.0
2016,1.14069210923e-06
2015,2.88746286723e-07
2014,3.07084563719e-07
2013,0.0
2012,1.79280011474e-06
2011,2.94320988236e-07
2010,2.92867704922e-07
2009,0.0
2008,0.0
2007,0.0
2006,2.83504328969e-07
2005,0.0
2004,0.0
2003,5.88629502758e-07
2002,6.27270720006e-07
2001,0.0
2000,3.08314248681e-07
1999,2.94775777331e-07
1998,0.0
1997,0.0
1996,0.0
1995,0.0
1994,2.97896996156e-07
1993,2.76143239917e-07
1992,2.65527095181e-07
1991,5.05959827296e-07
1990,0.0
1989,1.29852051766e-06
1988,2.6899002316e-07
1987,2.78245384605e-07
1986,0.0
1985,5.64603961374e-07
1984,2.68692031374e-07
1983,5.73521433069e-07
1982,5.77050027929e-07
1981,8.94150734142e-07
1980,3.27507627653e-07
1979,3.37791619728e-07
1978,1.02788832336e-06
1977,0.0
1976,3.24268409934e-07
1975,0.0
1974,3.36183384002e-07
1973,0.0
1972,3.53801705466e-07
1971,3.54975982325e-07
1970,3.60334000792e-07
1969,7.23754228986e-07
1968,3.7851331326e-07
1967,0.0
1966,7.40492264448e-07
1965,3.9096740192e-07
1964,0.0
1963,7.58340129957e-07
1962,0.0
1961,4.11308854698e-07
1960,8.227446102e-07
1959,4.10272063714e-07
1958,0.0
1957,4.40270096899e-07
1956,0.0
1955,1.8657673668e-06
1954,0.0
1953,4.86665132049e-07
1952,0.0
1951,0.0
1950,0.0
1949,3.55493620667e-06
1948,0.0
1947,5.41670729197e-07
1946,5.90818212326e-07
1945,6.67961621597e-07
1944,6.48928003385e-07
1943,6.58170995457e-07
1942,0.0
1941,0.0
1940,0.0
1939,5.58972742253e-07
1938,5.50051374798e-07
1937,0.0
1936,0.0
1935,4.30918209138e-07
1934,8.48752694259e-07
1933,4.13425924203e-07
1932,1.70089722329e-06
1931,2.06371173414e-06
1930,8.67256429948e-07
1929,4.16343653382e-07
1928,8.12665555211e-07
1927,9.2328388071e-07
1926,0.0
1925,4.5831845708e-07
1924,0.0
1923,2.54768502053e-06
1922,2.32012774623e-06
1921,3.2369216228e-06
1920,2.64227087328e-06
1919,1.79845440828e-06
1918,0.0
1917,6.05503909436e-07
1916,5.71766076776e-07
1915,1.11175469355e-06
1914,0.0
1913,5.5676001305e-07
1912,1.05914700537e-06
1911,3.09232603218e-06
1910,1.50854742974e-06
1909,5.17983614106e-07
1908,4.95824660534e-07
1907,1.08018248603e-06
1906,3.69337138327e-06
1905,1.91162067838e-06
1904,0.0
1903,3.26303238821e-06
1902,6.84722338245e-07
1901,5.4834519701e-06
1900,6.24505079724e-07
1899,1.93362011068e-06
1898,0.0
1897,1.9424139025e-06
1896,1.25848216982e-06
1895,6.57135572326e-07
1894,2.52068855128e-06
1893,0.0
1892,1.92832542934e-06
1891,6.18100071638e-07
1890,1.31091064374e-06
1889,3.43173489985e-06
1888,7.08035781296e-06
1887,3.33574618974e-06
1886,2.02540670167e-06
1885,4.96561312908e-06
1884,2.08547239078e-06
1883,3.56528100832e-06
1882,6.88883148196e-07
1881,2.10229339186e-06
1880,4.91480881043e-06
1879,5.07345860717e-06
1878,1.12167102062e-06
1877,3.78963005631e-06
1876,0.0
1875,5.26931467293e-06
1874,2.70137027007e-06
1873,1.31905587257e-06
1872,1.36576012062e-06
1871,7.09364749679e-06
1870,9.15179826299e-06
1869,3.86700094742e-06
1868,1.46901120856e-06
1867,8.57012591229e-06
1866,7.42932391295e-06
1865,5.54942036304e-06
1864,0.0
1863,1.24492913686e-05
1862,8.68852003225e-06
1861,5.08446137758e-06
1860,7.25580146676e-06
1859,1.08431840649e-05
1858,1.09585638437e-05
1857,3.52167857287e-06
1856,8.54562079662e-06
1855,1.93043417219e-05
1854,4.45409498358e-06
1853,9.84033079256e-06
1852,7.79566015599e-06
1851,1.69348010161e-05
1850,1.54475144949e-05
1849,2.77318469063e-05
1848,7.08421000432e-06
1847,1.58337526346e-05
1846,1.65314873172e-05
1845,1.39990585633e-05
1844,1.82270359599e-05
1843,9.25665368267e-06
1842,1.59885978457e-05
1841,1.69439421776e-05
1840,1.97662313703e-05
1839,1.70118037616e-05
1838,1.36509825977e-05
1837,4.62295203225e-06
1836,6.60993870384e-06
1835,8.68370264397e-06
1834,2.07875141875e-06
1833,1.09828798868e-05
1832,1.3283946572e-05
1831,6.82592303544e-06
1830,4.54683926469e-06
1829,4.7842883969e-06
1828,2.60631144379e-06
1827,0.0
1826,1.93407386873e-05
1825,5.65610859729e-06
1824,0.0
1823,5.0655995137e-06
1822,5.15562246408e-06
1821,0.0
1820,1.98042024518e-05
1819,5.87651099789e-06
1818,5.86530904313e-06
1817,1.20342011998e-05
1816,0.0
1815,1.30346656934e-05
1814,6.51554935854e-06
1813,7.78410019694e-06
1812,6.49030348659e-06
