date,freq
2017,1.44653909735e-05
2016,2.53803994305e-05
2015,2.9163374959e-05
2014,2.57951033524e-05
2013,2.633622275e-05
2012,2.86848018358e-05
2011,2.76661728942e-05
2010,3.45583891808e-05
2009,2.62582668147e-05
2008,2.454896111e-05
2007,2.15616189383e-05
2006,2.15463290017e-05
2005,1.85801918264e-05
2004,2.37311799736e-05
2003,1.73645703314e-05
2002,1.97590276802e-05
2001,2.02816466473e-05
2000,2.09653689103e-05
1999,2.29925106318e-05
1998,2.57256213214e-05
1997,2.02977126733e-05
1996,2.71895222207e-05
1995,1.96278859509e-05
1994,1.66822317847e-05
1993,2.40244618728e-05
1992,2.36319114711e-05
1991,2.3021172142e-05
1990,2.48714952022e-05
1989,2.02569200755e-05
1988,2.63610222697e-05
1987,1.91989315377e-05
1986,1.96190210333e-05
1985,1.86319307254e-05
1984,2.04205943844e-05
1983,1.94997287244e-05
1982,1.81770758798e-05
1981,1.49025122357e-05
1980,1.24452898508e-05
1979,1.75651642258e-05
1978,1.85019898205e-05
1977,2.44093603544e-05
1976,1.91318361861e-05
1975,1.62557478768e-05
1974,1.68091692001e-05
1973,1.40529301902e-05
1972,1.5921076746e-05
1971,1.59739192046e-05
1970,2.81060520618e-05
1969,1.62844701522e-05
1968,1.62760724702e-05
1967,1.87293766152e-05
1966,1.25883684956e-05
1965,1.64206308806e-05
1964,8.97233594766e-06
1963,1.25126121443e-05
1962,1.48821793946e-05
1961,1.27505744956e-05
1960,9.0501907122e-06
1959,7.79516921056e-06
1958,9.07860384907e-06
1957,1.36483730039e-05
1956,9.7678926704e-06
1955,6.53018578379e-06
1954,8.79205471784e-06
1953,7.78664211279e-06
1952,9.04231270445e-06
1951,3.86450173599e-06
1950,7.28984420562e-06
1949,3.55493620667e-06
1948,1.31055945053e-05
1947,1.40834389591e-05
1946,8.27145497256e-06
1945,8.68350108076e-06
1944,7.13820803723e-06
1943,8.55622294094e-06
1942,7.79534762518e-06
1941,4.46387469904e-06
1940,1.02021268034e-05
1939,5.03075468028e-06
1938,8.80082199677e-06
1937,1.02572676588e-05
1936,7.71335790752e-06
1935,5.6019367188e-06
1934,5.09251616556e-06
1933,1.03356481051e-05
1932,4.67746736403e-06
1931,8.25484693656e-06
1930,7.37167965455e-06
1929,7.0778421075e-06
1928,7.3139899969e-06
1927,1.20026904492e-05
1926,6.63227987463e-06
1925,6.8747768562e-06
1924,5.5588754395e-06
1923,9.17166607391e-06
1922,1.16006387312e-05
1921,2.26584513596e-05
1920,1.05690834931e-05
1919,5.39536322484e-06
1918,7.42055002601e-06
1917,7.87155082267e-06
1916,1.0291789382e-05
1915,1.22293016291e-05
1914,8.05336697851e-06
1913,8.35140019576e-06
1912,9.53232304831e-06
1911,8.24620275248e-06
1910,6.53703886219e-06
1909,6.21580336928e-06
1908,7.437369908e-06
1907,1.02617336173e-05
1906,4.92449517769e-06
1905,1.27441378559e-05
1904,9.19301724676e-06
1903,1.56625554634e-05
1902,2.05416701473e-06
1901,6.85431496263e-06
1900,6.24505079724e-06
1899,2.57816014757e-06
1898,7.25193280491e-06
1897,7.12218430918e-06
1896,1.32140627832e-05
1895,9.19989801256e-06
1894,4.41120496475e-06
1893,3.82130312806e-06
1892,1.09271774329e-05
1891,6.18100071638e-06
1890,7.21000854058e-06
1889,9.60885771958e-06
1888,5.66428625037e-06
1887,2.00144771385e-06
1886,6.75135567222e-06
1885,7.8031063457e-06
1884,4.86610224515e-06
1883,4.27833720998e-06
1882,3.44441574098e-06
1881,6.30688017558e-06
1880,4.21269326608e-06
1879,6.08815032861e-06
1878,6.73002612372e-06
1877,5.05284007509e-06
1876,6.39024184509e-06
1875,3.9519860047e-06
1874,2.70137027007e-06
1873,3.95716761771e-06
1872,6.82880060312e-06
1871,1.41872949936e-06
1870,5.22959900742e-06
1869,7.73400189483e-06
1868,2.93802241711e-06
1867,1.37122014597e-05
1866,1.85733097824e-06
1865,3.69961357536e-06
1864,1.87676768056e-06
1863,0.0
1862,6.9508160258e-06
1861,8.47410229597e-06
1860,0.0
1859,5.42159203243e-06
1858,0.0
1857,1.76083928644e-06
1856,3.41824831865e-06
1855,1.75494015654e-06
1854,4.45409498358e-06
1853,5.90419847554e-06
1852,3.897830078e-06
1851,6.77392040644e-06
1850,1.71639049944e-06
1849,5.19972129494e-06
1848,0.0
1847,3.51861169657e-06
1846,4.13287182931e-06
1845,1.74988232041e-06
1844,2.02522621777e-06
1843,3.70266147307e-06
1842,2.28408540652e-06
1841,2.42056316823e-06
1840,0.0
1839,2.43025768022e-06
1838,0.0
1837,2.31147601612e-06
1836,0.0
1835,2.17092566099e-06
1834,0.0
1833,0.0
1832,2.21399109533e-06
1831,4.55061535696e-06
1830,0.0
1829,4.7842883969e-06
1828,0.0
1827,0.0
1826,0.0
1825,1.13122171946e-05
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
