date,freq
2017,4.51320198373e-05
2016,3.82131856593e-05
2015,4.10019727146e-05
2014,3.37793020091e-05
2013,3.60231092787e-05
2012,3.19716020462e-05
2011,3.91446914353e-05
2010,3.54369922955e-05
2009,4.0784116542e-05
2008,4.85462601726e-05
2007,4.54231438968e-05
2006,5.47163354911e-05
2005,5.03917323777e-05
2004,4.60497897107e-05
2003,5.09164519886e-05
2002,5.23771051205e-05
2001,4.97227466191e-05
2000,7.92367619111e-05
1999,8.75484058673e-05
1998,5.1768842906e-05
1997,6.05709521045e-05
1996,7.62556715156e-05
1995,8.06583438297e-05
1994,8.81775108621e-05
1993,8.09099692956e-05
1992,6.98336260327e-05
1991,5.08489626432e-05
1990,5.89454436291e-05
1989,5.32393412242e-05
1988,6.18677053268e-05
1987,5.48143407671e-05
1986,5.94176065579e-05
1985,5.73073020795e-05
1984,6.07243990904e-05
1983,6.42344005038e-05
1982,6.40525531001e-05
1981,5.4245144538e-05
1980,5.89513729775e-05
1979,5.94513250721e-05
1978,6.74979999006e-05
1977,5.41687174988e-05
1976,6.87449029059e-05
1975,6.36395236028e-05
1974,7.05985106404e-05
1973,6.27240542635e-05
1972,7.71287717915e-05
1971,6.42506528008e-05
1970,6.30584501386e-05
1969,5.86240925479e-05
1968,6.28332100011e-05
1967,7.11716311377e-05
1966,5.59071659658e-05
1965,6.05999472976e-05
1964,6.94380782037e-05
1963,6.25630607214e-05
1962,5.55065069313e-05
1961,6.04624016406e-05
1960,6.04717288497e-05
1959,5.94894492385e-05
1958,6.05240256605e-05
1957,7.35251061821e-05
1956,7.28151999066e-05
1955,6.62347415213e-05
1954,6.49635154152e-05
1953,6.52131276946e-05
1952,7.92532113508e-05
1951,7.94983214261e-05
1950,7.86261767891e-05
1949,8.68420130486e-05
1948,8.62784971596e-05
1947,7.58339020876e-05
1946,8.44870043626e-05
1945,8.88388956724e-05
1944,0.000106424192555
1943,9.74093073277e-05
1942,9.74418453147e-05
1941,0.000103227102415
1940,0.000102588052856
1939,0.000101174066348
1938,0.000100659401588
1937,0.000105649856885
1936,0.000106701451054
1935,9.99730245201e-05
1934,0.000103123452353
1933,0.000107077314369
1932,0.00010885742229
1931,0.000120520765274
1930,0.000130088464492
1929,0.000134479000042
1928,0.000128401157723
1927,0.000102022868818
1926,0.00012127597485
1925,0.00013337067101
1924,0.000135265969028
1923,0.000123307954994
1922,0.00012296677055
1921,0.00013918762978
1920,9.68832653536e-05
1919,0.000107907264497
1918,0.000123181130432
1917,0.000130788844438
1916,0.000125216770814
1915,0.000137857582
1914,0.000131001436184
1913,0.000127498042989
1912,0.000119683611607
1911,0.000122146878271
1910,0.000139289212679
1909,0.000128977919912
1908,0.000112552197941
1907,0.000111258796061
1906,0.000119419008059
1905,0.000124892550988
1904,0.000108346274694
1903,9.20175133474e-05
1902,0.000111609741134
1901,0.000102814724439
1900,0.000110537399111
1899,0.000112794506456
1898,0.000111416058548
1897,0.000117192305451
1896,0.000100678573586
1895,0.000115655860729
1894,0.000124774083289
1893,0.000136930028755
1892,9.19168454653e-05
1891,9.08607105308e-05
1890,9.96292089244e-05
1889,8.85387604162e-05
1888,0.000101957152507
1887,9.47351917887e-05
1886,8.70924881716e-05
1885,9.93122625816e-05
1884,9.94075172938e-05
1883,0.000100540924435
1882,7.78437957461e-05
1881,8.26902067465e-05
1880,9.68919451198e-05
1879,7.40724956647e-05
1878,0.000100950391856
1877,0.000104846431558
1876,9.45755793074e-05
1875,8.29917060987e-05
1874,9.31972743174e-05
1873,0.000120034084404
1872,0.00010926080965
1871,0.000129104384442
1870,0.0001058993799
1869,0.000103120025264
1868,6.31674819679e-05
1867,7.54171080282e-05
1866,6.68639152166e-05
1865,8.1391498658e-05
1864,6.00565657779e-05
1863,8.35880991888e-05
1862,7.81966802903e-05
1861,8.30462025005e-05
1860,9.79533198013e-05
1859,8.49382751747e-05
1858,8.03628015203e-05
1857,7.21944107439e-05
1856,5.98193455764e-05
1855,5.96679653224e-05
1854,0.000111352374589
1853,0.000112179771035
1852,9.54968369109e-05
1851,7.62066045724e-05
1850,7.55211819752e-05
1849,8.14623002874e-05
1848,8.8552625054e-05
1847,8.97245982625e-05
1846,0.000113653975306
1845,8.57442337003e-05
1844,9.11351797996e-05
1843,0.000114782505665
1842,5.48180497565e-05
1841,9.19814003926e-05
1840,8.78499172015e-05
1839,8.99195341682e-05
1838,7.91756990668e-05
1837,8.09016605644e-05
1836,7.27093257422e-05
1835,5.86149928468e-05
1834,8.73075595874e-05
1833,7.24870072531e-05
1832,8.85596438131e-05
1831,7.96357687468e-05
1830,5.45620711762e-05
1829,5.98036049613e-05
1828,3.90946716569e-05
1827,0.000118969385212
1826,9.67036934364e-05
1825,9.04977375566e-05
1824,0.000124343466497
1823,6.07871941644e-05
1822,8.76455818893e-05
1821,8.33694600994e-05
1820,5.94126073553e-05
1819,5.2888598981e-05
1818,7.62490175607e-05
1817,6.6188106599e-05
1816,3.33317778504e-05
1815,4.56213299269e-05
1814,7.1671042944e-05
1813,7.78410019694e-05
1812,9.08642488123e-05
