date,freq
2017,4.05030947257e-06
2016,1.22624401743e-05
2015,4.90868687429e-06
2014,3.07084563719e-06
2013,1.81629122413e-05
2012,3.58560022948e-06
2011,2.06024691765e-06
2010,2.05007393445e-06
2009,8.93898444756e-06
2008,7.99909968754e-06
2007,4.88730029269e-06
2006,2.55153896072e-06
2005,7.31946950737e-06
2004,3.95519666227e-06
2003,6.18060977896e-06
2002,1.75635801602e-05
2001,4.25260332927e-06
2000,4.62471373022e-06
1999,2.94775777331e-07
1998,1.27040105291e-06
1997,4.18841690084e-06
1996,6.25046487833e-07
1995,0.0
1994,1.78738197693e-06
1993,3.58986211892e-06
1992,0.0
1991,2.02383930918e-06
1990,1.74100466415e-06
1989,2.07763282826e-06
1988,2.42091020844e-06
1987,0.0
1986,2.80271729047e-06
1985,1.41150990344e-06
1984,8.06076094121e-07
1983,1.43380358267e-06
1982,0.0
1981,2.98050244714e-07
1980,0.0
1979,5.74245753537e-06
1978,3.4262944112e-07
1977,2.00624879625e-06
1976,3.8912209192e-06
1975,1.38346790441e-06
1974,1.00855015201e-06
1973,3.42754394883e-07
1972,1.41520682186e-06
1971,6.74454366418e-06
1970,5.40501001188e-06
1969,1.08563134348e-06
1968,3.02810650608e-06
1967,5.61881298455e-06
1966,1.11073839667e-06
1965,0.0
1964,1.67743672065e-05
1963,1.51668025991e-06
1962,4.02221064719e-07
1961,4.11308854698e-07
1960,4.113723051e-07
1959,2.05136031857e-06
1958,9.94323278708e-06
1957,5.72351125969e-06
1956,7.54791706349e-06
1955,4.66441841699e-07
1954,1.46534245297e-06
1953,8.27330724484e-06
1952,5.31900747321e-07
1951,1.21455768845e-05
1950,3.12421894526e-06
1949,1.26962007381e-05
1948,1.58359266939e-05
1947,2.16668291679e-06
1946,7.08981854791e-06
1945,2.73864264855e-05
1944,3.04996161591e-05
1943,1.44797619001e-05
1942,2.78405272328e-06
1941,2.73412325316e-05
1940,2.83392411205e-06
1939,1.28563730718e-05
1938,1.6501541244e-06
1937,3.07718029764e-06
1936,8.57039767502e-07
1935,1.29275462742e-06
1934,2.54625808278e-06
1933,8.26851848407e-07
1932,5.9531402815e-06
1931,7.84210458974e-06
1930,6.93805143958e-06
1929,2.91440557368e-06
1928,2.84432944324e-06
1927,4.15477746319e-06
1926,4.26360849083e-06
1925,1.83327382832e-06
1924,2.31619809979e-06
1923,3.05722202464e-06
1922,2.32012774623e-06
1921,1.05199952741e-05
1920,1.76151391552e-06
1919,7.19381763313e-06
1918,4.45233001561e-06
1917,7.26604691323e-06
1916,1.08635554587e-05
1915,7.78228285485e-06
1914,3.2213467914e-06
1913,1.78163204176e-05
1912,1.11210435564e-05
1911,7.21542740842e-06
1910,5.02849143246e-06
1909,1.55395084232e-05
1908,9.42066855014e-06
1907,7.02118615919e-06
1906,1.84668569163e-05
1905,2.4851068819e-05
1904,5.25315271243e-06
1903,7.57023514064e-05
1902,2.87583382063e-05
1901,7.26557386038e-05
1900,4.12173352618e-05
1899,3.22270018447e-06
1898,1.31853323726e-06
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,1.91065156403e-06
1892,1.28555028623e-06
1891,6.18100071638e-07
1890,1.31091064374e-06
1889,0.0
1888,1.41607156259e-06
1887,1.3342984759e-06
1886,0.0
1885,0.0
1884,6.95157463593e-07
1883,0.0
1882,2.75553259278e-06
1881,7.00764463954e-07
1880,7.02115544347e-07
1879,2.02938344287e-06
1878,2.24334204124e-06
1877,2.52642003754e-06
1876,5.11219347607e-06
1875,2.63465733647e-06
1874,0.0
1873,0.0
1872,0.0
1871,5.67491799743e-06
1870,0.0
1869,0.0
1868,1.46901120856e-06
1867,0.0
1866,1.85733097824e-06
1865,0.0
1864,0.0
1863,0.0
1862,1.73770400645e-06
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,2.06643591466e-06
1845,1.74988232041e-06
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,2.31147601612e-06
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,2.27341963234e-06
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
