date,freq
2017,0.0
2016,0.0
2015,0.0
2014,0.0
2013,0.0
2012,1.79280011474e-06
2011,0.0
2010,0.0
2009,0.0
2008,4.13746535562e-06
2007,5.74976505023e-07
2006,0.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,0.0
1997,1.61092957725e-06
1996,0.0
1995,0.0
1994,0.0
1993,2.76143239917e-07
1992,0.0
1991,2.52979913648e-07
1990,1.49228971213e-06
1989,0.0
1988,0.0
1987,0.0
1986,5.60543458093e-07
1985,0.0
1984,0.0
1983,0.0
1982,0.0
1981,0.0
1980,0.0
1979,0.0
1978,6.8525888224e-07
1977,0.0
1976,0.0
1975,6.91733952205e-07
1974,3.36183384002e-07
1973,3.42754394883e-07
1972,3.53801705466e-07
1971,0.0
1970,0.0
1969,7.23754228986e-07
1968,0.0
1967,3.74587532303e-07
1966,0.0
1965,0.0
1964,1.17030468883e-06
1963,0.0
1962,4.02221064719e-07
1961,0.0
1960,1.2341169153e-06
1959,0.0
1958,0.0
1957,4.40270096899e-07
1956,0.0
1955,4.66441841699e-07
1954,0.0
1953,0.0
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,5.41670729197e-07
1946,0.0
1945,0.0
1944,1.94678401015e-06
1943,0.0
1942,5.56810544655e-07
1941,0.0
1940,5.66784822409e-07
1939,5.58972742253e-07
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,4.2437634713e-07
1933,0.0
1932,0.0
1931,4.12742346828e-07
1930,0.0
1929,0.0
1928,4.06332777606e-07
1927,1.38492582106e-06
1926,4.73734276759e-07
1925,1.37495537124e-06
1924,4.63239619958e-07
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,1.4841100052e-06
1917,0.0
1916,5.71766076776e-07
1915,0.0
1914,0.0
1913,0.0
1912,2.11829401074e-06
1911,5.1538767203e-07
1910,5.02849143246e-07
1909,5.17983614106e-07
1908,4.95824660534e-07
1907,0.0
1906,6.15561897211e-07
1905,3.18603446397e-06
1904,6.56644089054e-07
1903,6.52606477641e-07
1902,1.36944467649e-06
1901,0.0
1900,6.24505079724e-07
1899,0.0
1898,0.0
1897,0.0
1896,6.29241084912e-07
1895,6.57135572326e-07
1894,6.30172137821e-07
1893,0.0
1892,6.42775143114e-07
1891,1.85430021491e-06
1890,0.0
1889,1.37269395994e-06
1888,7.08035781296e-07
1887,2.6685969518e-06
1886,1.35027113444e-06
1885,0.0
1884,0.0
1883,2.13916860499e-06
1882,1.37776629639e-06
1881,7.00764463954e-07
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,1.22918410856e-05
1871,0.0
1870,0.0
1869,0.0
1868,1.46901120856e-06
1867,1.71402518246e-06
1866,3.71466195648e-06
1865,3.69961357536e-06
1864,3.75353536112e-06
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,1.70912415932e-06
1855,0.0
1854,0.0
1853,0.0
1852,1.948915039e-06
1851,3.38696020322e-06
1850,3.43278099887e-06
1849,1.73324043165e-06
1848,1.77105250108e-06
1847,1.75930584828e-06
1846,0.0
1845,1.74988232041e-06
1844,0.0
1843,1.85133073653e-06
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,2.31147601612e-06
1836,2.20331290128e-06
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,5.87651099789e-06
1818,0.0
1817,6.0171005999e-06
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
