date,freq
2017,0.0
2016,0.0
2015,0.0
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,0.0
2009,2.79343263986e-07
2008,0.0
2007,5.74976505023e-07
2006,0.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,0.0
1997,0.0
1996,0.0
1995,0.0
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,0.0
1989,0.0
1988,0.0
1987,0.0
1986,0.0
1985,0.0
1984,0.0
1983,0.0
1982,0.0
1981,0.0
1980,0.0
1979,0.0
1978,3.4262944112e-07
1977,0.0
1976,0.0
1975,3.45866976102e-07
1974,0.0
1973,0.0
1972,0.0
1971,3.54975982325e-07
1970,3.60334000792e-07
1969,0.0
1968,0.0
1967,0.0
1966,0.0
1965,0.0
1964,0.0
1963,3.79170064978e-07
1962,0.0
1961,0.0
1960,0.0
1959,0.0
1958,0.0
1957,0.0
1956,4.43995121382e-07
1955,0.0
1954,0.0
1953,9.73330264099e-07
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,0.0
1946,0.0
1945,1.33592324319e-06
1944,1.29785600677e-06
1943,0.0
1942,0.0
1941,0.0
1940,1.13356964482e-06
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,4.30918209138e-07
1934,0.0
1933,0.0
1932,4.25224305821e-07
1931,0.0
1930,8.67256429948e-07
1929,4.16343653382e-07
1928,4.06332777606e-07
1927,1.84656776142e-06
1926,1.89493710704e-06
1925,0.0
1924,1.85295847983e-06
1923,5.09537004106e-07
1922,5.80031936558e-07
1921,2.4276912171e-06
1920,1.76151391552e-06
1919,0.0
1918,7.42055002601e-07
1917,2.42201563774e-06
1916,5.71766076776e-07
1915,1.11175469355e-06
1914,5.36891131901e-07
1913,0.0
1912,1.05914700537e-06
1911,3.09232603218e-06
1910,2.01139657298e-06
1909,4.66185252696e-06
1908,2.47912330267e-06
1907,1.62027372904e-06
1906,4.30893328048e-06
1905,2.54882757118e-06
1904,1.31328817811e-06
1903,1.30521295528e-06
1902,6.84722338245e-07
1901,4.79802047384e-06
1900,1.43636168337e-05
1899,1.93362011068e-06
1898,7.25193280491e-06
1897,3.88482780501e-06
1896,3.77544650947e-06
1895,3.28567786163e-06
1894,3.15086068911e-06
1893,8.27949011079e-06
1892,2.57110057246e-06
1891,4.32670050146e-06
1890,5.89909789684e-06
1889,7.54981677967e-06
1888,2.12410734389e-06
1887,6.67149237949e-06
1886,9.45189794111e-06
1885,1.20593461706e-05
1884,1.25128343447e-05
1883,5.70444961331e-06
1882,0.0
1881,4.90535124768e-06
1880,7.72327098781e-06
1879,9.13222549291e-06
1878,1.34600522474e-05
1877,6.31605009386e-06
1876,5.11219347607e-06
1875,5.26931467293e-06
1874,1.35068513503e-05
1873,9.23339110798e-06
1872,1.36576012062e-05
1871,1.27685654942e-05
1870,5.22959900742e-06
1869,3.86700094742e-06
1868,2.79112129626e-05
1867,8.57012591229e-06
1866,1.30013168477e-05
1865,7.39922715072e-06
1864,1.12606060834e-05
1863,2.13416423461e-05
1862,1.56393360581e-05
1861,1.69482045919e-06
1860,0.0
1859,0.0
1858,9.1321365364e-06
1857,0.0
1856,5.12737247797e-06
1855,5.26482046962e-06
1854,0.0
1853,0.0
1852,1.948915039e-06
1851,0.0
1850,0.0
1849,3.46648086329e-06
1848,1.77105250108e-06
1847,1.75930584828e-06
1846,2.06643591466e-06
1845,0.0
1844,0.0
1843,9.25665368267e-06
1842,9.13634162609e-06
1841,0.0
1840,2.19624793004e-06
1839,2.43025768022e-06
1838,2.73019651955e-06
1837,0.0
1836,2.20331290128e-06
1835,4.34185132199e-06
1834,2.07875141875e-06
1833,2.19657597737e-06
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,2.60631144379e-06
1827,0.0
1826,0.0
1825,0.0
1824,4.97373865988e-06
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
