date,freq
2017,1.73584691682e-06
2016,2.28138421847e-06
2015,1.44373143361e-06
2014,1.53542281859e-06
2013,1.21086081609e-06
2012,2.98800019123e-07
2011,1.76592592941e-06
2010,8.78603114765e-07
2009,2.79343263986e-07
2008,5.51662047416e-07
2007,8.62464757534e-07
2006,2.83504328969e-07
2005,2.81518057976e-06
2004,2.82514047305e-07
2003,8.82944254137e-07
2002,0.0
2001,3.2712333302e-07
2000,1.54157124341e-06
1999,5.89551554662e-07
1998,3.17600263227e-07
1997,9.66557746348e-07
1996,3.12523243916e-07
1995,1.8401143079e-06
1994,1.19158798462e-06
1993,1.6568594395e-06
1992,2.38974385663e-06
1991,2.02383930918e-06
1990,1.74100466415e-06
1989,1.29852051766e-06
1988,6.724750579e-06
1987,3.89543538447e-06
1986,3.08298901951e-06
1985,3.95222772962e-06
1984,8.06076094121e-07
1983,1.43380358267e-06
1982,2.01967509775e-06
1981,1.19220097886e-06
1980,1.96504576592e-06
1979,3.37791619728e-06
1978,6.8525888224e-07
1977,1.3374991975e-06
1976,1.9456104596e-06
1975,3.11280278492e-06
1974,2.68946707201e-06
1973,2.0565263693e-06
1972,3.18421534919e-06
1971,2.48483187628e-06
1970,0.0
1969,2.17126268696e-06
1968,1.8925665663e-06
1967,2.62211272612e-06
1966,4.44295358669e-06
1965,2.73677181344e-06
1964,3.90101562942e-06
1963,2.65419045485e-06
1962,3.61998958247e-06
1961,2.46785312819e-06
1960,3.7023507459e-06
1959,4.10272063714e-06
1958,3.89083022103e-06
1957,8.36513184108e-06
1956,5.32794145658e-06
1955,3.73153473359e-06
1954,4.39602735892e-06
1953,2.9199907923e-06
1952,3.19140448392e-06
1951,5.5207167657e-06
1950,2.08281263018e-06
1949,1.01569605905e-06
1948,3.27639862632e-06
1947,3.25002437518e-06
1946,4.13572748628e-06
1945,2.00388486479e-06
1944,6.48928003385e-07
1943,6.58170995457e-07
1942,3.34086326793e-06
1941,5.5798433738e-07
1940,0.0
1939,5.58972742253e-07
1938,0.0
1937,5.12863382939e-07
1936,4.28519883751e-07
1935,1.29275462742e-06
1934,0.0
1933,0.0
1932,4.25224305821e-07
1931,0.0
1930,4.33628214974e-07
1929,0.0
1928,8.12665555211e-07
1927,1.38492582106e-06
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,5.36891131901e-07
1913,5.5676001305e-07
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,1.08018248603e-06
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,6.44540036893e-07
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
