date,freq
2017,2.8930781947e-06
2016,1.42586513654e-06
2015,2.02122400706e-06
2014,6.14169127438e-07
2013,1.21086081609e-06
2012,8.9640005737e-07
2011,2.64888889412e-06
2010,2.92867704922e-07
2009,1.9554028479e-06
2008,1.65498614225e-06
2007,1.14995301005e-06
2006,5.67008657939e-07
2005,1.1260722319e-06
2004,1.13005618922e-06
2003,0.0
2002,0.0
2001,9.81369999061e-07
2000,1.84988549209e-06
1999,8.84327331993e-07
1998,6.35200526454e-07
1997,1.2887436618e-06
1996,1.25009297567e-06
1995,9.2005715395e-07
1994,1.48948498078e-06
1993,8.28429719751e-07
1992,1.06210838073e-06
1991,7.58939740944e-07
1990,1.24357476011e-06
1989,2.07763282826e-06
1988,2.42091020844e-06
1987,1.66947230763e-06
1986,1.12108691619e-06
1985,1.41150990344e-06
1984,1.07476812549e-06
1983,1.43380358267e-06
1982,3.46230016758e-06
1981,1.19220097886e-06
1980,3.93009153183e-06
1979,2.36454133809e-06
1978,3.08366497008e-06
1977,3.34374799375e-06
1976,2.9184156894e-06
1975,2.07520185661e-06
1974,2.01710030401e-06
1973,3.77029834371e-06
1972,5.30702558199e-06
1971,2.48483187628e-06
1970,4.3240080095e-06
1969,3.98064825943e-06
1968,3.02810650608e-06
1967,2.24752519382e-06
1966,2.59172292557e-06
1965,3.12773921536e-06
1964,3.51091406648e-06
1963,1.89585032489e-06
1962,1.20666319416e-06
1961,2.46785312819e-06
1960,1.6454892204e-06
1959,3.28217650971e-06
1958,2.16157234502e-06
1957,3.52216077519e-06
1956,1.33198536414e-06
1955,2.33220920849e-06
1954,0.0
1953,9.73330264099e-07
1952,1.59570224196e-06
1951,1.65621502971e-06
1950,2.08281263018e-06
1949,2.53924014762e-06
1948,1.63819931316e-06
1947,2.70835364599e-06
1946,5.90818212326e-06
1945,6.67961621597e-07
1944,3.89356802031e-06
1943,2.63268398183e-06
1942,3.89767381259e-06
1941,1.67395301214e-06
1940,2.83392411205e-06
1939,5.03075468028e-06
1938,6.60061649758e-06
1937,3.59004368057e-06
1936,1.714079535e-06
1935,1.72367283655e-06
1934,2.12188173565e-06
1933,3.30740739363e-06
1932,1.70089722329e-06
1931,5.36565050877e-06
1930,3.90265393476e-06
1929,4.99612384059e-06
1928,6.09499166408e-06
1927,7.38627104568e-06
1926,6.15854559787e-06
1925,7.79141377036e-06
1924,7.87507353929e-06
1923,3.56675902874e-06
1922,2.90015968279e-06
1921,7.2830736513e-06
1920,7.92681261984e-06
1919,6.29459042899e-06
1918,4.45233001561e-06
1917,7.26604691323e-06
1916,4.5741286142e-06
1915,5.55877346775e-06
1914,5.90580245091e-06
1913,8.35140019576e-06
1912,4.76616152415e-06
1911,7.21542740842e-06
1910,1.10626811514e-05
1909,6.73378698338e-06
1908,7.437369908e-06
1907,6.48109491618e-06
1906,7.38674276653e-06
1905,3.82324135677e-06
1904,9.84966133581e-06
1903,5.87345829877e-06
1902,8.21666805894e-06
1901,6.16888346636e-06
1900,6.24505079724e-06
1899,5.15632029515e-06
1898,4.6148663304e-06
1897,9.71206951252e-06
1896,8.18013410386e-06
1895,7.22849129558e-06
1894,1.00827542051e-05
1893,8.91637396546e-06
1892,4.4994260018e-06
1891,9.8896011462e-06
1890,6.55455321871e-06
1889,6.8634697997e-06
1888,4.95625046907e-06
1887,6.00434314154e-06
1886,9.45189794111e-06
1885,8.51247964985e-06
1884,6.25641717234e-06
1883,7.13056201664e-06
1882,6.88883148196e-06
1881,1.89206405268e-05
1880,9.82961762085e-06
1879,1.42056841001e-05
1878,1.23383812268e-05
1877,2.27377803379e-05
1876,1.02243869521e-05
1875,1.84426013553e-05
1874,9.45479594524e-06
1873,1.18715028531e-05
1872,1.0926080965e-05
1871,2.26996719897e-05
1870,1.56887970223e-05
1869,1.03120025264e-05
1868,7.34505604278e-06
1867,1.02841510947e-05
1866,1.30013168477e-05
1865,1.29486475138e-05
1864,1.31373737639e-05
1863,2.48985827371e-05
1862,1.39016320516e-05
1861,1.18637432144e-05
1860,1.26976525668e-05
1859,9.03598672071e-06
1858,5.47928192184e-06
1857,8.80419643219e-06
1856,1.02547449559e-05
1855,8.7747007827e-06
1854,4.45409498358e-06
1853,3.93613231702e-06
1852,9.74457519499e-06
1851,8.46740050804e-06
1850,1.02983429966e-05
1849,1.21326830215e-05
1848,1.77105250108e-06
1847,8.79652924142e-06
1846,2.06643591466e-06
1845,5.24964696124e-06
1844,4.05045243554e-06
1843,3.70266147307e-06
1842,9.13634162609e-06
1841,2.42056316823e-06
1840,6.58874379011e-06
1839,4.86051536044e-06
1838,8.19058955864e-06
1837,0.0
1836,6.60993870384e-06
1835,8.68370264397e-06
1834,2.07875141875e-06
1833,0.0
1832,0.0
1831,0.0
1830,2.27341963234e-06
1829,0.0
1828,5.21262288758e-06
1827,0.0
1826,0.0
1825,5.65610859729e-06
1824,9.94747731975e-06
1823,0.0
1822,0.0
1821,1.11159280133e-05
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
