date,freq
2017,2.25660099186e-05
2016,1.14069210923e-05
2015,1.12611051822e-05
2014,1.56613127497e-05
2013,1.84656274454e-05
2012,2.1812401396e-05
2011,1.58933333647e-05
2010,1.93292685248e-05
2009,1.9554028479e-05
2008,2.04114957544e-05
2007,2.4723989716e-05
2006,2.749991991e-05
2005,3.57527933629e-05
2004,3.36191716293e-05
2003,3.0314419392e-05
2002,3.19908067203e-05
2001,2.28986333114e-05
2000,2.83649108787e-05
1999,2.62350441825e-05
1998,3.58888297447e-05
1997,2.67414309823e-05
1996,3.43775568308e-05
1995,3.18953146703e-05
1994,3.36623605656e-05
1993,3.06518996308e-05
1992,3.23943056121e-05
1991,3.81999669608e-05
1990,3.83021026113e-05
1989,3.50600539769e-05
1988,3.01268825939e-05
1987,3.14417284603e-05
1986,2.94285315499e-05
1985,2.76655941073e-05
1984,3.49299640786e-05
1983,2.98231145196e-05
1982,3.2603326578e-05
1981,2.53342708007e-05
1980,3.53708237865e-05
1979,3.00634541558e-05
1978,2.09003959083e-05
1977,2.24031115581e-05
1976,1.91318361861e-05
1975,1.59098809007e-05
1974,2.01710030401e-05
1973,2.26217900622e-05
1972,1.55672750405e-05
1971,1.27791353637e-05
1970,1.62150300356e-05
1969,1.37513303507e-05
1968,1.47620192171e-05
1967,1.19868010337e-05
1966,7.40492264448e-06
1965,3.12773921536e-06
1964,5.46142188119e-06
1963,4.92921084472e-06
1962,5.22887384135e-06
1961,3.70177969228e-06
1960,3.7023507459e-06
1959,3.69244857342e-06
1958,3.89083022103e-06
1957,3.08189067829e-06
1956,3.10796584967e-06
1955,2.33220920849e-06
1954,9.76894968649e-07
1953,1.45999539615e-06
1952,0.0
1951,1.10414335314e-06
1950,0.0
1949,0.0
1948,1.09213287544e-06
1947,5.41670729197e-07
1946,0.0
1945,0.0
1944,0.0
1943,6.58170995457e-07
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,6.75135567222e-07
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
