date,freq
2017,5.78615638939e-07
2016,2.85173027308e-07
2015,0.0
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,0.0
2009,0.0
2008,0.0
2007,0.0
2006,0.0
2005,2.81518057976e-07
2004,0.0
2003,0.0
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,6.35200526454e-07
1997,0.0
1996,0.0
1995,0.0
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,0.0
1989,5.19408207065e-07
1988,0.0
1987,0.0
1986,0.0
1985,0.0
1984,0.0
1983,0.0
1982,0.0
1981,2.98050244714e-07
1980,0.0
1979,3.37791619728e-07
1978,0.0
1977,3.34374799375e-07
1976,6.48536819867e-07
1975,0.0
1974,3.36183384002e-07
1973,0.0
1972,0.0
1971,0.0
1970,3.60334000792e-07
1969,7.23754228986e-07
1968,3.7851331326e-07
1967,3.74587532303e-07
1966,3.70246132224e-07
1965,0.0
1964,3.90101562942e-07
1963,2.27502038987e-06
1962,4.02221064719e-07
1961,0.0
1960,2.0568615255e-06
1959,2.871904446e-06
1958,1.72925787601e-06
1957,8.80540193798e-07
1956,3.55196097105e-06
1955,1.35268134093e-05
1954,4.39602735892e-06
1953,3.89332105639e-06
1952,2.12760298928e-06
1951,3.31243005942e-06
1950,1.04140631509e-05
1949,1.01569605905e-06
1948,2.18426575088e-06
1947,6.50004875037e-06
1946,1.77245463698e-06
1945,2.00388486479e-06
1944,3.89356802031e-06
1943,1.97451298637e-06
1942,3.34086326793e-06
1941,1.11596867476e-06
1940,0.0
1939,1.11794548451e-06
1938,0.0
1937,1.02572676588e-06
1936,4.28519883751e-07
1935,8.61836418277e-07
1934,1.27312904139e-06
1933,8.26851848407e-07
1932,1.27567291746e-06
1931,1.23822704048e-06
1930,1.7345128599e-06
1929,1.24903096015e-06
1928,3.25066222084e-06
1927,2.76985164213e-06
1926,1.89493710704e-06
1925,2.74991074248e-06
1924,4.16915657962e-06
1923,1.01907400821e-06
1922,1.16006387312e-06
1921,1.6184608114e-06
1920,8.8075695776e-07
1919,8.99227204141e-07
1918,1.4841100052e-06
1917,9.08255864154e-06
1916,1.71529823033e-06
1915,4.4470187742e-06
1914,5.36891131901e-07
1913,3.89732009135e-06
1912,1.58872050805e-06
1911,2.57693836015e-06
1910,6.03418971895e-06
1909,3.62588529874e-06
1908,1.98329864213e-06
1907,4.86082118713e-06
1906,1.10801141498e-05
1905,8.28368960633e-06
1904,1.77293904045e-05
1903,1.37047360305e-05
1902,7.53194572069e-06
1901,6.16888346636e-06
1900,6.24505079724e-06
1899,1.74025809961e-05
1898,5.27413294902e-06
1897,7.12218430918e-06
1896,8.80937518877e-06
1895,1.05141691572e-05
1894,6.93189351603e-06
1893,8.27949011079e-06
1892,4.4994260018e-06
1891,1.11258012895e-05
1890,1.04872851499e-05
1889,1.16678986595e-05
1888,1.55767871885e-05
1887,1.2675835521e-05
1886,1.215244021e-05
1885,1.70249592997e-05
1884,1.5293464199e-05
1883,1.42611240333e-05
1882,1.58443124085e-05
1881,6.30688017558e-06
1880,1.33401953426e-05
1879,1.11616089358e-05
1878,2.01900783712e-05
1877,3.78963005631e-05
1876,2.04487739043e-05
1875,4.21545173835e-05
1874,4.18712391861e-05
1873,1.45096145983e-05
1872,1.77548815681e-05
1871,1.27685654942e-05
1870,1.43813972704e-05
1869,1.67570041055e-05
1868,3.37872577968e-05
1867,1.8854277007e-05
1866,1.67159788041e-05
1865,1.10988407261e-05
1864,2.25212121667e-05
1863,3.02339933236e-05
1862,2.25901520839e-05
1861,3.55912296431e-05
1860,3.62790073338e-05
1859,3.25295521946e-05
1858,7.12306649839e-05
1857,3.69776250152e-05
1856,5.64010972577e-05
1855,8.7747007827e-06
1854,2.22704749179e-05
1853,1.77125954266e-05
1852,4.2876130858e-05
1851,8.46740050804e-06
1850,1.37311239955e-05
1849,3.46648086329e-06
1848,2.3023682514e-05
1847,1.05558350897e-05
1846,1.85979232319e-05
1845,3.49976464083e-06
1844,4.05045243554e-06
1843,2.22159688384e-05
1842,2.74090248783e-05
1841,1.45233790094e-05
1840,1.97662313703e-05
1839,1.70118037616e-05
1838,4.09529477932e-05
1837,1.38688560967e-05
1836,4.40662580256e-06
1835,8.68370264397e-06
1834,3.74175255375e-05
1833,2.63589117284e-05
1832,3.76378486206e-05
1831,4.55061535696e-05
1830,6.82025889703e-05
1829,5.02350281675e-05
1828,5.21262288758e-05
1827,0.0
1826,1.28938257915e-05
1825,3.9592760181e-05
1824,3.9789909279e-05
1823,1.01311990274e-05
1822,4.12449797126e-05
1821,3.33477840398e-05
1820,0.0
1819,2.35060439916e-05
1818,2.34612361725e-05
1817,1.20342011998e-05
1816,1.99990667102e-05
1815,3.25866642335e-05
1814,5.21243948684e-05
1813,0.0
1812,1.94709104598e-05
