date,freq
2017,2.48804724744e-05
2016,3.25097251132e-05
2015,3.32058229731e-05
2014,3.86926550286e-05
2013,3.81421157068e-05
2012,3.6453602333e-05
2011,4.06162963765e-05
2010,3.69013308201e-05
2009,3.85493704301e-05
2008,4.35813017459e-05
2007,3.99608670991e-05
2006,3.31700064894e-05
2005,3.88494920007e-05
2004,4.32246492376e-05
2003,1.88361440883e-05
2002,2.47771934403e-05
2001,2.06087699803e-05
2000,1.57240266827e-05
1999,1.82760981945e-05
1998,1.81032150039e-05
1997,1.90089690115e-05
1996,2.87521384403e-05
1995,3.31220575422e-05
1994,2.20443777155e-05
1993,2.6509751032e-05
1992,2.23042759952e-05
1991,1.99854131782e-05
1990,1.98971961617e-05
1989,2.93465636992e-05
1988,2.12502118296e-05
1987,2.58768207682e-05
1986,1.98992927623e-05
1985,1.8914232706e-05
1984,1.93458262589e-05
1983,2.0360010874e-05
1982,2.04852759915e-05
1981,2.086351713e-05
1980,1.89954424039e-05
1979,2.26320385218e-05
1978,3.49482029942e-05
1977,2.74187335488e-05
1976,2.9508425304e-05
1975,4.21957710845e-05
1974,3.59716220882e-05
1973,2.74203515906e-05
1972,2.12281023279e-05
1971,1.98786550102e-05
1970,2.16200400475e-05
1969,1.99032412971e-05
1968,2.30893121088e-05
1967,2.35990145351e-05
1966,1.59205836856e-05
1965,2.73677181344e-05
1964,3.15982265983e-05
1963,3.10919453282e-05
1962,3.0166579854e-05
1961,3.24933995212e-05
1960,2.59164552213e-05
1959,2.95395885874e-05
1958,2.42096102642e-05
1957,3.0378636686e-05
1956,2.57517170401e-05
1955,2.472141761e-05
1954,2.68646116378e-05
1953,3.45532243755e-05
1952,4.68072657642e-05
1951,4.08533040662e-05
1950,3.48871115554e-05
1949,2.53924014762e-05
1948,2.83954547614e-05
1947,3.14169022934e-05
1946,3.54490927396e-05
1945,2.80543881071e-05
1944,4.02335362099e-05
1943,4.40974566956e-05
1942,5.40106228316e-05
1941,4.07328566287e-05
1940,6.40466849323e-05
1939,5.25434377718e-05
1938,3.08028769887e-05
1937,4.05162072522e-05
1936,3.72812298863e-05
1935,4.74010030052e-05
1934,3.98913766302e-05
1933,5.62259256917e-05
1932,4.97512437811e-05
1931,5.57202168218e-05
1930,4.63982190022e-05
1929,5.41246749397e-05
1928,5.40422594215e-05
1927,3.92395649302e-05
1926,4.87946305062e-05
1925,4.99567118217e-05
1924,5.14195978154e-05
1923,4.3310645349e-05
1922,4.52424910516e-05
1921,5.82645892104e-05
1920,4.22763339725e-05
1919,5.30544050443e-05
1918,5.34279601873e-05
1917,4.05687619322e-05
1916,5.43177772937e-05
1915,5.4475979984e-05
1914,4.50988550797e-05
1913,5.28922012398e-05
1912,4.28954537174e-05
1911,5.2054154875e-05
1910,3.97250823164e-05
1909,5.12803777965e-05
1908,4.21450961454e-05
1907,6.04902192176e-05
1906,6.89429324876e-05
1905,3.75952066749e-05
1904,5.25315271243e-05
1903,2.34938331951e-05
1902,4.03986179564e-05
1901,3.01589858356e-05
1900,2.62292133484e-05
1899,2.51370614388e-05
1898,4.74671965412e-05
1897,3.36685076434e-05
1896,4.78223224533e-05
1895,3.74567276226e-05
1894,4.47422217853e-05
1893,2.99335411698e-05
1892,2.50682305814e-05
1891,3.46136040117e-05
1890,2.35963915874e-05
1889,2.95129201387e-05
1888,3.75258964087e-05
1887,2.93545664697e-05
1886,3.98329984661e-05
1885,2.55374389496e-05
1884,3.61481881068e-05
1883,2.99483604699e-05
1882,2.27331438905e-05
1881,2.66290496302e-05
1880,3.01909684069e-05
1879,2.94260599216e-05
1878,3.14067885774e-05
1877,2.40009903567e-05
1876,3.32292575945e-05
1875,1.84426013553e-05
1874,2.70137027007e-05
1873,2.24239498337e-05
1872,2.45836821712e-05
1871,3.40495079846e-05
1870,3.52997933001e-05
1869,2.70690066319e-05
1868,3.08492353797e-05
1867,2.05683021895e-05
1866,3.34319576083e-05
1865,3.88459425413e-05
1864,3.19050505695e-05
1863,1.42277615641e-05
1862,2.08524480774e-05
1861,3.55912296431e-05
1860,3.62790073338e-05
1859,2.16863681297e-05
1858,2.92228369165e-05
1857,2.11300714372e-05
1856,1.36729932746e-05
1855,2.80790425047e-05
1854,6.45843772618e-05
1853,2.16487277436e-05
1852,3.5080470702e-05
1851,1.69348010161e-05
1850,3.08950289898e-05
1849,2.07988851798e-05
1848,4.07342075248e-05
1847,1.40744467863e-05
1846,2.47972309759e-05
1845,4.54969403308e-05
1844,2.22774883955e-05
1843,2.40672995749e-05
1842,3.65453665043e-05
1841,9.68225267291e-06
1840,1.75699834403e-05
1839,1.94420614418e-05
1838,1.91113756368e-05
1837,9.2459040645e-06
1836,1.54231903089e-05
1835,1.51964796269e-05
1834,1.87087627687e-05
1833,1.09828798868e-05
1832,6.64197328598e-06
1831,9.10123071392e-06
1830,9.09367852937e-06
1829,1.67450093892e-05
1828,1.04252457752e-05
1827,1.13304176392e-05
1826,1.28938257915e-05
1825,2.26244343891e-05
1824,1.98949546395e-05
1823,5.0655995137e-06
1822,5.15562246408e-06
1821,1.66738920199e-05
1820,1.32028016345e-05
1819,1.76295329937e-05
1818,1.17306180863e-05
1817,1.80513017997e-05
1816,0.0
1815,6.51733284671e-06
1814,1.30310987171e-05
1813,3.11364007878e-05
1812,0.0
