date,freq
2017,4.05030947257e-06
2016,2.56655724578e-06
2015,4.04244801412e-06
2014,5.22043758322e-06
2013,3.02715204022e-06
2012,2.98800019123e-06
2011,3.82617284706e-06
2010,4.1001478689e-06
2009,3.35211916784e-06
2008,3.03414126079e-06
2007,4.02483553516e-06
2006,8.50512986908e-07
2005,1.97062640583e-06
2004,3.95519666227e-06
2003,3.53177701655e-06
2002,4.07725968004e-06
2001,4.25260332927e-06
2000,9.24942746044e-07
1999,1.17910310932e-06
1998,2.22320184259e-06
1997,2.89967323904e-06
1996,1.56261621958e-06
1995,1.22674287193e-06
1994,2.08527897309e-06
1993,1.6568594395e-06
1992,7.96581285544e-07
1991,1.01191965459e-06
1990,1.49228971213e-06
1989,1.03881641413e-06
1988,1.88293016212e-06
1987,8.34736153814e-07
1986,0.0
1985,2.54071782618e-06
1984,2.68692031374e-07
1983,8.60282149604e-07
1982,1.15410005586e-06
1981,1.19220097886e-06
1980,1.31003051061e-06
1979,1.68895809864e-06
1978,3.08366497008e-06
1977,0.0
1976,0.0
1975,6.91733952205e-07
1974,0.0
1973,1.02826318465e-06
1972,0.0
1971,7.0995196465e-07
1970,3.60334000792e-07
1969,0.0
1968,1.13553993978e-06
1967,3.74587532303e-07
1966,0.0
1965,0.0
1964,0.0
1963,0.0
1962,8.04442129439e-07
1961,0.0
1960,1.2341169153e-06
1959,4.10272063714e-07
1958,0.0
1957,0.0
1956,0.0
1955,0.0
1954,0.0
1953,0.0
1952,5.31900747321e-07
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,5.41670729197e-07
1946,0.0
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,4.30918209138e-07
1934,8.48752694259e-07
1933,1.65370369681e-06
1932,0.0
1931,4.54016581511e-06
1930,1.30088464492e-06
1929,8.32687306765e-07
1928,2.03166388803e-06
1927,2.76985164213e-06
1926,5.21107704435e-06
1925,1.83327382832e-06
1924,4.63239619958e-06
1923,8.15259206569e-06
1922,3.71220439397e-05
1921,1.6184608114e-06
1920,3.52302783104e-06
1919,1.79845440828e-06
1918,2.2261650078e-06
1917,1.81651172831e-06
1916,5.71766076776e-07
1915,0.0
1914,5.36891131901e-07
1913,1.1135200261e-06
1912,1.05914700537e-06
1911,5.1538767203e-07
1910,0.0
1909,0.0
1908,9.91649321067e-07
1907,0.0
1906,0.0
1905,0.0
1904,3.93986453432e-06
1903,1.30521295528e-06
1902,3.42361169122e-06
1901,9.59604094768e-06
1900,2.06086676309e-05
1899,1.48244208485e-05
1898,1.18667991353e-05
1897,8.41712691085e-06
1896,1.06970984435e-05
1895,2.10283383144e-05
1894,1.32336148942e-05
1893,1.46483286575e-05
1892,6.42775143114e-06
1891,1.66887019342e-05
1890,1.63863830468e-05
1889,1.16678986595e-05
1888,1.62848229698e-05
1887,1.60115817108e-05
1886,8.10162680666e-06
1885,1.06405995623e-05
1884,9.03704702671e-06
1883,1.28350116299e-05
1882,1.58443124085e-05
1881,1.26137603512e-05
1880,1.12338487095e-05
1879,5.07345860717e-06
1878,7.85169714434e-06
1877,7.57926011263e-06
1876,2.93951124874e-05
1875,1.05386293459e-05
1874,4.0520554051e-06
1873,3.95716761771e-06
1872,2.73152024125e-06
1871,2.83745899872e-06
1870,6.53699875928e-06
1869,1.16010028422e-05
1868,8.81406725133e-06
1867,1.54262266421e-05
1866,7.42932391295e-06
1865,3.69961357536e-06
1864,1.87676768056e-06
1863,1.77847019551e-06
1862,5.21311201935e-06
1861,3.38964091839e-06
1860,1.81395036669e-06
1859,1.80719734414e-06
1858,1.82642730728e-06
1857,1.76083928644e-06
1856,3.41824831865e-06
1855,0.0
1854,0.0
1853,0.0
1852,5.84674511699e-06
1851,0.0
1850,1.71639049944e-06
1849,1.73324043165e-06
1848,0.0
1847,0.0
1846,6.19930774397e-06
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,4.84112633645e-06
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,2.27341963234e-06
1829,0.0
1828,0.0
1827,1.13304176392e-05
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,6.51554935854e-06
1813,0.0
1812,0.0
