date,freq
2017,5.78615638939e-07
2016,1.42586513654e-06
2015,4.61994058756e-06
2014,6.14169127438e-07
2013,2.42172163218e-06
2012,1.19520007649e-06
2011,2.94320988236e-07
2010,8.78603114765e-07
2009,2.79343263986e-07
2008,1.10332409483e-06
2007,1.14995301005e-06
2006,2.83504328969e-06
2005,2.25214446381e-06
2004,1.97759833113e-06
2003,3.23746226517e-06
2002,2.19544752002e-06
2001,2.94410999718e-06
2000,9.24942746044e-07
1999,8.84327331993e-07
1998,2.22320184259e-06
1997,2.89967323904e-06
1996,2.18766270741e-06
1995,9.2005715395e-07
1994,3.27686695771e-06
1993,2.48528915925e-06
1992,1.06210838073e-06
1991,2.02383930918e-06
1990,2.23843456819e-06
1989,1.5582246212e-06
1988,1.61394013896e-06
1987,1.39122692302e-06
1986,1.40135864523e-06
1985,4.23452971031e-06
1984,1.34346015687e-06
1983,1.14704286614e-06
1982,3.75082518154e-06
1981,5.66295464957e-06
1980,1.31003051061e-06
1979,2.02674971837e-06
1978,1.37051776448e-06
1977,1.00312439813e-06
1976,1.9456104596e-06
1975,1.38346790441e-06
1974,2.68946707201e-06
1973,1.71377197441e-06
1972,1.76900852733e-06
1971,1.4199039293e-06
1970,1.80167000396e-06
1969,4.34252537392e-06
1968,2.64959319282e-06
1967,2.62211272612e-06
1966,4.44295358669e-06
1965,4.69160882304e-06
1964,1.56040625177e-06
1963,7.96257136455e-06
1962,8.04442129439e-07
1961,1.64523541879e-06
1960,8.227446102e-07
1959,2.05136031857e-06
1958,1.72925787601e-06
1957,1.3208102907e-06
1956,1.33198536414e-06
1955,1.3993255251e-06
1954,2.44223742162e-06
1953,1.9466605282e-06
1952,4.25520597856e-06
1951,3.31243005942e-06
1950,4.6863284179e-06
1949,6.09417635429e-06
1948,3.82246506403e-06
1947,3.25002437518e-06
1946,1.77245463698e-06
1945,2.67184648639e-06
1944,3.24464001692e-06
1943,1.31634199091e-06
1942,1.11362108931e-06
1941,1.1717671085e-05
1940,1.19024812706e-05
1939,8.94356387605e-06
1938,1.1001027496e-05
1937,6.66722397821e-06
1936,1.28555965125e-05
1935,8.61836418277e-06
1934,5.09251616556e-06
1933,3.30740739363e-06
1932,6.80358889314e-06
1931,5.7783928556e-06
1930,7.80530786953e-06
1929,2.91440557368e-06
1928,6.90765721929e-06
1927,7.38627104568e-06
1926,2.84240566056e-06
1925,2.74991074248e-06
1924,4.16915657962e-06
1923,8.6621290698e-06
1922,9.86054292149e-06
1921,8.9015344627e-06
1920,7.04605566208e-06
1919,8.99227204141e-06
1918,8.16260502861e-06
1917,1.81651172831e-06
1916,5.71766076776e-06
1915,5.00289612098e-06
1914,6.97958471471e-06
1913,6.68112015661e-06
1912,3.1774410161e-06
1911,3.09232603218e-06
1910,7.03988800544e-06
1909,3.62588529874e-06
1908,7.93319456854e-06
1907,4.86082118713e-06
1906,6.15561897211e-07
1905,7.00927582074e-06
1904,6.56644089054e-07
1903,1.95781943292e-06
1902,1.36944467649e-06
1901,0.0
1900,2.4980203189e-06
1899,1.93362011068e-06
1898,1.31853323726e-06
1897,1.9424139025e-06
1896,6.29241084912e-07
1895,5.25708457861e-06
1894,2.52068855128e-06
1893,2.5475354187e-06
1892,4.4994260018e-06
1891,6.18100071638e-06
1890,0.0
1889,3.43173489985e-06
1888,1.41607156259e-06
1887,3.33574618974e-06
1886,3.37567783611e-06
1885,1.77343326039e-05
1884,1.25128343447e-05
1883,2.13916860499e-06
1882,6.88883148196e-07
1881,4.20458678372e-06
1880,5.61692435477e-06
1879,7.10284205004e-06
1878,6.73002612372e-06
1877,3.78963005631e-06
1876,1.27804836902e-06
1875,1.18559580141e-05
1874,1.35068513503e-05
1873,1.58286704708e-05
1872,6.82880060312e-06
1871,8.51237699615e-06
1870,3.92219925557e-06
1869,1.41790034739e-05
1868,5.87604483422e-06
1867,1.02841510947e-05
1866,3.71466195648e-06
1865,1.10988407261e-05
1864,1.87676768056e-06
1863,1.0670821173e-05
1862,1.56393360581e-05
1861,3.38964091839e-06
1860,9.06975183345e-06
1859,7.22878937657e-06
1858,1.46114184582e-05
1857,1.76083928644e-06
1856,5.12737247797e-06
1855,7.01976062616e-06
1854,0.0
1853,0.0
1852,1.948915039e-06
1851,1.69348010161e-06
1850,0.0
1849,0.0
1848,3.54210500216e-06
1847,0.0
1846,2.06643591466e-06
1845,5.24964696124e-06
1844,0.0
1843,3.70266147307e-06
1842,0.0
1841,0.0
1840,4.39249586007e-06
1839,4.86051536044e-06
1838,2.73019651955e-06
1837,4.62295203225e-06
1836,0.0
1835,2.17092566099e-06
1834,2.07875141875e-06
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,2.60631144379e-06
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,6.66635557007e-06
1815,0.0
1814,0.0
1813,0.0
1812,0.0
