date,freq
2017,0.0
2016,0.0
2015,0.0
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,0.0
2009,0.0
2008,0.0
2007,0.0
2006,0.0
2005,0.0
2004,0.0
2003,0.0
2002,9.4090608001e-07
2001,2.61698666416e-06
2000,6.16628497363e-07
1999,2.94775777331e-07
1998,6.35200526454e-07
1997,6.44371830899e-07
1996,3.12523243916e-07
1995,0.0
1994,1.22137768424e-05
1993,2.09868862337e-05
1992,2.12421676145e-05
1991,2.12503127464e-05
1990,2.93483643386e-05
1989,2.83077472851e-05
1988,2.98578925708e-05
1987,2.75462930759e-05
1986,2.9708803279e-05
1985,2.87948020301e-05
1984,1.85397501648e-05
1983,2.40879001889e-05
1982,2.4813151201e-05
1981,3.06991752056e-05
1980,2.78381483505e-05
1979,2.26320385218e-05
1978,2.80956141718e-05
1977,3.37718547369e-05
1976,2.52929359748e-05
1975,1.31429450919e-05
1974,1.34473353601e-05
1973,2.26217900622e-05
1972,3.18421534919e-05
1971,1.45540152753e-05
1970,8.64801601901e-06
1969,1.62844701522e-05
1968,7.94877957845e-06
1967,1.08630384368e-05
1966,1.07371378345e-05
1965,1.32928916653e-05
1964,1.20931484512e-05
1963,2.99544351333e-05
1962,4.3037653925e-05
1961,1.64523541879e-05
1960,1.31639137632e-05
1959,2.17444193768e-05
1958,1.34017485391e-05
1957,1.36483730039e-05
1956,1.77598048553e-05
1955,1.49261389344e-05
1954,2.44223742162e-06
1953,9.73330264099e-07
1952,9.57421345177e-06
1951,1.65621502971e-06
1950,0.0
1949,5.07848029524e-07
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,4.06332777606e-07
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
