date,freq
2017,4.10817103647e-05
2016,4.22056080417e-05
2015,3.55157932669e-05
2014,2.97872026807e-05
2013,2.99688051982e-05
2012,1.73304011091e-05
2011,1.53046913883e-05
2010,1.46433852461e-05
2009,4.1901489598e-06
2008,4.13746535562e-06
2007,1.14995301005e-06
2006,1.98453030279e-06
2005,2.81518057976e-06
2004,1.41257023652e-06
2003,2.35451801103e-06
2002,1.88181216002e-06
2001,1.30849333208e-06
2000,3.69977098418e-06
1999,2.65298199598e-06
1998,1.58800131614e-06
1997,9.66557746348e-07
1996,1.56261621958e-06
1995,9.2005715395e-07
1994,7.14952790774e-06
1993,6.627437758e-06
1992,9.55897542653e-06
1991,6.57747775484e-06
1990,1.29331775051e-05
1989,7.01201079538e-06
1988,1.12975809727e-05
1987,7.79087076893e-06
1986,8.4081518714e-06
1985,7.05754951718e-06
1984,4.0303804706e-06
1983,7.16901791337e-06
1982,7.79017537704e-06
1981,1.52005624804e-05
1980,1.83404271485e-05
1979,9.7959569721e-06
1978,1.26772893214e-05
1977,1.20374927775e-05
1976,8.43097865827e-06
1975,4.84213766543e-06
1974,4.03420060802e-06
1973,1.47384389799e-05
1972,1.0614051164e-05
1971,1.02943034874e-05
1970,7.56701401663e-06
1969,7.23754228986e-06
1968,3.7851331326e-06
1967,9.36468830759e-06
1966,9.99664557004e-06
1965,6.64644583264e-06
1964,1.01426406365e-05
1963,8.7209114945e-06
1962,1.08599687474e-05
1961,1.23392656409e-05
1960,1.06956799326e-05
1959,6.97462508313e-06
1958,6.48471703505e-06
1957,9.24567203488e-06
1956,1.10998780345e-05
1955,1.07281623591e-05
1954,7.32671226487e-06
1953,4.37998618844e-06
1952,4.78710672588e-06
1951,1.65621502971e-06
1950,4.16562526035e-06
1949,5.07848029524e-06
1948,8.19099656579e-06
1947,2.70835364599e-06
1946,4.13572748628e-06
1945,3.33980810799e-06
1944,6.48928003385e-07
1943,6.58170995457e-07
1942,0.0
1941,5.5798433738e-07
1940,2.26713928964e-06
1939,2.23589096901e-06
1938,0.0
1937,1.53859014882e-06
1936,4.28519883751e-07
1935,1.29275462742e-06
1934,8.48752694259e-07
1933,0.0
1932,2.12612152911e-06
1931,1.23822704048e-06
1930,0.0
1929,4.16343653382e-07
1928,1.21899833282e-06
1927,1.38492582106e-06
1926,4.73734276759e-07
1925,4.5831845708e-07
1924,4.63239619958e-07
1923,5.09537004106e-07
1922,5.80031936558e-07
1921,8.092304057e-07
1920,8.8075695776e-07
1919,6.29459042899e-06
1918,0.0
1917,1.21100781887e-06
1916,1.71529823033e-06
1915,6.11465081453e-06
1914,1.0737822638e-06
1913,4.4540801044e-06
1912,2.11829401074e-06
1911,1.54616301609e-06
1910,0.0
1909,1.03596722821e-06
1908,0.0
1907,5.40091243015e-07
1906,6.15561897211e-07
1905,6.37206892794e-07
1904,1.96993226716e-06
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,6.59266618628e-07
1897,1.29494260167e-06
1896,1.88772325474e-06
1895,6.57135572326e-07
1894,0.0
1893,6.36883854676e-07
1892,1.28555028623e-06
1891,6.18100071638e-07
1890,0.0
1889,0.0
1888,7.08035781296e-07
1887,0.0
1886,6.75135567222e-07
1885,0.0
1884,0.0
1883,0.0
1882,6.88883148196e-07
1881,0.0
1880,0.0
1879,1.01469172143e-06
1878,1.12167102062e-06
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,1.36576012062e-06
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,1.77847019551e-06
1862,1.73770400645e-06
1861,3.38964091839e-06
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,1.75494015654e-06
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
