date,freq
2017,0.0
2016,5.70346054617e-07
2015,2.88746286723e-07
2014,0.0
2013,3.02715204022e-07
2012,0.0
2011,8.82962964707e-07
2010,2.92867704922e-07
2009,0.0
2008,5.51662047416e-07
2007,2.87488252511e-07
2006,8.50512986908e-07
2005,1.1260722319e-06
2004,5.65028094609e-07
2003,0.0
2002,9.4090608001e-07
2001,0.0
2000,3.08314248681e-07
1999,2.94775777331e-07
1998,0.0
1997,3.22185915449e-07
1996,6.25046487833e-07
1995,9.2005715395e-07
1994,1.19158798462e-06
1993,8.28429719751e-07
1992,0.0
1991,7.58939740944e-07
1990,7.46144856065e-07
1989,1.5582246212e-06
1988,8.0697006948e-07
1987,0.0
1986,2.80271729047e-07
1985,8.46905942061e-07
1984,1.61215218824e-06
1983,0.0
1982,5.77050027929e-07
1981,2.98050244714e-06
1980,2.29255339357e-06
1979,1.35116647891e-06
1978,3.4262944112e-06
1977,1.3374991975e-06
1976,4.21548932914e-06
1975,6.91733952205e-07
1974,1.68091692001e-06
1973,0.0
1972,2.12281023279e-06
1971,3.54975982325e-06
1970,1.80167000396e-06
1969,1.08563134348e-06
1968,1.13553993978e-06
1967,3.74587532303e-07
1966,7.40492264448e-07
1965,3.9096740192e-07
1964,1.56040625177e-06
1963,7.58340129957e-07
1962,8.04442129439e-07
1961,4.11308854698e-07
1960,4.113723051e-07
1959,4.10272063714e-07
1958,0.0
1957,8.80540193798e-07
1956,8.87990242763e-07
1955,9.32883683398e-07
1954,0.0
1953,9.73330264099e-07
1952,5.31900747321e-07
1951,1.10414335314e-06
1950,0.0
1949,1.01569605905e-06
1948,5.46066437719e-07
1947,5.41670729197e-07
1946,5.90818212326e-07
1945,2.00388486479e-06
1944,2.59571201354e-06
1943,0.0
1942,1.11362108931e-06
1941,5.5798433738e-07
1940,1.13356964482e-06
1939,5.58972742253e-07
1938,1.1001027496e-06
1937,2.05145353176e-06
1936,2.14259941876e-06
1935,8.61836418277e-07
1934,8.48752694259e-07
1933,1.65370369681e-06
1932,8.50448611643e-07
1931,1.65096938731e-06
1930,1.30088464492e-06
1929,2.49806192029e-06
1928,2.43799666563e-06
1927,6.46298716497e-06
1926,2.84240566056e-06
1925,4.12486611372e-06
1924,9.26479239916e-07
1923,1.01907400821e-06
1922,2.32012774623e-06
1921,8.092304057e-07
1920,8.8075695776e-07
1919,1.79845440828e-06
1918,1.4841100052e-06
1917,1.21100781887e-06
1916,1.14353215355e-06
1915,3.89114142743e-06
1914,1.6106733957e-06
1913,4.4540801044e-06
1912,5.29573502684e-06
1911,1.03077534406e-06
1910,2.51424571623e-06
1909,5.17983614106e-06
1908,2.47912330267e-06
1907,5.94100367316e-06
1906,4.30893328048e-06
1905,6.37206892794e-07
1904,2.62657635622e-06
1903,3.26303238821e-06
1902,6.84722338245e-07
1901,7.53974645889e-06
1900,1.24901015945e-06
1899,6.44540036893e-06
1898,1.97779985588e-06
1897,2.58988520334e-06
1896,3.14620542456e-06
1895,3.94281343395e-06
1894,6.30172137821e-06
1893,5.09507083741e-06
1892,4.4994260018e-06
1891,3.70860042983e-06
1890,4.5881872531e-06
1889,2.74538791988e-06
1888,4.24821468778e-06
1887,3.33574618974e-06
1886,4.72594897055e-06
1885,4.25623982493e-06
1884,6.25641717234e-06
1883,4.99139341165e-06
1882,7.57771463016e-06
1881,4.90535124768e-06
1880,7.72327098781e-06
1879,3.0440751643e-06
1878,5.6083551031e-06
1877,3.78963005631e-06
1876,2.55609673804e-06
1875,2.63465733647e-06
1874,6.75342567517e-06
1873,1.31905587257e-05
1872,2.73152024125e-06
1871,1.13498359949e-05
1870,7.84439851113e-06
1869,1.03120025264e-05
1868,2.93802241711e-06
1867,1.19981762772e-05
1866,1.67159788041e-05
1865,7.39922715072e-06
1864,1.31373737639e-05
1863,8.89235097754e-06
1862,5.21311201935e-06
1861,1.01689227552e-05
1860,3.62790073338e-06
1859,1.2650381409e-05
1858,1.2784991151e-05
1857,1.58475535779e-05
1856,3.41824831865e-06
1855,5.26482046962e-06
1854,1.78163799343e-05
1853,7.87226463405e-06
1852,2.1438065429e-05
1851,1.69348010161e-05
1850,1.02983429966e-05
1849,1.90656447481e-05
1848,2.47947350151e-05
1847,1.40744467863e-05
1846,1.03321795733e-05
1845,8.74941160207e-06
1844,1.01261310888e-05
1843,1.66619766288e-05
1842,1.82726832522e-05
1841,7.26168950468e-06
1840,8.78499172015e-06
1839,1.45815460813e-05
1838,1.09207860782e-05
1837,2.31147601612e-05
1836,1.98298161115e-05
1835,1.3025553966e-05
1834,1.45512599312e-05
1833,1.31794558642e-05
1832,8.85596438131e-06
1831,9.10123071392e-06
1830,1.81873570587e-05
1829,1.43528651907e-05
1828,1.3031557219e-05
1827,1.13304176392e-05
1826,0.0
1825,5.65610859729e-06
1824,2.48686932994e-05
1823,5.0655995137e-06
1822,1.03112449282e-05
1821,5.55796400663e-06
1820,0.0
1819,5.87651099789e-06
1818,0.0
1817,1.80513017997e-05
1816,1.33327111401e-05
1815,0.0
1814,6.51554935854e-06
1813,0.0
1812,1.29806069732e-05
