date,freq
2017,1.73584691682e-06
2016,1.1977267147e-05
2015,8.95113488841e-06
2014,4.29918389206e-06
2013,3.02715204022e-06
2012,5.07960032509e-06
2011,7.06370371766e-06
2010,8.78603114765e-06
2009,6.98358159966e-06
2008,5.24078945046e-06
2007,1.46619008781e-05
2006,4.81957359248e-06
2005,8.44554173927e-06
2004,6.78033713531e-06
2003,1.03010162983e-05
2002,2.10135691202e-05
2001,7.19671332645e-06
2000,1.10993129525e-05
1999,7.07461865595e-06
1998,1.01632084233e-05
1997,8.05464788623e-06
1996,1.00007438053e-05
1995,1.34941715913e-05
1994,1.42990558155e-05
1993,1.49117349555e-05
1992,1.38074089494e-05
1991,1.84675336963e-05
1990,1.1440887793e-05
1989,2.28539611109e-05
1988,1.04906109032e-05
1987,1.36340238456e-05
1986,1.98992927623e-05
1985,2.39956683584e-05
1984,6.98599281571e-06
1983,1.77791644252e-05
1982,1.12524755446e-05
1981,1.78830146828e-05
1980,1.08077517125e-05
1979,1.38494564088e-05
1978,9.59362435136e-06
1977,3.37718547369e-05
1976,1.68619573165e-05
1975,2.31730873989e-05
1974,3.83249057762e-05
1973,3.42754394883e-05
1972,1.34444648077e-05
1971,1.81037750986e-05
1970,3.85557380847e-05
1969,2.27982582131e-05
1968,3.10380916873e-05
1967,1.61072638891e-05
1966,1.8142060479e-05
1965,4.30064142112e-05
1964,3.39388359759e-05
1963,4.62587479274e-05
1962,4.62554224427e-05
1961,4.89457537091e-05
1960,4.68964427814e-05
1959,2.78985003325e-05
1958,4.27991324313e-05
1957,1.54094533915e-05
1956,1.99797804622e-05
1955,4.99092770618e-05
1954,1.85610044043e-05
1953,3.55265546396e-05
1952,5.69133799633e-05
1951,3.03639422113e-05
1950,3.5407814713e-05
1949,3.45336660076e-05
1948,2.07505246333e-05
1947,1.62501218759e-05
1946,2.30419102807e-05
1945,6.67961621597e-06
1944,7.13820803723e-06
1943,2.10614718546e-05
1942,1.33634530717e-05
1941,1.22756554224e-05
1940,1.64367598499e-05
1939,1.50922640408e-05
1938,1.43013357448e-05
1937,2.5643169147e-05
1936,1.92833947688e-05
1935,3.05951928488e-05
1934,2.03700646622e-05
1933,3.18337961637e-05
1932,2.29621125144e-05
1931,1.48587244858e-05
1930,1.6477872169e-05
1929,2.95603993901e-05
1928,2.27546355459e-05
1927,3.13916519441e-05
1926,2.27392452844e-05
1925,1.23745983412e-05
1924,1.99193036582e-05
1923,1.68147211355e-05
1922,2.32012774623e-05
1921,3.47969074451e-05
1920,2.28996809018e-05
1919,3.86667697781e-05
1918,4.45233001561e-06
1917,2.3614652468e-05
1916,1.08635554587e-05
1915,1.55645657097e-05
1914,1.98649718803e-05
1913,1.89298404437e-05
1912,3.1774410161e-05
1911,1.13385287847e-05
1910,5.43077074705e-05
1909,1.76114428796e-05
1908,2.37995837056e-05
1907,5.83298542456e-05
1906,3.81648376271e-05
1905,4.77905169596e-05
1904,5.38448153024e-05
1903,3.13251109268e-05
1902,1.71180584561e-05
1901,2.81026913468e-05
1900,3.18497590659e-05
1899,1.67580409592e-05
1898,6.46081286256e-05
1897,3.75533354484e-05
1896,3.46082596702e-05
1895,5.91422015093e-05
1894,6.23870416443e-05
1893,9.55325782014e-06
1892,1.09271774329e-05
1891,2.34878027222e-05
1890,4.5881872531e-05
1889,1.30405926194e-05
1888,4.95625046907e-06
1887,1.13415370451e-05
1886,2.36297448528e-05
1885,3.75967851202e-05
1884,1.80740940534e-05
1883,1.85394612433e-05
1882,3.71996900026e-05
1881,9.1099380314e-06
1880,6.31903989912e-06
1879,9.13222549291e-06
1878,2.57984334743e-05
1877,4.16859306195e-05
1876,3.83414510706e-05
1875,4.87411607246e-05
1874,4.45726094561e-05
1873,2.50620615788e-05
1872,6.82880060312e-06
1871,1.27685654942e-05
1870,5.22959900742e-06
1869,1.03120025264e-05
1868,1.90971457112e-05
1867,4.97067302913e-05
1866,7.42932391295e-06
1865,1.84980678768e-05
1864,3.19050505695e-05
1863,2.48985827371e-05
1862,1.04262240387e-05
1861,1.01689227552e-05
1860,1.81395036669e-05
1859,1.2650381409e-05
1858,3.2875691531e-05
1857,3.52167857287e-05
1856,1.53821174339e-05
1855,1.22845810958e-05
1854,4.45409498358e-06
1853,5.90419847554e-06
1852,3.897830078e-06
1851,1.69348010161e-06
1850,6.86556199774e-06
1849,5.19972129494e-06
1848,0.0
1847,3.51861169657e-06
1846,4.13287182931e-06
1845,1.04992939225e-05
1844,8.10090487107e-06
1843,5.5539922096e-06
1842,1.82726832522e-05
1841,2.42056316823e-06
1840,1.53737355103e-05
1839,1.21512884011e-05
1838,1.63811791173e-05
1837,2.77377121935e-05
1836,2.20331290128e-06
1835,8.68370264397e-06
1834,2.28662656062e-05
1833,8.78630390947e-06
1832,2.21399109533e-06
1831,4.55061535696e-06
1830,2.27341963234e-06
1829,9.56857679381e-06
1828,0.0
1827,0.0
1826,0.0
1825,5.65610859729e-06
1824,4.97373865988e-06
1823,0.0
1822,2.57781123204e-05
1821,3.89057480464e-05
1820,0.0
1819,3.52590659873e-05
1818,5.86530904313e-06
1817,0.0
1816,2.66654222803e-05
1815,1.30346656934e-05
1814,0.0
1813,0.0
1812,0.0
