date,freq
2017,0.0
2016,5.70346054617e-07
2015,5.77492573446e-07
2014,0.0
2013,6.05430408045e-07
2012,0.0
2011,0.0
2010,5.85735409843e-07
2009,0.0
2008,0.0
2007,2.87488252511e-07
2006,0.0
2005,2.81518057976e-07
2004,0.0
2003,0.0
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,0.0
1997,0.0
1996,0.0
1995,6.13371435967e-07
1994,0.0
1993,0.0
1992,5.31054190363e-07
1991,0.0
1990,4.97429904043e-07
1989,0.0
1988,2.6899002316e-07
1987,0.0
1986,0.0
1985,2.82301980687e-07
1984,2.68692031374e-07
1983,2.86760716535e-07
1982,0.0
1981,5.96100489428e-07
1980,3.27507627653e-07
1979,0.0
1978,0.0
1977,6.6874959875e-07
1976,9.72805229801e-07
1975,6.91733952205e-07
1974,3.36183384002e-07
1973,0.0
1972,0.0
1971,3.54975982325e-07
1970,1.08100200238e-06
1969,7.23754228986e-07
1968,0.0
1967,3.74587532303e-07
1966,7.40492264448e-07
1965,0.0
1964,1.56040625177e-06
1963,1.89585032489e-06
1962,4.02221064719e-07
1961,1.23392656409e-06
1960,1.2341169153e-06
1959,1.23081619114e-06
1958,0.0
1957,8.80540193798e-07
1956,4.43995121382e-07
1955,9.32883683398e-07
1954,1.46534245297e-06
1953,1.45999539615e-06
1952,5.31900747321e-07
1951,1.10414335314e-06
1950,5.20703157544e-07
1949,1.01569605905e-06
1948,0.0
1947,1.08334145839e-06
1946,0.0
1945,0.0
1944,0.0
1943,6.58170995457e-07
1942,0.0
1941,2.7899216869e-06
1940,0.0
1939,5.58972742253e-07
1938,5.50051374798e-07
1937,2.05145353176e-06
1936,1.28555965125e-06
1935,8.61836418277e-07
1934,8.48752694259e-07
1933,2.48055554522e-06
1932,8.50448611643e-07
1931,2.06371173414e-06
1930,0.0
1929,3.74709288044e-06
1928,4.06332777606e-07
1927,2.76985164213e-06
1926,3.31613993732e-06
1925,1.83327382832e-06
1924,1.38971885987e-06
1923,3.56675902874e-06
1922,1.16006387312e-06
1921,1.6184608114e-06
1920,8.8075695776e-07
1919,1.79845440828e-06
1918,1.4841100052e-06
1917,1.21100781887e-06
1916,1.71529823033e-06
1915,3.33526408065e-06
1914,2.1475645276e-06
1913,2.78380006525e-06
1912,4.23658802147e-06
1911,2.06155068812e-06
1910,2.01139657298e-06
1909,2.07193445643e-06
1908,3.47077262374e-06
1907,5.40091243015e-07
1906,4.30893328048e-06
1905,1.27441378559e-06
1904,3.93986453432e-06
1903,1.30521295528e-06
1902,2.05416701473e-06
1901,2.74172598505e-06
1900,1.87351523917e-06
1899,6.44540036893e-07
1898,2.63706647451e-06
1897,5.17977040668e-06
1896,6.29241084912e-06
1895,2.6285422893e-06
1894,2.52068855128e-06
1893,6.36883854676e-07
1892,1.28555028623e-06
1891,1.23620014328e-06
1890,1.31091064374e-06
1889,4.80442885979e-06
1888,3.54017890648e-06
1887,1.13415370451e-05
1886,4.05081340333e-06
1885,4.25623982493e-06
1884,4.86610224515e-06
1883,6.41750581497e-06
1882,6.88883148196e-06
1881,4.20458678372e-06
1880,5.61692435477e-06
1879,6.08815032861e-06
1878,6.73002612372e-06
1877,3.78963005631e-06
1876,7.66829021411e-06
1875,6.58664334117e-06
1874,1.08054810803e-05
1873,3.95716761771e-06
1872,1.63891214475e-05
1871,2.26996719897e-05
1870,9.15179826299e-06
1869,7.73400189483e-06
1868,1.61591232941e-05
1867,1.37122014597e-05
1866,1.30013168477e-05
1865,9.24903393841e-06
1864,9.3838384028e-06
1863,2.13416423461e-05
1862,6.9508160258e-06
1861,1.01689227552e-05
1860,1.81395036669e-05
1859,1.2650381409e-05
1858,1.46114184582e-05
1857,1.05650357186e-05
1856,2.22186140712e-05
1855,2.45691621916e-05
1854,6.68114247536e-06
1853,7.87226463405e-06
1852,1.3642405273e-05
1851,6.77392040644e-06
1850,3.43278099887e-06
1849,8.66620215823e-06
1848,8.8552625054e-06
1847,8.79652924142e-06
1846,4.13287182931e-06
1845,5.24964696124e-06
1844,1.21513573066e-05
1843,9.25665368267e-06
1842,6.85225621956e-06
1841,4.84112633645e-06
1840,8.78499172015e-06
1839,4.86051536044e-06
1838,2.18415721564e-05
1837,9.2459040645e-06
1836,8.81325160511e-06
1835,2.17092566099e-06
1834,4.1575028375e-06
1833,2.19657597737e-06
1832,1.3283946572e-05
1831,2.27530767848e-06
1830,6.82025889703e-06
1829,1.43528651907e-05
1828,2.60631144379e-05
1827,1.69956264588e-05
1826,2.5787651583e-05
1825,5.65610859729e-06
1824,4.97373865988e-06
1823,2.02623980548e-05
1822,1.54668673922e-05
1821,0.0
1820,6.60140081725e-06
1819,1.17530219958e-05
1818,5.27877813882e-05
1817,1.20342011998e-05
1816,6.66635557007e-06
1815,0.0
1814,3.90932961513e-05
1813,1.55682003939e-05
1812,0.0
