date,freq
2017,0.0
2016,2.85173027308e-07
2015,0.0
2014,0.0
2013,3.02715204022e-07
2012,2.98800019123e-07
2011,2.94320988236e-07
2010,5.85735409843e-07
2009,1.11737305595e-06
2008,0.0
2007,2.87488252511e-07
2006,0.0
2005,0.0
2004,8.47542141914e-07
2003,5.88629502758e-07
2002,6.27270720006e-07
2001,3.2712333302e-07
2000,0.0
1999,2.94775777331e-07
1998,0.0
1997,3.22185915449e-07
1996,0.0
1995,1.22674287193e-06
1994,5.95793992311e-07
1993,8.28429719751e-07
1992,7.96581285544e-07
1991,1.77085939553e-06
1990,1.49228971213e-06
1989,7.79112310598e-07
1988,1.3449501158e-06
1987,2.78245384605e-07
1986,1.68163037428e-06
1985,8.46905942061e-07
1984,1.34346015687e-06
1983,1.43380358267e-06
1982,1.15410005586e-06
1981,1.19220097886e-06
1980,1.96504576592e-06
1979,1.01337485918e-06
1978,1.7131472056e-06
1977,1.67187399688e-06
1976,1.62134204967e-06
1975,1.03760092831e-06
1974,1.00855015201e-06
1973,6.85508789765e-07
1972,1.41520682186e-06
1971,2.48483187628e-06
1970,3.60334000792e-07
1969,1.44750845797e-06
1968,1.51405325304e-06
1967,1.49835012921e-06
1966,3.70246132224e-07
1965,1.17290220576e-06
1964,1.56040625177e-06
1963,0.0
1962,1.20666319416e-06
1961,4.11308854698e-07
1960,2.0568615255e-06
1959,4.10272063714e-07
1958,1.29694340701e-06
1957,2.2013504845e-06
1956,0.0
1955,0.0
1954,9.76894968649e-07
1953,0.0
1952,2.12760298928e-06
1951,4.41657341256e-06
1950,5.20703157544e-07
1949,1.52354408857e-06
1948,0.0
1947,0.0
1946,1.77245463698e-06
1945,6.67961621597e-07
1944,0.0
1943,6.58170995457e-07
1942,1.67043163397e-06
1941,5.5798433738e-07
1940,1.13356964482e-06
1939,5.58972742253e-07
1938,5.50051374798e-07
1937,0.0
1936,8.57039767502e-07
1935,4.30918209138e-07
1934,4.2437634713e-07
1933,4.13425924203e-07
1932,4.25224305821e-07
1931,8.25484693656e-07
1930,0.0
1929,4.16343653382e-07
1928,4.06332777606e-07
1927,4.61641940355e-07
1926,9.47468553519e-07
1925,0.0
1924,0.0
1923,5.09537004106e-07
1922,1.16006387312e-06
1921,0.0
1920,1.76151391552e-06
1919,0.0
1918,0.0
1917,6.05503909436e-07
1916,2.2870643071e-06
1915,1.11175469355e-06
1914,1.0737822638e-06
1913,5.5676001305e-07
1912,0.0
1911,1.03077534406e-06
1910,5.02849143246e-07
1909,0.0
1908,4.95824660534e-07
1907,0.0
1906,0.0
1905,0.0
1904,6.56644089054e-07
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,1.28908007379e-06
1898,6.59266618628e-07
1897,1.29494260167e-06
1896,1.25848216982e-06
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,1.23620014328e-06
1890,0.0
1889,0.0
1888,0.0
1887,6.67149237949e-07
1886,6.75135567222e-07
1885,7.09373304154e-07
1884,6.95157463593e-07
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,1.30739975186e-06
1869,1.28900031581e-06
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,1.77847019551e-06
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,2.28408540652e-06
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,2.31147601612e-06
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
