date,freq
2017,3.47169383364e-06
2016,1.42586513654e-06
2015,5.77492573446e-07
2014,9.51962147528e-06
2013,6.65973448849e-06
2012,4.78080030597e-06
2011,1.76592592941e-06
2010,2.34294163937e-06
2009,1.9554028479e-06
2008,1.65498614225e-06
2007,2.01241776758e-06
2006,3.11854761866e-06
2005,2.53366252178e-06
2004,2.82514047305e-06
2003,3.53177701655e-06
2002,2.50908288003e-06
2001,3.59835666322e-06
2000,2.15819974077e-06
1999,1.38544615346e-05
1998,1.01632084233e-05
1997,9.66557746348e-07
1996,4.06280217091e-06
1995,5.21365720572e-06
1994,8.0432188962e-06
1993,2.48528915925e-06
1992,4.77948771326e-06
1991,3.28873887742e-06
1990,3.4820093283e-06
1989,4.41496976005e-06
1988,1.88293016212e-06
1987,5.56490769209e-06
1986,7.28706495522e-06
1985,8.46905942061e-06
1984,6.98599281571e-06
1983,6.30873576376e-06
1982,4.9049252374e-06
1981,9.53760783085e-06
1980,1.34278127338e-05
1979,1.21604983102e-05
1978,1.23346598803e-05
1977,1.10343683794e-05
1976,1.36192732172e-05
1975,1.27970781158e-05
1974,1.27749685921e-05
1973,1.1653649426e-05
1972,1.66286801569e-05
1971,1.38440633107e-05
1970,1.58546960348e-05
1969,1.48369616942e-05
1968,1.13553993978e-05
1967,7.49175064607e-06
1966,1.25883684956e-05
1965,1.52477286749e-05
1964,1.67743672065e-05
1963,1.02375917544e-05
1962,9.65330555327e-06
1961,7.81486823926e-06
1960,9.8729353224e-06
1959,6.97462508313e-06
1958,6.48471703505e-06
1957,3.96243087209e-06
1956,1.37638487628e-05
1955,1.63254644595e-05
1954,7.81515974919e-06
1953,9.24663750894e-06
1952,6.91470971517e-06
1951,1.43538635908e-05
1950,1.04140631509e-05
1949,1.57432889153e-05
1948,1.09213287544e-05
1947,1.62501218759e-05
1946,4.72654569861e-06
1945,1.66990405399e-05
1944,9.73392005077e-06
1943,9.87256493186e-06
1942,8.90896871449e-06
1941,1.39496084345e-05
1940,7.93498751373e-06
1939,1.50922640408e-05
1938,1.87017467431e-05
1937,1.28215845735e-05
1936,2.61397129088e-05
1935,1.72367283655e-05
1934,1.78238065794e-05
1933,1.28162036503e-05
1932,1.44576263979e-05
1931,1.03185586707e-05
1930,9.10619251445e-06
1929,8.32687306765e-06
1928,1.17836505506e-05
1927,1.15410485089e-05
1926,7.10601415139e-06
1925,1.51245090836e-05
1924,1.25074697389e-05
1923,1.37574991109e-05
1922,8.12044711182e-06
1921,8.092304057e-06
1920,8.8075695776e-06
1919,1.07907264497e-05
1918,8.16260502861e-06
1917,1.33210860076e-05
1916,1.60094501497e-05
1915,2.55703579517e-05
1914,1.02009315061e-05
1913,1.0578440248e-05
1912,1.21801905617e-05
1911,1.08231411126e-05
1910,1.00569828649e-05
1909,1.03596722821e-05
1908,7.437369908e-06
1907,7.02118615919e-06
1906,1.23112379442e-05
1905,5.73486203515e-06
1904,1.1819593603e-05
1903,3.26303238821e-06
1902,1.71180584561e-05
1901,1.16523354365e-05
1900,1.43636168337e-05
1899,8.37902047962e-06
1898,7.25193280491e-06
1897,5.82724170751e-06
1896,1.00678573586e-05
1895,1.18284403019e-05
1894,1.13430984808e-05
1893,6.36883854676e-06
1892,8.99885200359e-06
1891,1.23620014328e-05
1890,7.21000854058e-06
1889,1.09815516795e-05
1888,1.55767871885e-05
1887,1.46772832349e-05
1886,8.10162680666e-06
1885,1.34780927789e-05
1884,6.25641717234e-06
1883,1.28350116299e-05
1882,1.23998966675e-05
1881,1.05114669593e-05
1880,9.82961762085e-06
1879,8.11753377148e-06
1878,4.48668408248e-06
1877,1.13688901689e-05
1876,7.66829021411e-06
1875,3.9519860047e-06
1874,5.40274054014e-06
1873,5.27622349027e-06
1872,2.73152024125e-06
1871,8.51237699615e-06
1870,9.15179826299e-06
1869,9.02300221064e-06
1868,1.3221100877e-05
1867,1.37122014597e-05
1866,7.42932391295e-06
1865,1.10988407261e-05
1864,1.12606060834e-05
1863,3.55694039101e-06
1862,3.4754080129e-06
1861,1.69482045919e-06
1860,1.26976525668e-05
1859,3.61439468829e-06
1858,1.09585638437e-05
1857,7.04335714575e-06
1856,8.54562079662e-06
1855,8.7747007827e-06
1854,8.90818996715e-06
1853,7.87226463405e-06
1852,9.74457519499e-06
1851,2.03217612193e-05
1850,1.02983429966e-05
1849,1.73324043165e-05
1848,1.77105250108e-05
1847,5.27791754485e-06
1846,6.19930774397e-06
1845,6.99952928166e-06
1844,8.10090487107e-06
1843,7.40532294613e-06
1842,4.56817081304e-06
1841,2.42056316823e-06
1840,2.19624793004e-06
1839,1.70118037616e-05
1838,2.73019651955e-06
1837,1.38688560967e-05
1836,6.60993870384e-06
1835,1.51964796269e-05
1834,2.07875141875e-06
1833,2.19657597737e-06
1832,6.64197328598e-06
1831,4.55061535696e-06
1830,4.54683926469e-06
1829,1.19607209923e-05
1828,2.60631144379e-06
1827,0.0
1826,6.44691289576e-06
1825,0.0
1824,9.94747731975e-06
1823,0.0
1822,0.0
1821,0.0
1820,6.60140081725e-06
1819,5.87651099789e-06
1818,1.75959271294e-05
1817,0.0
1816,6.66635557007e-06
1815,0.0
1814,6.51554935854e-06
1813,0.0
1812,0.0
