date,freq
2017,1.73584691682e-06
2016,0.0
2015,1.44373143361e-06
2014,0.0
2013,1.21086081609e-06
2012,5.97600038246e-07
2011,5.88641976471e-07
2010,8.78603114765e-07
2009,8.38029791959e-07
2008,0.0
2007,1.14995301005e-06
2006,2.26803463175e-06
2005,2.81518057976e-06
2004,1.97759833113e-06
2003,2.94314751379e-07
2002,6.27270720006e-07
2001,6.54246666041e-07
2000,0.0
1999,2.35820621865e-06
1998,3.17600263227e-07
1997,1.61092957725e-06
1996,0.0
1995,2.45348574387e-06
1994,8.93690988467e-07
1993,1.21503025563e-05
1992,2.920798047e-06
1991,5.05959827296e-07
1990,1.24357476011e-06
1989,3.11644924239e-06
1988,1.3449501158e-06
1987,8.34736153814e-07
1986,5.60543458093e-07
1985,2.54071782618e-06
1984,1.88084421961e-06
1983,2.86760716535e-07
1982,2.88525013965e-07
1981,1.49025122357e-06
1980,6.55015255305e-07
1979,2.02674971837e-06
1978,6.8525888224e-07
1977,1.00312439813e-06
1976,3.24268409934e-06
1975,1.38346790441e-06
1974,1.34473353601e-06
1973,2.39928076418e-06
1972,1.76900852733e-06
1971,1.06492794698e-06
1970,3.60334000792e-07
1969,3.61877114493e-06
1968,7.57026626519e-07
1967,7.49175064607e-07
1966,2.59172292557e-06
1965,0.0
1964,3.12081250354e-06
1963,3.79170064978e-07
1962,4.02221064719e-07
1961,4.93570625638e-06
1960,1.2341169153e-06
1959,6.1540809557e-06
1958,0.0
1957,0.0
1956,8.87990242763e-07
1955,2.33220920849e-06
1954,0.0
1953,0.0
1952,0.0
1951,0.0
1950,2.60351578772e-06
1949,0.0
1948,1.09213287544e-06
1947,0.0
1946,5.90818212326e-07
1945,2.00388486479e-06
1944,3.24464001692e-06
1943,0.0
1942,1.11362108931e-06
1941,5.5798433738e-07
1940,5.66784822409e-07
1939,0.0
1938,5.50051374798e-07
1937,1.02572676588e-06
1936,4.28519883751e-07
1935,8.61836418277e-07
1934,4.2437634713e-07
1933,1.65370369681e-06
1932,1.27567291746e-06
1931,8.25484693656e-07
1930,0.0
1929,2.91440557368e-06
1928,8.12665555211e-06
1927,7.38627104568e-06
1926,3.78987421407e-06
1925,4.12486611372e-06
1924,1.20442301189e-05
1923,2.03814801642e-06
1922,2.32012774623e-06
1921,8.092304057e-07
1920,0.0
1919,5.39536322484e-06
1918,3.710275013e-06
1917,0.0
1916,0.0
1915,1.11175469355e-06
1914,2.1475645276e-06
1913,1.1135200261e-06
1912,1.05914700537e-06
1911,1.03077534406e-06
1910,6.03418971895e-06
1909,3.62588529874e-06
1908,1.4874739816e-06
1907,3.24054745809e-06
1906,1.84668569163e-06
1905,3.18603446397e-06
1904,6.56644089054e-07
1903,6.52606477641e-06
1902,6.84722338245e-07
1901,6.85431496263e-07
1900,4.37153555807e-06
1899,3.22270018447e-06
1898,1.31853323726e-06
1897,6.47471300835e-06
1896,6.29241084912e-07
1895,2.6285422893e-06
1894,1.13430984808e-05
1893,1.27376770935e-06
1892,5.78497628802e-06
1891,0.0
1890,3.93273193123e-06
1889,4.11808187982e-06
1888,2.12410734389e-06
1887,6.67149237949e-06
1886,6.75135567222e-07
1885,4.96561312908e-06
1884,2.08547239078e-06
1883,7.13056201664e-07
1882,6.88883148196e-06
1881,6.30688017558e-06
1880,1.40423108869e-06
1879,6.08815032861e-06
1878,2.24334204124e-06
1877,6.31605009386e-06
1876,3.83414510706e-06
1875,3.9519860047e-06
1874,5.40274054014e-06
1873,6.59527936284e-06
1872,2.73152024125e-06
1871,5.67491799743e-06
1870,3.92219925557e-06
1869,7.73400189483e-06
1868,2.93802241711e-06
1867,1.71402518246e-06
1866,0.0
1865,0.0
1864,2.06444444862e-05
1863,0.0
1862,1.73770400645e-06
1861,5.08446137758e-06
1860,7.25580146676e-06
1859,1.80719734414e-06
1858,1.82642730728e-06
1857,1.76083928644e-06
1856,1.19638691153e-05
1855,3.50988031308e-06
1854,0.0
1853,1.18083969511e-05
1852,1.948915039e-06
1851,3.38696020322e-06
1850,5.14917149831e-06
1849,2.9465087338e-05
1848,1.59394725097e-05
1847,1.75930584828e-06
1846,4.13287182931e-06
1845,8.74941160207e-06
1844,2.02522621777e-06
1843,1.85133073653e-06
1842,2.28408540652e-06
1841,7.26168950468e-06
1840,6.58874379011e-06
1839,0.0
1838,2.73019651955e-06
1837,2.31147601612e-06
1836,2.20331290128e-06
1835,8.68370264397e-06
1834,8.31500567499e-06
1833,0.0
1832,8.85596438131e-06
1831,6.82592303544e-06
1830,9.09367852937e-06
1829,1.19607209923e-05
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,5.87651099789e-06
1818,5.86530904313e-06
1817,1.20342011998e-05
1816,1.33327111401e-05
1815,0.0
1814,0.0
1813,0.0
1812,3.2451517433e-05
