date,freq
2017,5.78615638939e-07
2016,0.0
2015,5.77492573446e-07
2014,0.0
2013,3.02715204022e-07
2012,0.0
2011,2.94320988236e-07
2010,0.0
2009,2.79343263986e-07
2008,0.0
2007,0.0
2006,0.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,0.0
1997,0.0
1996,2.75020454646e-05
1995,4.38560576716e-05
1994,3.57476395387e-05
1993,3.50701914694e-05
1992,3.50495765639e-05
1991,3.5923147738e-05
1990,3.05919390987e-05
1989,2.85674513886e-05
1988,2.34021320149e-05
1987,2.19813853838e-05
1986,2.15809231366e-05
1985,1.77850247833e-05
1984,6.98599281571e-06
1983,2.20805751732e-05
1982,1.32721506424e-05
1981,4.76880391543e-06
1980,5.89513729775e-06
1979,1.68895809864e-06
1978,4.45418273456e-06
1977,2.34062359563e-06
1976,6.16109978874e-06
1975,0.0
1974,4.03420060802e-06
1973,7.19784229253e-06
1972,3.53801705466e-07
1971,2.12985589395e-06
1970,1.80167000396e-06
1969,2.89501691595e-06
1968,2.64959319282e-06
1967,2.99670025843e-06
1966,3.70246132224e-07
1965,1.17290220576e-06
1964,7.80203125884e-07
1963,4.17087071476e-06
1962,3.61998958247e-06
1961,2.87916198289e-06
1960,1.2341169153e-06
1959,4.10272063714e-07
1958,2.59388681402e-06
1957,3.96243087209e-06
1956,1.77598048553e-06
1955,6.06374394209e-06
1954,9.76894968649e-07
1953,4.86665132049e-07
1952,1.59570224196e-06
1951,5.5207167657e-07
1950,5.20703157544e-07
1949,1.52354408857e-06
1948,1.63819931316e-06
1947,5.41670729197e-07
1946,5.90818212326e-07
1945,1.33592324319e-06
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,1.35027113444e-06
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,2.17092566099e-06
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
