date,freq
2017,1.15723127788e-06
2016,1.42586513654e-06
2015,3.7537017274e-06
2014,3.07084563719e-06
2013,2.42172163218e-06
2012,2.39040015299e-06
2011,7.65234569413e-06
2010,3.51441245906e-06
2009,4.1901489598e-06
2008,2.20664818967e-06
2007,2.29990602009e-06
2006,3.40205194763e-06
2005,1.68910834785e-06
2004,4.23771070957e-06
2003,4.12040651931e-06
2002,4.07725968004e-06
2001,9.81369999061e-07
2000,3.39145673549e-06
1999,2.06343044132e-06
1998,1.90560157936e-06
1997,5.15497464719e-06
1996,4.06280217091e-06
1995,2.14680002588e-06
1994,3.87266095002e-06
1993,6.90358099792e-06
1992,3.71737933254e-06
1991,2.78277905013e-06
1990,3.97943923235e-06
1989,5.19408207065e-06
1988,4.0348503474e-06
1987,3.89543538447e-06
1986,6.16597803903e-06
1985,7.05754951718e-06
1984,8.32945297258e-06
1983,2.86760716535e-06
1982,7.79017537704e-06
1981,1.19220097886e-05
1980,7.20516780836e-06
1979,5.06687429592e-06
1978,7.19521826352e-06
1977,4.68124719125e-06
1976,6.80963660861e-06
1975,1.27970781158e-05
1974,4.37038399202e-06
1973,6.16957910789e-06
1972,7.42983581478e-06
1971,7.45449562883e-06
1970,2.88267200634e-06
1969,8.32317363334e-06
1968,4.54215975911e-06
1967,2.24752519382e-06
1966,9.99664557004e-06
1965,6.64644583264e-06
1964,8.97233594766e-06
1963,4.55004077974e-06
1962,3.61998958247e-06
1961,3.70177969228e-06
1960,4.9364676612e-06
1959,4.51299270085e-06
1958,3.89083022103e-06
1957,7.92486174418e-06
1956,3.55196097105e-06
1955,6.06374394209e-06
1954,5.86136981189e-06
1953,3.40665592434e-06
1952,3.19140448392e-06
1951,1.10414335314e-06
1950,7.28984420562e-06
1949,4.57063226572e-06
1948,3.82246506403e-06
1947,1.02917438547e-05
1946,9.45309139721e-06
1945,6.01165459437e-06
1944,4.54249602369e-06
1943,1.97451298637e-06
1942,7.23853708052e-06
1941,9.48573373545e-06
1940,3.96749375687e-06
1939,7.26664564929e-06
1938,1.1001027496e-05
1937,1.48730381052e-05
1936,1.32841163963e-05
1935,1.37893826924e-05
1934,1.23069140668e-05
1933,1.15759258777e-05
1932,1.31819534805e-05
1931,2.22880867287e-05
1930,1.25752182342e-05
1929,2.04008390157e-05
1928,1.78786422146e-05
1927,1.33876162703e-05
1926,1.94231053471e-05
1925,1.55828275407e-05
1924,6.48535467942e-06
1923,1.12098140903e-05
1922,2.78415329548e-05
1921,1.78030689254e-05
1920,1.8495896113e-05
1919,2.69768161242e-05
1918,1.40990450494e-05
1917,9.68806255098e-06
1916,1.31506197658e-05
1915,2.05674618307e-05
1914,5.90580245091e-06
1913,7.79464018271e-06
1912,1.32393375671e-05
1911,3.91694630743e-05
1910,1.50854742974e-05
1909,1.60574920373e-05
1908,2.28079343845e-05
1907,1.62027372904e-05
1906,2.52380377857e-05
1905,1.78417929982e-05
1904,1.77293904045e-05
1903,2.41464396727e-05
1902,2.25958371621e-05
1901,2.33046708729e-05
1900,2.62292133484e-05
1899,2.38479813651e-05
1898,1.7800198703e-05
1897,1.81291964234e-05
1896,2.51696433965e-05
1895,1.18284403019e-05
1894,1.19732706186e-05
1893,1.08270255295e-05
1892,1.79977040072e-05
1891,2.0397302364e-05
1890,2.94954894842e-05
1889,2.05904093991e-05
1888,9.20446515685e-06
1887,3.40246111354e-05
1886,1.62032536133e-05
1885,9.22185295401e-06
1884,2.01595664442e-05
1883,2.28177984532e-05
1882,2.20442607423e-05
1881,3.0833636414e-05
1880,2.59782751408e-05
1879,3.14554433645e-05
1878,1.45817232681e-05
1877,1.6421730244e-05
1876,7.66829021411e-06
1875,1.31732866823e-05
1874,9.45479594524e-06
1873,1.45096145983e-05
1872,3.2778242895e-05
1871,1.27685654942e-05
1870,3.26849937964e-05
1869,1.93350047371e-05
1868,1.17520896684e-05
1867,1.37122014597e-05
1866,1.11439858694e-05
1865,9.24903393841e-06
1864,3.37818182501e-05
1863,8.89235097754e-06
1862,3.30163761226e-05
1861,2.03378455103e-05
1860,1.08837022001e-05
1859,1.2650381409e-05
1858,2.37435549946e-05
1857,1.40867142915e-05
1856,3.93098556645e-05
1855,1.40395212523e-05
1854,1.78163799343e-05
1853,3.14890585362e-05
1852,3.3131555663e-05
1851,4.23370025402e-05
1850,2.40294669921e-05
1849,1.55991638848e-05
1848,2.83368400173e-05
1847,3.87047286623e-05
1846,3.30629746345e-05
1845,2.62482348062e-05
1844,3.24036194843e-05
1843,1.66619766288e-05
1842,2.05567686587e-05
1841,3.14673211869e-05
1840,1.31774875802e-05
1839,1.45815460813e-05
1838,2.73019651955e-06
1837,1.61803321129e-05
1836,3.08463806179e-05
1835,1.95383309489e-05
1834,1.24725085125e-05
1833,1.09828798868e-05
1832,8.85596438131e-06
1831,2.27530767848e-05
1830,2.27341963234e-05
1829,1.19607209923e-05
1828,7.81893433138e-06
1827,1.13304176392e-05
1826,1.28938257915e-05
1825,5.65610859729e-06
1824,0.0
1823,1.01311990274e-05
1822,5.15562246408e-06
1821,0.0
1820,6.60140081725e-06
1819,5.87651099789e-06
1818,0.0
1817,0.0
1816,0.0
1815,6.51733284671e-06
1814,6.51554935854e-06
1813,0.0
1812,1.29806069732e-05
