date,freq
2017,0.0
2016,0.0
2015,0.0
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,0.0
2009,0.0
2008,0.0
2007,0.0
2006,0.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,0.0
2000,3.08314248681e-07
1999,0.0
1998,0.0
1997,0.0
1996,0.0
1995,0.0
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,0.0
1989,2.59704103533e-07
1988,0.0
1987,0.0
1986,0.0
1985,0.0
1984,0.0
1983,0.0
1982,0.0
1981,2.98050244714e-07
1980,3.27507627653e-07
1979,0.0
1978,0.0
1977,0.0
1976,0.0
1975,0.0
1974,0.0
1973,0.0
1972,0.0
1971,0.0
1970,0.0
1969,0.0
1968,0.0
1967,0.0
1966,0.0
1965,0.0
1964,0.0
1963,0.0
1962,4.02221064719e-07
1961,4.11308854698e-07
1960,4.113723051e-07
1959,8.20544127427e-07
1958,0.0
1957,0.0
1956,0.0
1955,9.32883683398e-07
1954,0.0
1953,0.0
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,5.46066437719e-07
1947,2.16668291679e-06
1946,3.54490927396e-06
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,5.5798433738e-07
1940,5.66784822409e-07
1939,0.0
1938,0.0
1937,2.5643169147e-06
1936,1.714079535e-06
1935,2.58550925483e-06
1934,4.2437634713e-07
1933,2.06712962102e-06
1932,5.9531402815e-06
1931,4.54016581511e-06
1930,1.7345128599e-06
1929,3.33074922706e-06
1928,3.25066222084e-06
1927,4.15477746319e-06
1926,2.84240566056e-06
1925,1.23745983412e-05
1924,1.85295847983e-06
1923,5.60490704516e-06
1922,1.74009580968e-06
1921,1.6184608114e-06
1920,1.32113543664e-05
1919,3.59690881656e-06
1918,4.45233001561e-06
1917,3.02751954718e-06
1916,9.72002330519e-06
1915,3.89114142743e-06
1914,4.29512905521e-06
1913,5.01084011745e-06
1912,4.23658802147e-06
1911,5.66926439233e-06
1910,2.51424571623e-06
1909,9.32370505391e-06
1908,2.33037590451e-05
1907,7.5612774022e-06
1906,3.69337138327e-06
1905,1.52929654271e-05
1904,2.62657635622e-06
1903,4.56824534349e-06
1902,6.1625010442e-06
1901,9.59604094768e-06
1900,5.62054571752e-06
1899,6.44540036893e-06
1898,6.59266618628e-06
1897,9.06459821168e-06
1896,1.51017860379e-05
1895,7.22849129558e-06
1894,6.30172137821e-06
1893,8.91637396546e-06
1892,4.4994260018e-06
1891,1.97792022924e-05
1890,1.11427404718e-05
1889,1.37269395994e-05
1888,1.13285725007e-05
1887,2.86874172318e-05
1886,1.28275757772e-05
1885,1.98624525163e-05
1884,1.94644089806e-05
1883,2.06786298482e-05
1882,1.10221303711e-05
1881,1.19129958872e-05
1880,2.24676974191e-05
1879,2.63819847573e-05
1878,2.91634465361e-05
1877,2.40009903567e-05
1876,3.83414510706e-05
1875,2.10772586917e-05
1874,3.7819183781e-05
1873,6.33146818833e-05
1872,3.2778242895e-05
1871,2.12809424904e-05
1870,0.000132047374937
1869,3.35140082109e-05
1868,2.49731905454e-05
1867,5.14207554737e-05
1866,2.60026336953e-05
1865,3.51463289659e-05
1864,9.19616163474e-05
1863,6.58033972338e-05
1862,6.77704562516e-05
1861,0.000145754559491
1860,5.62324613674e-05
1859,5.78303150126e-05
1858,4.38342553747e-05
1857,5.6346857166e-05
1856,4.78554764611e-05
1855,3.50988031308e-05
1854,5.12220923111e-05
1853,1.18083969511e-05
1852,0.000134475137691
1851,1.69348010161e-05
1850,8.23867439729e-05
1849,2.9465087338e-05
1848,6.37578900389e-05
1847,0.000179449196525
1846,4.95944619517e-05
1845,1.57489408837e-05
1844,8.10090487107e-06
1843,1.66619766288e-05
1842,1.14204270326e-05
1841,1.45233790094e-05
1840,1.31774875802e-05
1839,4.86051536044e-06
1838,5.18737338714e-05
1837,3.00491882096e-05
1836,8.81325160511e-06
1835,1.95383309489e-05
1834,3.94962769562e-05
1833,1.97691837963e-05
1832,4.64938130019e-05
1831,2.50283844633e-05
1830,2.95544552205e-05
1829,4.7842883969e-05
1828,2.60631144379e-05
1827,1.13304176392e-05
1826,3.22345644788e-05
1825,1.69683257919e-05
1824,2.98424319593e-05
1823,4.55903956233e-05
1822,8.24899594253e-05
1821,3.33477840398e-05
1820,4.62098057208e-05
1819,3.52590659873e-05
1818,4.10571633019e-05
1817,0.000162461716197
1816,5.99972001307e-05
1815,2.60693313868e-05
1814,8.47021416611e-05
1813,7.78410019694e-05
1812,5.19224278927e-05
