date,freq
2017,0.0
2016,0.0
2015,2.88746286723e-07
2014,0.0
2013,3.02715204022e-07
2012,0.0
2011,0.0
2010,0.0
2009,2.79343263986e-07
2008,8.27493071125e-07
2007,5.74976505023e-07
2006,0.0
2005,5.63036115952e-07
2004,2.82514047305e-07
2003,0.0
2002,9.4090608001e-07
2001,0.0
2000,0.0
1999,0.0
1998,3.17600263227e-07
1997,3.22185915449e-07
1996,3.12523243916e-07
1995,3.06685717983e-07
1994,5.95793992311e-07
1993,5.52286479834e-07
1992,5.31054190363e-07
1991,5.05959827296e-07
1990,2.48714952022e-07
1989,5.19408207065e-07
1988,2.6899002316e-07
1987,5.56490769209e-07
1986,5.60543458093e-07
1985,5.64603961374e-07
1984,1.61215218824e-06
1983,0.0
1982,5.77050027929e-07
1981,5.96100489428e-07
1980,0.0
1979,0.0
1978,6.8525888224e-07
1977,6.6874959875e-07
1976,3.24268409934e-07
1975,1.03760092831e-06
1974,1.00855015201e-06
1973,2.0565263693e-06
1972,1.76900852733e-06
1971,1.4199039293e-06
1970,7.20668001584e-07
1969,1.44750845797e-06
1968,7.57026626519e-07
1967,1.87293766152e-06
1966,3.70246132224e-07
1965,2.34580441152e-06
1964,3.12081250354e-06
1963,2.27502038987e-06
1962,2.41332638832e-06
1961,1.64523541879e-06
1960,8.227446102e-07
1959,4.10272063714e-07
1958,1.72925787601e-06
1957,3.08189067829e-06
1956,1.77598048553e-06
1955,1.3993255251e-06
1954,3.41913239027e-06
1953,4.86665132049e-06
1952,2.12760298928e-06
1951,0.0
1950,4.16562526035e-06
1949,3.55493620667e-06
1948,3.27639862632e-06
1947,1.62501218759e-06
1946,3.54490927396e-06
1945,1.33592324319e-06
1944,6.48928003385e-07
1943,3.29085497729e-06
1942,2.22724217862e-06
1941,3.34790602428e-06
1940,5.10106340168e-06
1939,2.23589096901e-06
1938,3.85035962359e-06
1937,3.07718029764e-06
1936,2.14259941876e-06
1935,4.30918209138e-06
1934,4.2437634713e-06
1933,6.20138886305e-06
1932,4.67746736403e-06
1931,7.42936224291e-06
1930,6.93805143958e-06
1929,7.49418576088e-06
1928,5.68865888648e-06
1927,6.00134522461e-06
1926,8.52721698167e-06
1925,5.04150302788e-06
1924,4.63239619958e-06
1923,4.07629603285e-06
1922,6.9603832387e-06
1921,3.2369216228e-06
1920,8.8075695776e-06
1919,8.99227204141e-06
1918,9.64671503381e-06
1917,5.44953518492e-06
1916,5.71766076776e-06
1915,5.00289612098e-06
1914,1.50329516932e-05
1913,4.4540801044e-06
1912,3.1774410161e-06
1911,5.66926439233e-06
1910,4.52564228921e-06
1909,4.14386891285e-06
1908,5.45407126587e-06
1907,6.48109491618e-06
1906,7.38674276653e-06
1905,1.27441378559e-05
1904,8.5363731577e-06
1903,9.78909716462e-06
1902,5.47777870596e-06
1901,8.22517795515e-06
1900,8.11856603642e-06
1899,9.02356051651e-06
1898,8.57046604217e-06
1897,5.82724170751e-06
1896,1.88772325474e-06
1895,4.59994900628e-06
1894,1.13430984808e-05
1893,7.64260625611e-06
1892,5.78497628802e-06
1891,8.03530093129e-06
1890,5.89909789684e-06
1889,6.8634697997e-06
1888,6.37232203167e-06
1887,6.00434314154e-06
1886,5.40108453778e-06
1885,7.09373304154e-06
1884,2.78062985437e-06
1883,9.98278682329e-06
1882,8.95548092655e-06
1881,8.40917356744e-06
1880,8.42538653216e-06
1879,2.02938344287e-06
1878,8.97336816496e-06
1877,0.0
1876,3.83414510706e-06
1875,6.58664334117e-06
1874,8.10411081021e-06
1873,2.63811174514e-06
1872,4.09728036187e-06
1871,2.83745899872e-06
1870,1.17665977667e-05
1869,6.44500157903e-06
1868,4.40703362567e-06
1867,1.54262266421e-05
1866,7.42932391295e-06
1865,1.29486475138e-05
1864,0.0
1863,8.89235097754e-06
1862,3.4754080129e-06
1861,8.47410229597e-06
1860,7.25580146676e-06
1859,1.08431840649e-05
1858,9.1321365364e-06
1857,3.52167857287e-06
1856,1.02547449559e-05
1855,1.57944614089e-05
1854,1.78163799343e-05
1853,1.57445292681e-05
1852,1.7540235351e-05
1851,1.86282811177e-05
1850,1.71639049944e-05
1849,1.90656447481e-05
1848,2.65657875162e-05
1847,2.81488935726e-05
1846,3.30629746345e-05
1845,1.57489408837e-05
1844,1.82270359599e-05
1843,2.59186303115e-05
1842,1.82726832522e-05
1841,3.38878843552e-05
1840,1.53737355103e-05
1839,1.70118037616e-05
1838,8.19058955864e-06
1837,1.61803321129e-05
1836,1.10165645064e-05
1835,1.0854628305e-05
1834,1.03937570937e-05
1833,1.31794558642e-05
1832,1.77119287626e-05
1831,1.36518460709e-05
1830,1.59139374264e-05
1829,0.0
1828,7.81893433138e-06
1827,1.13304176392e-05
1826,6.44691289576e-06
1825,5.65610859729e-06
1824,4.97373865988e-06
1823,5.0655995137e-06
1822,1.03112449282e-05
1821,5.55796400663e-06
1820,6.60140081725e-06
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,2.60693313868e-05
1814,6.51554935854e-06
1813,0.0
1812,0.0
