date,freq
2017,1.15723127788e-06
2016,8.55519081925e-07
2015,2.88746286723e-07
2014,2.76376107347e-06
2013,1.21086081609e-06
2012,1.49400009562e-06
2011,1.47160494118e-06
2010,8.78603114765e-07
2009,1.9554028479e-06
2008,1.37915511854e-06
2007,1.43744126256e-06
2006,1.13401731588e-06
2005,5.63036115952e-07
2004,1.41257023652e-06
2003,0.0
2002,9.4090608001e-07
2001,6.54246666041e-07
2000,3.08314248681e-07
1999,0.0
1998,9.52800789681e-07
1997,4.83278873174e-06
1996,6.25046487833e-07
1995,1.22674287193e-06
1994,8.93690988467e-07
1993,8.28429719751e-07
1992,1.59316257109e-06
1991,2.52979913648e-06
1990,2.98457942426e-06
1989,2.07763282826e-06
1988,3.49687030108e-06
1987,3.89543538447e-06
1986,2.52244556142e-06
1985,3.10532178756e-06
1984,3.22430437648e-06
1983,3.15436788188e-06
1982,3.46230016758e-06
1981,3.27855269186e-06
1980,4.25759915948e-06
1979,8.10699887346e-06
1978,1.02788832336e-06
1977,2.00624879625e-06
1976,0.0
1975,1.38346790441e-06
1974,3.36183384002e-07
1973,6.85508789765e-07
1972,7.07603410931e-07
1971,1.06492794698e-06
1970,1.80167000396e-06
1969,2.53313980145e-06
1968,1.51405325304e-06
1967,1.49835012921e-06
1966,3.70246132224e-07
1965,5.47354362688e-06
1964,2.34060937765e-06
1963,3.03336051983e-06
1962,1.60888425888e-06
1961,1.64523541879e-06
1960,4.5250953561e-06
1959,1.64108825485e-06
1958,2.16157234502e-06
1957,1.7610803876e-06
1956,3.55196097105e-06
1955,1.8657673668e-06
1954,2.93068490595e-06
1953,4.86665132049e-06
1952,1.59570224196e-06
1951,1.65621502971e-06
1950,2.08281263018e-06
1949,2.53924014762e-06
1948,3.27639862632e-06
1947,1.62501218759e-06
1946,2.3632728493e-06
1945,6.67961621597e-07
1944,2.59571201354e-06
1943,0.0
1942,1.67043163397e-06
1941,3.90589036166e-06
1940,1.70035446723e-06
1939,2.23589096901e-06
1938,2.75025687399e-06
1937,2.5643169147e-06
1936,2.57111930251e-06
1935,2.58550925483e-06
1934,1.69750538852e-06
1933,2.89398146942e-06
1932,8.50448611643e-07
1931,1.23822704048e-06
1930,4.33628214974e-07
1929,3.33074922706e-06
1928,8.12665555211e-07
1927,1.38492582106e-06
1926,0.0
1925,2.74991074248e-06
1924,3.70591695967e-06
1923,2.54768502053e-06
1922,3.48019161935e-06
1921,2.4276912171e-06
1920,2.64227087328e-06
1919,1.79845440828e-06
1918,7.42055002601e-07
1917,6.05503909436e-07
1916,5.71766076776e-07
1915,2.77938673388e-06
1914,2.1475645276e-06
1913,5.5676001305e-07
1912,1.58872050805e-06
1911,2.57693836015e-06
1910,2.01139657298e-06
1909,3.62588529874e-06
1908,2.47912330267e-06
1907,5.94100367316e-06
1906,3.07780948606e-06
1905,6.37206892794e-07
1904,4.59650862338e-06
1903,0.0
1902,6.84722338245e-07
1901,6.85431496263e-07
1900,1.24901015945e-06
1899,6.44540036893e-07
1898,1.97779985588e-06
1897,6.47471300835e-07
1896,3.77544650947e-06
1895,1.97140671698e-06
1894,1.89051641346e-06
1893,1.27376770935e-06
1892,1.28555028623e-06
1891,4.32670050146e-06
1890,3.27727660936e-06
1889,2.05904093991e-06
1888,2.12410734389e-06
1887,4.00289542769e-06
1886,2.70054226889e-06
1885,4.25623982493e-06
1884,2.78062985437e-06
1883,1.42611240333e-06
1882,1.37776629639e-06
1881,1.40152892791e-05
1880,6.31903989912e-06
1879,9.13222549291e-06
1878,2.24334204124e-06
1877,7.57926011263e-06
1876,6.39024184509e-06
1875,1.05386293459e-05
1874,1.35068513503e-06
1873,6.59527936284e-06
1872,6.82880060312e-06
1871,9.93110649551e-06
1870,6.53699875928e-06
1869,7.73400189483e-06
1868,5.87604483422e-06
1867,6.85610072983e-06
1866,9.28665489119e-06
1865,9.24903393841e-06
1864,1.31373737639e-05
1863,7.11388078203e-06
1862,1.21639280452e-05
1861,3.72860501023e-05
1860,1.45116029335e-05
1859,3.61439468829e-06
1858,1.46114184582e-05
1857,1.40867142915e-05
1856,3.41824831865e-06
1855,3.15889228177e-05
1854,6.68114247536e-06
1853,1.37764631096e-05
1852,2.9233725585e-05
1851,1.18543607113e-05
1850,2.7462247991e-05
1849,1.55991638848e-05
1848,4.07342075248e-05
1847,2.4630281876e-05
1846,1.44650514026e-05
1845,2.0998587845e-05
1844,5.06306554442e-05
1843,4.07292762037e-05
1842,3.19771956913e-05
1841,7.5037458215e-05
1840,4.83174544608e-05
1839,6.31866996858e-05
1838,4.64133408323e-05
1837,4.39180443064e-05
1836,3.08463806179e-05
1835,4.99312902028e-05
1834,3.94962769562e-05
1833,7.46835832305e-05
1832,4.64938130019e-05
1831,6.1433307319e-05
1830,8.18431067643e-05
1829,6.93721817551e-05
1828,7.81893433138e-05
1827,0.000203947517505
1826,0.000122491345019
1825,9.61538461538e-05
1824,0.000104448511857
1823,0.000192492781521
1822,0.000247469878276
1821,0.000216760596258
1820,0.000125426615528
1819,8.22711539705e-05
1818,9.97102537333e-05
1817,4.81368047992e-05
1816,7.33299112708e-05
1815,7.16906613138e-05
1814,7.1671042944e-05
1813,0.000140113803545
1812,4.54321244061e-05
