date,freq
2017,5.78615638939e-07
2016,1.14069210923e-06
2015,2.02122400706e-06
2014,1.53542281859e-06
2013,2.11900642816e-06
2012,8.36640053545e-06
2011,8.82962964707e-07
2010,2.05007393445e-06
2009,5.86620854371e-06
2008,2.20664818967e-06
2007,2.87488252511e-07
2006,2.83504328969e-07
2005,2.25214446381e-06
2004,5.65028094609e-07
2003,2.35451801103e-06
2002,1.56817680002e-06
2001,1.30849333208e-06
2000,1.54157124341e-06
1999,6.19029132395e-06
1998,2.22320184259e-06
1997,6.44371830899e-07
1996,1.56261621958e-06
1995,1.53342858992e-06
1994,2.6810729654e-06
1993,2.48528915925e-06
1992,2.65527095181e-07
1991,7.58939740944e-07
1990,2.23843456819e-06
1989,1.81792872473e-06
1988,1.3449501158e-06
1987,1.11298153842e-06
1986,1.96190210333e-06
1985,3.38762376825e-06
1984,1.34346015687e-06
1983,1.43380358267e-06
1982,4.0393501955e-06
1981,2.086351713e-06
1980,1.31003051061e-06
1979,3.04012457755e-06
1978,2.74103552896e-06
1977,1.67187399688e-06
1976,1.9456104596e-06
1975,2.76693580882e-06
1974,1.00855015201e-06
1973,3.42754394883e-07
1972,2.47661193826e-06
1971,1.06492794698e-06
1970,7.20668001584e-07
1969,3.61877114493e-07
1968,0.0
1967,0.0
1966,1.85123066112e-06
1965,3.9096740192e-07
1964,2.34060937765e-06
1963,7.58340129957e-07
1962,0.0
1961,1.64523541879e-06
1960,1.2341169153e-06
1959,4.10272063714e-07
1958,3.89083022103e-06
1957,0.0
1956,0.0
1955,3.26509289189e-06
1954,2.44223742162e-06
1953,9.73330264099e-07
1952,5.31900747321e-07
1951,2.76035838285e-06
1950,3.64492210281e-06
1949,3.04708817715e-06
1948,5.46066437719e-06
1947,5.41670729197e-07
1946,2.95409106163e-06
1945,2.67184648639e-06
1944,9.73392005077e-06
1943,1.31634199091e-06
1942,3.89767381259e-06
1941,5.5798433738e-07
1940,2.26713928964e-06
1939,7.82561839154e-06
1938,5.50051374798e-06
1937,6.66722397821e-06
1936,1.1998556745e-05
1935,1.5513055529e-05
1934,1.23069140668e-05
1933,1.44699073471e-05
1932,3.82701875239e-06
1931,7.84210458974e-06
1930,4.76991036471e-06
1929,3.74709288044e-06
1928,3.25066222084e-06
1927,1.84656776142e-06
1926,3.31613993732e-06
1925,9.1663691416e-07
1924,4.63239619958e-07
1923,3.56675902874e-06
1922,2.32012774623e-06
1921,3.2369216228e-06
1920,0.0
1919,0.0
1918,3.710275013e-06
1917,1.33210860076e-05
1916,5.14589469098e-06
1915,1.11175469355e-06
1914,3.2213467914e-06
1913,5.5676001305e-07
1912,1.05914700537e-06
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
