date,freq
2017,1.38867753345e-05
2016,1.28327862289e-05
2015,1.18385977556e-05
2014,1.93463275143e-05
2013,2.02819186695e-05
2012,1.52388009753e-05
2011,1.41274074353e-05
2010,1.40576498362e-05
2009,1.28497901434e-05
2008,1.29640581143e-05
2007,1.32244596155e-05
2006,9.35564285599e-06
2005,9.00857785523e-06
2004,1.6668328791e-05
2003,1.23612195579e-05
2002,1.47408619202e-05
2001,9.48657665759e-06
2000,1.14076272012e-05
1999,3.59626448344e-05
1998,1.17512097394e-05
1997,1.41761802798e-05
1996,1.00007438053e-05
1995,1.53342858992e-05
1994,1.40011588193e-05
1993,1.60163079152e-05
1992,1.14176650928e-05
1991,2.15032926601e-05
1990,8.20759341671e-06
1989,1.03881641413e-05
1988,2.36711220381e-05
1987,1.25210423072e-05
1986,1.48544016395e-05
1985,1.4397401015e-05
1984,1.28972175059e-05
1983,1.17571893779e-05
1982,7.50165036308e-06
1981,1.19220097886e-05
1980,9.82522882958e-06
1979,1.28360815497e-05
1978,1.61035837326e-05
1977,1.73874895675e-05
1976,2.20502518755e-05
1975,2.28272204228e-05
1974,1.51282522801e-05
1973,1.33674214004e-05
1972,1.37982665132e-05
1971,1.73938231339e-05
1970,6.84634601505e-06
1969,9.04692786233e-06
1968,1.47620192171e-05
1967,1.42343262275e-05
1966,1.29586146278e-05
1965,1.25109568614e-05
1964,1.52139609547e-05
1963,9.47925162446e-06
1962,1.36755162005e-05
1961,5.75832396577e-06
1960,1.27525414581e-05
1959,1.1487617784e-05
1958,8.64628938007e-06
1957,1.23275627132e-05
1956,8.87990242763e-06
1955,9.79527867568e-06
1954,1.07458446551e-05
1953,1.9953270414e-05
1952,9.57421345177e-06
1951,9.38521850169e-06
1950,9.89335999333e-06
1949,1.37118967972e-05
1948,6.55279725263e-06
1947,1.02917438547e-05
1946,8.86227318489e-06
1945,6.01165459437e-06
1944,1.10317760575e-05
1943,5.92353895912e-06
1942,6.68172653586e-06
1941,7.81178072332e-06
1940,1.13356964482e-05
1939,7.26664564929e-06
1938,1.21011302456e-05
1937,1.6924491637e-05
1936,1.24270766288e-05
1935,6.89469134621e-06
1934,1.3155666761e-05
1933,1.65370369681e-05
1932,8.07926181061e-06
1931,9.08033163022e-06
1930,8.2389360845e-06
1929,1.04085913346e-05
1928,7.3139899969e-06
1927,1.15410485089e-05
1926,1.42120283028e-05
1925,2.33742413111e-05
1924,9.26479239916e-06
1923,1.63051841314e-05
1922,8.70047904838e-06
1921,1.05199952741e-05
1920,6.16529870432e-06
1919,1.52868624704e-05
1918,1.03887700364e-05
1917,1.02935664604e-05
1916,1.0291789382e-05
1915,7.22640550808e-06
1914,1.77174073527e-05
1913,7.23788016966e-06
1912,1.85350725939e-05
1911,1.39154671448e-05
1910,2.06168148731e-05
1909,1.86474101078e-05
1908,2.62787070083e-05
1907,1.89031935055e-05
1906,2.52380377857e-05
1905,3.95068273533e-05
1904,2.4295831295e-05
1903,1.17469165975e-05
1902,1.84875031326e-05
1901,1.91920818954e-05
1900,1.49881219134e-05
1899,2.57816014757e-05
1898,2.04372651775e-05
1897,2.330896683e-05
1896,3.08328131607e-05
1895,2.10283383144e-05
1894,1.51241313077e-05
1893,2.99335411698e-05
1892,2.89248814401e-05
1891,2.0397302364e-05
1890,2.62182128748e-05
1889,3.29446550386e-05
1888,2.26571450015e-05
1887,3.06888649456e-05
1886,3.10562360922e-05
1885,1.41874660831e-05
1884,1.8769251517e-05
1883,1.56872364366e-05
1882,1.79109618531e-05
1881,1.40152892791e-05
1880,1.47444264313e-05
1879,2.02938344287e-05
1878,3.92584857217e-05
1877,3.66330905444e-05
1876,4.34536445466e-05
1875,2.76639020329e-05
1874,2.02602770255e-05
1873,1.45096145983e-05
1872,6.14592054281e-05
1871,1.70247539923e-05
1870,1.43813972704e-05
1869,2.96470072635e-05
1868,4.26013250481e-05
1867,1.71402518246e-05
1866,2.22879717389e-05
1865,2.40474882399e-05
1864,6.00565657779e-05
1863,2.84555231281e-05
1862,1.39016320516e-05
1861,1.01689227552e-05
1860,1.81395036669e-06
1859,7.22878937657e-06
1858,7.30570922912e-06
1857,1.05650357186e-05
1856,1.02547449559e-05
1855,8.7747007827e-06
1854,1.78163799343e-05
1853,9.84033079256e-06
1852,1.1693490234e-05
1851,1.01608806097e-05
1850,1.2014733496e-05
1849,5.19972129494e-06
1848,7.08421000432e-06
1847,5.27791754485e-06
1846,1.23986154879e-05
1845,5.24964696124e-06
1844,1.01261310888e-05
1843,7.03505679883e-05
1842,2.05567686587e-05
1841,4.84112633645e-06
1840,4.39249586007e-06
1839,9.72103072089e-06
1838,5.46039303909e-06
1837,2.31147601612e-06
1836,6.60993870384e-06
1835,2.17092566099e-06
1834,2.07875141875e-06
1833,1.31794558642e-05
1832,4.42798219066e-06
1831,1.36518460709e-05
1830,0.0
1829,1.43528651907e-05
1828,1.04252457752e-05
1827,0.0
1826,0.0
1825,0.0
1824,9.94747731975e-06
1823,0.0
1822,0.0
1821,1.11159280133e-05
1820,0.0
1819,5.87651099789e-06
1818,5.86530904313e-06
1817,6.0171005999e-06
1816,3.33317778504e-05
1815,1.30346656934e-05
1814,0.0
1813,3.11364007878e-05
1812,0.0
